,sentence,pos,language,switch
0,me dice ella que trabaja en una tienda de furniture .,pro:obj v pro:sub pro:rel v prep pro:dem v prep L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
1,"entonces le digo yo ""/.","adv pro:ind v pro:sub +""/.",ESP ESP ESP ESP,0
2,oh .,co .,ESP,0
3,.,None,,0
4,yo trabajo aquí en en el Marina_Blue .,pro:sub v adv prep prep det:art n:prop .,ESP ESP ESP ESP ESP ESP ESP,0
5,"me dice ""/.","pro:obj v +""/.",ESP ESP,0
6,oh .,co .,ESP,0
7,"le digo ""/.","pro:ind v +""/.",ESP ESP,0
8,te dan comisión para las ventas ?,pro:obj v n prep det:art n ?,ESP ESP ESP ESP ESP ESP,0
9,"me dice "".","pro:obj v +"".",ESP ESP,0
10,sí .,co .,ESP,0
11,"y nada le dije ""/.","coord v pro:ind v +""/.",ESP ESP ESP ESP,0
12,pasa por ahí .,v prep adv .,ESP ESP ESP,0
13,"me dice ""/.","pro:obj v +""/.",ESP ESP,0
14,ay yo no puedo salir de la oficina .,co pro:sub adv v inf prep det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
15,pero te voy a mandar la persona que usualmente trabaja en esa parte de que deja los brochures y todo eso .,conj pro:obj v aprep inf det:art n prep adv:adj v prep det:dem n prep pro:rel v det:art L2 coord det:indef pro:dem .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ESP ESP ESP,1
16,y este muchacho ...,coord cop n +...,ESP ESP ESP,0
17,no lo viste ?,adv pro:obj v ?,ESP ESP ESP,0
18,no .,adv .,ESP,0
19,no no no tenía un libro así bello I mean .,adv adv adv v det:art v adv adj n:prop:L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
20,muebles vienen de Italia .,n v prep n:prop .,ESP ESP ESP ESP,0
21,y los hacen .,coord pro:obj v .,ESP ESP ESP,0
22,y de repente dice él que demoran hm ...,coord prep n v pro:sub pro:rel v co +...,ESP ESP ESP ESP ESP ESP ESP ESP,0
23,si es un camión de diez .,conj cop det:art n prep det:num .,ESP ESP ESP ESP ESP ESP,0
24,six to eight weeks .,det:num prep det:num n .,ESP ESP ESP ESP,0
25,shit !,n !,ESP,0
26,six to eight weeks yeah .,det:num prep det:num n co .,ESP ESP ESP ESP ESP,0
27,huy !,co !,ESP,0
28,so anyways that's that one .,adv adv pro:dem det pro:indef .,ESP ESP ESP ESP ESP,0
29,this is Chris's boyfriend .,pro:dem cop n:prop n .,ESP ESP ESP ESP,0
30,and this is Chris's boyfriend .,conj pro:dem cop n:prop n .,ESP ESP ESP ESP ESP,0
31,and he does commentary .,conj pro:sub v n .,ESP ESP ESP ESP,0
