,sentence,pos,language,switch
0,okay .,co .,ESP,0
1,.,None,,0
2,y ya tú les preguntaste a todos los contrincantes ?,coord adv pro:sub pro:ind v aprep det:indef det:art n ?,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
3,.,None,,0
4,no puedes hablar en otras palabras Ana .,adv v inf prep det:indef n n:prop .,ESP ESP ESP ESP ESP ESP ESP,0
5,.,None,,0
6,lo que dices no importa lo que digas .,pro:obj pro:rel v adv v pro:obj pro:rel v .,ESP ESP ESP ESP ESP ESP ESP ESP,0
7,.,None,,0
8,Amparito .,n:prop .,ESP,0
9,.,None,,0
10,para para proteger la identidad .,prep prep inf det:art n .,ESP ESP ESP ESP ESP,0
11,.,None,,0
12,el nobel se llama Gabriela .,det:art n pro:refl v n:prop .,ESP ESP ESP ESP ESP,0
13,.,None,,0
14,y ya se acabó el pepperoni ?,coord adv pro:refl v det:art n ?,ESP ESP ESP ESP ESP ESP,0
15,ya voló ?,adv v ?,ESP ESP,0
16,oh !,co !,ESP,0
17,.,None,,0
18,y cuánto tiempo ando con la vaina esta ?,coord det:int n v prep det:art n imp ?,ESP ESP ESP ESP ESP ESP ESP ESP,0
19,.,None,,0
20,okay .,co .,ESP,0
21,.,None,,0
22,mhm mhm .,co co .,ESP ESP,0
23,.,None,,0
24,mm .,co .,ESP,0
25,.,None,,0
26,de un micrófono built in ?,prep det:art n L2 L2 ?,ESP ESP ESP ENG ENG,1
27,.,None,,0
28,mejor porque la vainita está colgando luego del .,adj conj det:art n aux ger adv prep .,ESP ESP ESP ESP ESP ESP ESP ESP,0
29,.,None,,0
30,mhm .,co .,ESP,0
31,.,None,,0
32,ay qué chulo !,co pro:int adj !,ESP ESP ESP,0
33,.,None,,0
34,.,None,,0
35,ay qué cosa más bella !,co pro:int v adv adj !,ESP ESP ESP ESP ESP,0
36,.,None,,0
37,found him .,v pro:obj .,ESP ESP,0
38,me encanta lo wishy_wiper .,pro:obj v pro:obj L2 .,ESP ESP ESP ENG,1
39,.,None,,0
40,ah pues si no te sabes la canción te la tienen en ...,co co conj adv pro:obj v det:art n pro:obj pro:obj v prep +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
41,.,None,,0
42,uhuh .,co .,ESP,0
43,.,None,,0
44,un c_d .,det:art n .,ESP ESP,0
45,.,None,,0
46,es cute .,cop L2 .,ESP ENG,1
47,.,None,,0
48,.,None,,0
49,.,None,,0
50,tráelo .,imp .,ESP,0
51,.,None,,0
52,cuál es el tuyo ?,pro:int cop det:art pro:pos ?,ESP ESP ESP ESP,0
53,.,None,,0
54,el mío el Centro_Gallego el tuyo el Capitolio y la ...,det:art pro:pos det:art n:prop det:art pro:pos det:art n:prop coord det:art +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
55,.,None,,0
56,sí porque a veces lo único que tiene eh eh cuando hay problemas económicos que no se construye nada es que se salva la ciudad .,co conj aprep n pro:obj adj pro:rel v co co pro:rel v n adj pro:rel adv pro:refl v pro:indef cop pro:rel pro:refl v det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
57,.,None,,0
58,ah pero es qué frescura !,co conj cop pro:int n !,ESP ESP ESP ESP ESP,0
59,.,None,,0
60,yo en la caja negra yo creo que la boté .,pro:sub prep det:art n adj pro:sub v pro:rel pro:obj v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
61,.,None,,0
62,ah okay .,co co .,ESP ESP,0
