,sentence,pos,language,switch
0,es en la primera vez que lo tocaron en mil ochocientos seis .,cop prep det:art adj:num n pro:rel pro:obj v prep det:num det:num det:num .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
1,uhuh .,co .,ESP,0
2,se oyó y ninguno le gustó .,pro:refl v coord det:indef pro:ind v .,ESP ESP ESP ESP ESP ESP,0
3,sí .,co .,ESP,0
4,y ah y lo tocaron entre otras piezas .,coord co coord pro:obj v prep det:indef n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
5,como él tenía esa costumbre de tener tanto material para tocar .,adv pro:sub v det:dem n prep inf det:indef n prep inf .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
6,y entonces después dice .,coord adv adv v .,ESP ESP ESP ESP,0
7,el el con siempre ha venido a largo tiempo .,det:art det:art prep adv aux part aprep v n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
8,después de su primera creación empezó a estabilizarse cuando ya tenía trece años Joseph Joachim .,adv prep det:pos adj:num n v aprep inf pro:rel adv v det:num n n:prop n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
9,era una persona que conocía Beethoven .,cop det:art n pro:rel v n:prop .,ESP ESP ESP ESP ESP ESP,0
10,que Beethoven conocía .,pro:rel n:prop v .,ESP ESP ESP,0
11,en memoria a ...,prep n aprep +...,ESP ESP ESP,0
12,o lo tocó de memoria en Londres por primera vez en mil ochocientos cuarenta y cuatro .,coord pro:obj v prep n prep n:prop prep adj:num n prep det:num det:num det:num coord det:num .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
13,y Mendelssohn estaba ahí .,coord n:prop cop adv .,ESP ESP ESP ESP,0
14,el la composición es increíblemente asociada a Joachim porque la tocó ahí primero la primera vez .,det:art det:art n cop adv:adj part aprep n:prop conj pro:obj v adv adv pro:obj adj:num n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
15,pero Huberman Adolf Busch Szigeti Milstein Hogan Hermann y otros y y no menos .,conj n:prop n:prop n:prop n:prop n:prop n:prop n:prop coord det:indef coord coord adv adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
16,pero de todas maneras es el concierto más difícil de tocar .,conj prep det:indef n cop det:art n adv adj prep inf .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
17,Bueno ese ese según según ese escritor .,n:prop det:dem det:dem prep prep det:dem n .,ESP ESP ESP ESP ESP ESP ESP,0
18,.,None,,0
19,pero hay otros escritores que han dado opiniones //.,conj v pro:indef n pro:rel aux part n +//.,ESP ESP ESP ESP ESP ESP ESP ESP,0
20,lo que sucede es esto .,pro:obj pro:rel v cop pro:dem .,ESP ESP ESP ESP ESP,0
