,sentence,pos,language,switch
0,because that's my nap time .,conj pro:dem pro:poss:det n n .,ESP ESP ESP ESP ESP,0
1,and when it's the afternoon's when I take my nap .,conj conj pro det n conj pro:sub v pro:poss:det n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
2,sí claro que sí .,co co pro:rel co .,ESP ESP ESP ESP,0
3,so what !,co pro:wh !,ESP ESP,0
4,claro que sí .,co pro:rel co .,ESP ESP ESP,0
5,entonces estoy ideando coger esos carros que uno llama y por dos cincuenta te llevan al lugar que tú quieres .,adv aux ger inf det:dem n prep pro:dem v coord prep det:num det:num pro:obj v aprep n pro:rel pro:sub v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
6,oh the STS cars ?,co det n:prop n ?,ESP ESP ESP ESP,0
7,sí .,co .,ESP,0
8,oh !,co !,ESP,0
9,pero /.,conj +/.,ESP,0
10,por dos pesos te llevan ?,prep det:num n pro:obj v ?,ESP ESP ESP ESP ESP,0
11,coño !,co !,ESP,0
12,por dos cincuenta .,prep det:num det:num .,ESP ESP ESP,0
13,me llevan .,pro:obj v .,ESP ESP,0
14,y dos cincuenta el regreso .,coord det:num det:num det:art v .,ESP ESP ESP ESP ESP,0
15,just like the bus ?,adv prep det n ?,ESP ESP ESP ESP,0
16,coño !,co !,ESP,0
17,por cinco pesos me llevan donde yo quiera ir .,prep det:num n pro:obj v pro:rel pro:sub imp inf .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
18,ida y vuelta ah ?,part coord part co ?,ESP ESP ESP ESP,0
19,y una propinita ?,coord det:art n ?,ESP ESP ESP,0
20,ahhah .,co .,ESP,0
21,siete pesos ya y ya está ?,det:num n adv coord adv cop ?,ESP ESP ESP ESP ESP ESP,0
22,right right .,adv adv .,ESP ESP,0
23,pero me dieron el teléfono donde llamar .,conj pro:obj v det:art n pro:rel inf .,ESP ESP ESP ESP ESP ESP ESP,0
24,y me lo dieron mal .,coord pro:obj pro:obj v adv .,ESP ESP ESP ESP ESP,0
25,y tengo que pedírselo a Luisa que tiene ese servicio .,coord v pro:rel inf pro:clit n:prop pro:rel v det:dem n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
26,porque Pepe se brinda a llevarme //.,conj n:prop pro:refl v aprep inf +//.,ESP ESP ESP ESP ESP ESP,0
27,ya se brindó a llevarme a ver a Susana .,adv pro:refl v aprep inf aprep inf aprep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
28,I'll take you !,pro:sub v pro !,ESP ESP ESP,0
29,I'll take you anywhere you wanna go .,pro:sub v pro adv pro v v .,ESP ESP ESP ESP ESP ESP ESP,0
30,what the hell !,pro:wh det n !,ESP ESP ESP,0
31,sí .,co .,ESP,0
32,"pero es que te quedas a dormir , te quedas .",conj cop pro:rel pro:obj v aprep inf cm pro:obj v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
33,so what !,co pro:wh !,ESP ESP,0
34,we'll go //.,pro:sub v +//.,ESP ESP,0
35,one sunday morning I'll come sunday morning and we'll go there first .,det:num n co pro:sub v n co conj pro:sub v adv n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
36,sleep until one two o'clock in the afternoon .,n conj pro:indef det:num n prep det n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
37,entonces //.,adv +//.,ESP,0
38,y me da vergüenza que más nunca la //.,coord pro:obj v n pro:rel adv adv pro:obj +//.,ESP ESP ESP ESP ESP ESP ESP ESP,0
39,una sola vez la he ido a ver .,det:art adj n pro:obj aux part aprep inf .,ESP ESP ESP ESP ESP ESP ESP ESP,0
40,la mermelada de //.,det:art n prep +//.,ESP ESP ESP,0
41,Billy me trajo una caja de mangos de que una amiga de ella se los dio para que yo hiciera la mermelada para ella .,n:prop pro:obj v det:art n prep n prep pro:rel det:art n prep pro:sub imp det:art v prep pro:rel pro:sub v det:art n prep pro:sub .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
42,really ?,adv ?,ESP,0
43,la hice la mermelada .,pro:obj v det:art n .,ESP ESP ESP ESP,0
44,y la boté los otros días .,coord pro:obj v det:art pro:indef n .,ESP ESP ESP ESP ESP ESP,0
45,pues tuvo más de un año en la nevera .,co v adv prep det:art n prep det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
46,oh .,co .,ESP,0
47,yo eso no se lo iba a llevar .,pro:sub pro:dem adv pro:refl pro:obj v aprep inf .,ESP ESP ESP ESP ESP ESP ESP ESP,0
48,oh .,co .,ESP,0
49,y la anoté /.,coord pro:obj v +/.,ESP ESP ESP,0
50,how do you do that ?,adv:wh mod pro v pro:dem ?,ESP ESP ESP ESP ESP,0
51,dos pomos .,det:num n .,ESP ESP,0
52,pero hay que usar una de mango .,conj v pro:rel inf det:art imp n .,ESP ESP ESP ESP ESP ESP ESP,0
53,pero es //?,conj cop +//?,ESP ESP,0
54,tú pones mango entero en agua hirviendo ?,pro:sub v n adj prep n ger ?,ESP ESP ESP ESP ESP ESP ESP,0
55,no .,adv .,ESP,0
56,los pongo en la batidora .,pro:obj v prep det:art n:v .,ESP ESP ESP ESP ESP,0
57,los pelo .,pro:obj v .,ESP ESP,0
58,los hago pedazos .,pro:obj v n .,ESP ESP ESP,0
59,los pongo en el blender .,pro:obj v prep det:art L2 .,ESP ESP ESP ESP ENG,1
60,con leche o agua o what ?,prep n coord n coord L2 ?,ESP ESP ESP ESP ESP ENG,1
61,eh ?,co ?,ESP,0
62,con leche .,prep n .,ESP ESP,0
63,con qué ?,prep pro:int ?,ESP ESP,0
64,ah okay así que /.,co co adv pro:rel +/.,ESP ESP ESP ESP,0
65,no yo no le echo leche .,adv pro:sub adv pro:ind v n .,ESP ESP ESP ESP ESP ESP,0
66,no ?,adv ?,ESP,0
67,es mango puro .,cop n adj .,ESP ESP ESP,0
68,sin agua sin nada ?,prep imp prep v ?,ESP ESP ESP ESP,0
69,por eso saben tanto a mango .,prep pro:dem v adj aprep n .,ESP ESP ESP ESP ESP ESP,0
70,oh well I see .,co co pro:sub v .,ESP ESP ESP ESP,0
71,es puro mango .,cop adj n .,ESP ESP ESP,0
72,pero hay que hacerlo en la batidora .,conj v pro:rel inf prep det:art n:v .,ESP ESP ESP ESP ESP ESP ESP,0
73,y después colarlo .,coord adv inf .,ESP ESP ESP,0
74,entonces después se le echa el azúcar .,adv adv pro:refl pro:ind v det:art n .,ESP ESP ESP ESP ESP ESP ESP,0
75,y cuando está espesito se pone en pomo .,coord conj cop adj pro:refl v prep n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
76,pero yo no pude ir a verla .,conj pro:sub adv v inf aprep inf .,ESP ESP ESP ESP ESP ESP ESP,0
77,y se me hicieron viejos en la nevera .,coord pro:refl pro:obj v adj prep det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
78,los tuve que botar .,pro:obj v pro:rel inf .,ESP ESP ESP ESP,0
79,and Billy gave you that ?,conj n:prop v pro rel ?,ESP ESP ESP ESP ESP,0
80,me trajo una caja de mangos Lini .,pro:obj v det:art n prep n n:prop .,ESP ESP ESP ESP ESP ESP ESP,0
81,wow !,co !,ESP,0
