,sentence,pos,language,switch
0,cuándo vamos a salir ?,pro:int v aprep inf ?,ESP ESP ESP ESP,0
1,no sé un día de estos .,adv v det:art n prep det:dem .,ESP ESP ESP ESP ESP ESP,0
2,pero este fin de semana .,conj imp n prep n .,ESP ESP ESP ESP ESP,0
3,cómo ?,pro:int ?,ESP,0
4,que a la calle solo hoy .,pro:rel aprep det:art n adj adv .,ESP ESP ESP ESP ESP ESP,0
5,por qué ?,prep pro:int ?,ESP ESP,0
6,ay bueno porque es el cumpleaños de la Estrella en la noche .,co co conj cop det:art n prep det:art n:prop prep det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
7,qué Estrella ?,pro:int n:prop ?,ESP ESP,0
8,la prima de Toni y lo va a celebrar en .,det:art n prep n:prop coord pro:obj v aprep inf prep .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
9,vas a ir .,v aprep inf .,ESP ESP ESP,0
10,yo quería ir .,pro:sub v inf .,ESP ESP ESP,0
11,pero allá imaginate nos caen todas no jodas no me levanté ni para ir a clases .,conj adv imp pro:obj v det:indef adv v adv pro:obj v coord prep inf aprep n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
12,y y tu mamá sabe eso o no sabe cuándo te toca o no te toca ?,coord coord det:pos n v pro:dem coord adv v pro:int pro:obj v coord adv pro:obj v ?,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
13,sí sabe cuando me toca .,co v conj pro:obj v .,ESP ESP ESP ESP ESP,0
14,y no te dijo nada ?,coord adv pro:obj v pro:indef ?,ESP ESP ESP ESP ESP,0
15,nada más ella me levantó y yo me desperté .,pro:indef adv pro:sub pro:obj v coord pro:sub pro:obj v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
16,no .,adv .,ESP,0
17,pues me vine y me metí en la cama con ella y me quedé dormido .,co pro:obj v coord pro:obj v prep det:art n prep pro:sub coord pro:obj v part .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
18,qué estúpido !,pro:int co !,ESP ESP,0
19,es que me levanté como que iba para clases y me dio boludo y me vine a acostar con ella .,cop pro:rel pro:obj v adv pro:rel v prep n coord pro:obj v adj coord pro:obj v aprep inf prep pro:sub .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
20,no jodas .,adv v .,ESP ESP,0
21,y nos quedamos dormidos .,coord pro:obj v part .,ESP ESP ESP ESP,0
22,no jodas mi mamá no me hubiera dejado hacer eso .,adv v det:pos n adv pro:obj v part inf pro:dem .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
23,me hubiera dicho chavalo jodido andate a clase .,pro:obj v part n part imp aprep n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
24,no me deja quedarme mi mamá .,adv pro:obj v inf det:pos n .,ESP ESP ESP ESP ESP ESP,0
25,.,None,,0
26,ah .,co .,ESP,0
27,te vuelves a dormir conmigo .,pro:obj v aprep inf adv .,ESP ESP ESP ESP ESP,0
28,mhm mhm .,L2 L2 .,ENG ENG,0
29,pues sí pero like my mom no hace eso .,co co conj L2 L2 L2 adv v pro:dem .,ESP ESP ESP ENG ENG ENG ESP ESP ESP,1
30,a mí mamá me dice wake up y andate a la verga .,aprep pro:prep n pro:obj v L2 L2 coord imp aprep det:art n .,ESP ESP ESP ESP ESP ENG ENG ESP ESP ESP ESP ESP,1
31,nada de que te vas a quedar durmiendo conmigo ni aunque te quedes conmigo le digo levántate and go to class .,pro:indef prep pro:rel pro:obj v aprep inf ger adv coord conj pro:obj v adv pro:ind v imp L2 L2 L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG ENG ENG,1
32,sí hombre pero no sé ahorita tengo que ir a la universidad porque me voy a ir a matricular a unas clases además tengo que llevar un turcazo de clases ahora .,co co conj adv v adv v pro:rel inf aprep det:art n conj pro:obj v aprep inf aprep inf aprep pro:dem n adv v pro:rel inf det:art n imp n adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
33,y cuántas clases /.,coord pro:int n +/.,ESP ESP ESP,0
34,tres .,det:num .,ESP,0
35,cuántas clases estabas llevando ?,pro:int n aux ger ?,ESP ESP ESP ESP,0
36,no pues es que tengo que ponerme a estudiar todo el día maje estoy cagado la verdad es que como /.,adv co cop pro:rel v pro:rel inf aprep inf det:indef det:art n n cop part det:art co cop pro:rel adv +/.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
37,sí no estás perdiendo el tiempo .,co adv aux ger det:art n .,ESP ESP ESP ESP ESP ESP,0
38,pues no jodas después cuando veas pasan los años y vas a estar atrasado atrasado atrasado .,co adv v adv conj v v det:art n coord v aprep inf part part part .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
39,por eso .,prep pro:dem .,ESP ESP,0
40,entonces me voy a matricular y voy a estudiar como no sé me imagino que casi todo el día .,adv pro:obj v aprep inf coord v aprep inf adv adv v pro:obj v pro:rel adv det:indef det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
41,voy a llegar en la mañana como a las nueve .,v aprep inf prep det:art adv adv aprep det:art det:num .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
42,y no vas a trabajar .,coord adv v aprep inf .,ESP ESP ESP ESP ESP,0
43,venís a almorzar .,v aprep inf .,ESP ESP ESP,0
44,ah .,co .,ESP,0
45,creo que no .,v pro:rel adv .,ESP ESP ESP,0
46,por qué ?,prep pro:int ?,ESP ESP,0
47,porque no tengo que trabajar .,conj adv v pro:rel inf .,ESP ESP ESP ESP ESP,0
48,mhm .,L2 .,ENG,0
49,ah ya no estás en el aeropuerto ?,co adv adv cop prep det:art n ?,ESP ESP ESP ESP ESP ESP ESP,0
50,como no pues pero mi mamá dice que realmente yo no tengo que trabajar .,adv adv co conj det:pos n v pro:rel adv:adj pro:sub adv v pro:rel inf .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
51,bueno sí idiay si te van a estar dando todo .,co co co conj pro:obj v aprep inf ger det:indef .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
52,sí .,co .,ESP,0
53,pero no jodas loco pero once like que empiezas a trabajar es como que aunque de o sea dejas de trabajar y aunque te estén pagando todo bróder es como que no sé te sentís raro porque ya estabas acostumbrado a que te entraran tus reales me entiendes .,conj adv v adj conj L2 L2 pro:rel v aprep inf cop adv pro:rel conj prep coord cop v prep inf coord conj pro:obj aux ger det:indef n cop adv pro:rel adv v pro:obj v adj conj adv aux part aprep pro:rel pro:obj v det:pos re#v pro:obj v .,ESP ESP ESP ESP ESP ENG ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,1
54,y que hacías lo que se te diera la gana .,coord pro:rel v pro:obj pro:rel pro:refl pro:obj v pro:obj v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
55,sí hombre .,co co .,ESP ESP,0
56,sí hombre .,co co .,ESP ESP,0
57,0o sea si .,coord cop conj .,ESP ESP ESP,0
58,pero bueno vamos a ver .,conj co v aprep inf .,ESP ESP ESP ESP ESP,0
59,yeah .,co .,ESP,0
60,de todos modos voy a agarrar un part_time para el fin de semana /.,prep det:indef n v aprep inf det:art L2 prep det:art n prep n +/.,ESP ESP ESP ESP ESP ESP ESP ENG ESP ESP ESP ESP ESP,1
61,no huevón un partimecito ahí idiay realitos extras ahí no te estorban para nada .,adv n det:art L2 adv co adj adj adv adv pro:obj v prep v .,ESP ESP ESP ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,1
62,mhm lo voy a vender ahí a la calle ocho .,L2 pro:obj v aprep inf adv aprep det:art n det:num .,ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP,1
63,qué estúpida que sois ahí es muy barato estúpida .,pro:int adj pro:rel cop adv cop adv adj adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
64,ah es muy barato ?,co cop adv adj ?,ESP ESP ESP ESP,0
65,sí .,co .,ESP,0
66,andate a otro .,imp aprep det:indef .,ESP ESP ESP,0
67,sí me voy a meterme ahí a Aeropostale allí con una amiga que tengo .,co pro:obj v aprep inf adv aprep n:prop adv prep det:art n pro:rel v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
68,qué amiga ?,pro:int n ?,ESP ESP,0
69,una niña de pelo largo .,det:art co:voc prep n v .,ESP ESP ESP ESP ESP,0
70,qué amiga estúpida la conozco ?,pro:int n adj pro:obj v ?,ESP ESP ESP ESP ESP,0
71,se llama Marta .,pro:refl v n:prop .,ESP ESP ESP,0
72,qué estúpida !,pro:int adj !,ESP ESP,0
73,venga .,co .,ESP,0
74,tu madre yo pensé que I thought you were being serious qué estúpida .,det:pos n pro:sub v pro:rel n:prop:L2 L2 L2 L2 L2 L2 pro:int adj .,ESP ESP ESP ESP ESP ESP ENG ENG ENG ENG ENG ESP ESP,1
75,.,None,,0
76,I'm like .,pro:sub prep .,ESP ESP,0
77,yo qué maje de pelo largo verdad bróder todas las majes que trabajan ahí tienen pelo largo .,pro:sub pro:int n imp n adj co n det:indef det:art n pro:rel v adv v v v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
78,qué estúpido que soy .,pro:int co pro:rel cop .,ESP ESP ESP ESP,0
79,se llama se llama Marta Martita .,pro:refl v cop v n:prop n:prop .,ESP ESP ESP ESP ESP ESP,0
80,qué estúpida la Marta .,pro:int adj det:art n:prop .,ESP ESP ESP ESP,0
81,anda aplica están contratando ahorita .,co v aux ger adv .,ESP ESP ESP ESP ESP,0
82,qué cagada creo que queda lejísimos esa verga .,pro:int part v pro:rel v n det:dem n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
83,ah .,co .,ESP,0
84,me queda super lejos .,pro:obj v n adv .,ESP ESP ESP ESP,0
85,bueno eso sí .,co pro:dem co .,ESP ESP ESP,0
86,pero idiay aplica en un mall que te quede cerca .,conj co v prep det:art L2 pro:rel pro:obj v adv .,ESP ESP ESP ESP ESP ENG ESP ESP ESP ESP,1
87,qué mall te queda más cerca ?,pro:int L2 pro:obj v adv adv ?,ESP ENG ESP ESP ESP ESP,1
88,no jodas loco Southland mall o el Dadeland mall .,adv v adj n:prop L2 coord det:art n:prop L2 .,ESP ESP ESP ESP ENG ESP ESP ESP ENG,1
89,idiay ándate al Dadeland no Dadeland no tiene Aeros .,co imp aprep n:prop adv n:prop adv v n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
90,sí Dadeland tiene Aeropostale bróder anda aplica ahí .,co n:prop v n:prop n co v adv .,ESP ESP ESP ESP ESP ESP ESP ESP,0
91,sí tiene .,co v .,ESP ESP,0
92,ah ?,co ?,ESP,0
93,sí tiene .,co v .,ESP ESP,0
94,qué ?,pro:int ?,ESP,0
95,sí tiene .,co v .,ESP ESP,0
96,sí sí tiene anda aplica ahí estúpido .,co co v co v adv co .,ESP ESP ESP ESP ESP ESP ESP,0
97,sí vamos a ver .,co v aprep inf .,ESP ESP ESP ESP,0
98,también tengo ganas de que me contraten en una tienda de así como que de_a_cachimba tipo no sé tipo Express una verga así .,adv v v prep pro:rel pro:obj v prep pro:dem v prep adv adv pro:rel adj n adv v n n:prop det:art n adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
99,bueno entonces aplica ahí pendejo .,co adv v adv n .,ESP ESP ESP ESP ESP,0
100,like honestly yo no te recomiendo Aeros .,L2 L2 pro:sub adv pro:obj v n:prop .,ENG ENG ESP ESP ESP ESP ESP,1
101,.,None,,0
102,porque pagan una mierda loco .,conj v det:art n adj .,ESP ESP ESP ESP ESP,0
103,cuánto cuánto pagan pues ?,pro:int pro:int v co ?,ESP ESP ESP ESP,0
104,siete veinticinco .,det:num det:num .,ESP ESP,0
105,yo ya renuncié .,pro:sub adv v .,ESP ESP ESP,0
106,ya renunciaste idiay .,adv v co .,ESP ESP ESP,0
107,o sea todavía estoy ahí pero ya renuncié like el sábado it's my last day .,coord cop adv cop adv conj adv v L2 det:art n L2 L2 L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ENG ESP ESP ENG ENG ENG ENG,1
108,.,None,,0
109,sí .,co .,ESP,0
110,y ahora qué vas a hacer ?,coord adv pro:int v aprep inf ?,ESP ESP ESP ESP ESP ESP,0
111,o sea yo sigo con mi trabajo en Univisión .,coord cop pro:sub v prep det:pos v prep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
112,"y apliqué al Marriott porque este maje de Ryan me dijo "".","coord v aprep n:prop conj imp n prep n:prop pro:obj v +"".",ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
113,aplica que te van a llamar que no sé qué que ...,v pro:rel pro:obj v aprep inf pro:rel adv v pro:int pro:rel +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
114,me dijo te llaman en estos días .,pro:obj v pro:obj v prep det:dem n .,ESP ESP ESP ESP ESP ESP ESP,0
115,y el maje me ha estado preguntando ya te llamaron ya te llamaron ?,coord det:art n pro:obj aux part ger adv pro:obj v adv pro:obj v ?,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
116,y luego no ni verga no me han llamado nada le digo .,coord adv adv coord n adv pro:obj aux part v pro:ind v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
117,entonces lo voy a llamar ...,adv pro:obj v aprep inf +...,ESP ESP ESP ESP ESP,0
118,en un rato lo voy a llamar para preguntarle que ahorita me recordaste .,prep det:art n pro:obj v aprep inf prep inf prep adv pro:obj v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
119,y apliqué en Bestbuy dicen que ahí es bueno .,coord v prep n:prop v pro:rel adv cop co .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
120,entonces like voy a aplicar ahí en varios lugares para ver qué onda like .,adv L2 v aprep inf adv prep adj n prep inf pro:int n L2 .,ESP ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
121,por el momento pues no voy a quedarme sin hacer nada porque esta semana que viene grabamos así que voy a estar trabajando aunque tengo spring break pues no voy a clase gracias a Dios .,prep det:art n co adv v aprep inf prep inf pro:indef conj imp n pro:rel v v adv pro:rel v aprep inf ger conj v L2 L2 co adv v aprep n n aprep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG ESP ESP ESP ESP ESP ESP ESP ESP,1
122,entonces todo eso me lo voy a ahorrar en gasolina porque ese viaje hasta allá le cuerea .,co det:indef pro:dem pro:obj pro:obj v aprep inf prep n conj det:dem v prep adv pro:ind v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
123,le .,pro:ind .,ESP,0
124,dónde es tu universidad ?,pro:int cop det:pos n ?,ESP ESP ESP ESP,0
125,ah ?,co ?,ESP,0
126,dónde es tu universidad ?,pro:int cop det:pos n ?,ESP ESP ESP ESP,0
127,en Miramar casi Fort_Lauderdale .,prep n:prop adv n:prop .,ESP ESP ESP ESP,0
128,y por qué vos ?,coord prep pro:int pro:obj ?,ESP ESP ESP ESP,0
129,porque ahí queda idiay qué quieres que haga .,conj adv v co pro:int v pro:rel v .,ESP ESP ESP ESP ESP ESP ESP ESP,0
130,ahí la construyeron hermano .,adv pro:obj v n .,ESP ESP ESP ESP,0
131,no había una más cerca ?,adv aux pro:dem adv adv ?,ESP ESP ESP ESP ESP,0
132,no .,adv .,ESP,0
133,está Johnson_and_Wales que está en Miami_Beach pero ...,cop n:prop pro:rel cop prep n:prop conj +...,ESP ESP ESP ESP ESP ESP ESP,0
134,claro es de que yo me precipité loco .,co cop prep pro:rel pro:sub pro:obj v adj .,ESP ESP ESP ESP ESP ESP ESP ESP,0
135,me precipité yo debería haber esperado un poquito más para ver otras cosas y otras universidades pero bueno .,pro:obj v pro:sub v inf part det:art pro:indef adv prep inf det:indef v coord det:indef n conj co .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
136,it is what it is .,pro cop pro:wh pro cop .,ESP ESP ESP ESP ESP,0
137,ya sólo me quedan tres semanas y ya a la verga loco .,adv adv pro:obj v det:num n coord adv aprep det:art n adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
138,yeah three more weeks y ya termino vos .,L2 L2 L2 L2 coord adv v pro:obj .,ENG ENG ENG ENG ESP ESP ESP ESP,1
139,.,None,,0
140,pues sí ya like mi graduación es en octubre .,co co adv L2 det:pos n cop prep n .,ESP ESP ESP ENG ESP ESP ESP ESP ESP,1
141,pues la ceremonia vos .,co det:art n pro:obj .,ESP ESP ESP ESP,0
142,me vas a invitar ?,pro:obj v aprep inf ?,ESP ESP ESP ESP,0
143,pero por supuesto que no .,conj prep adj pro:rel adv .,ESP ESP ESP ESP ESP,0
144,sólo va gente decente .,adv v n adj .,ESP ESP ESP ESP,0
145,qué estúpido !,pro:int co !,ESP ESP,0
146,.,None,,0
147,yo cuando me pongo mi saco me miro bien elegante .,pro:sub conj pro:obj v det:pos v pro:obj v adv imp .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
148,claro pareces puta de clase .,co v n prep n .,ESP ESP ESP ESP ESP,0
149,me pongo mi saco con cola de pato .,pro:obj v det:pos v prep imp prep n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
150,puta con clase no la cola de pato la tenéis siempre estúpida .,n prep n adv pro:obj imp prep n pro:obj v adv adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
151,.,None,,0
152,fui a discoteca el sábado .,v aprep n det:art n .,ESP ESP ESP ESP ESP,0
153,aquí pues .,adv co .,ESP ESP,0
154,ah ?,co ?,ESP,0
155,con quién ?,prep pro:int ?,ESP ESP,0
156,con el maje de Ernesto ay yo creo que vos no lo conocisteis el el maje que era enamorado de Pedro .,prep det:art n prep n:prop co pro:sub v pro:rel pro:obj adv pro:obj v det:art det:art n pro:rel cop part prep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
157,entonces /.,adv +/.,ESP,0
158,no no sé quién es .,adv adv v pro:int cop .,ESP ESP ESP ESP ESP,0
159,no no lo conociste .,adv adv pro:obj v .,ESP ESP ESP ESP,0
160,entonces el maje me llamó like iba a ir con Manolo .,adv det:art n pro:obj v L2 v aprep inf prep n:prop .,ESP ESP ESP ESP ESP ENG ESP ESP ESP ESP ESP,1
161,pero de repente pues el maje no pudo .,conj prep n co det:art n adv v .,ESP ESP ESP ESP ESP ESP ESP ESP,0
162,entonces yo me quedé con la ...,adv pro:sub pro:obj v prep det:art +...,ESP ESP ESP ESP ESP ESP,0
163,porque ya me había entotorotado hija de la gran puta dije yo .,conj adv pro:obj aux part co:voc prep det:art adj n v pro:sub .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
164,quiero ir but like I don't wanna go by myself .,v inf L2 L2 n:prop:L2 L2 L2 L2 L2 L2 .,ESP ESP ENG ENG ESP ENG ENG ENG ENG ENG,1
165,mhm .,L2 .,ENG,0
