,sentence,pos,language,switch
0,y después volviste para acá .,coord adv v prep adv .,ESP ESP ESP ESP ESP,0
1,y después me volví porque no me gustó .,coord adv pro:obj v conj adv pro:obj v .,ESP ESP ESP ESP ESP ESP ESP ESP,0
2,o sea super chévere la rumba /.,coord cop n adj det:art n +/.,ESP ESP ESP ESP ESP ESP,0
3,claro .,co .,ESP,0
4,super rico la salida los amigos /.,n adj pro:obj part det:art n +/.,ESP ESP ESP ESP ESP ESP,0
5,sí sí sí .,co co co .,ESP ESP ESP,0
6,la universidad todo muy rico ...,det:art n det:indef adv adj +...,ESP ESP ESP ESP ESP,0
7,pero como que no es lo mismo porque yo acostumbrada a toda mi vida aquí siempre .,conj adv pro:rel adv cop pro:obj adj conj pro:sub part aprep det:indef det:pos co:voc adv adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
8,claro claro .,co co .,ESP ESP,0
9,estar en Colombia .,inf prep n:prop .,ESP ESP ESP,0
10,y yo creo que le pasa a la gente ...,coord pro:sub v pro:rel pro:ind v aprep det:art n +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
11,depender cien por ciento de mi papá o sea porque /.,inf det:num prep n prep det:pos n coord cop conj +/.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
12,oh claro .,co co .,ESP ESP,0
13,quiero tal cosa papi .,v adj n n .,ESP ESP ESP ESP,0
14,quiero comprarme un desodorante papi .,v inf det:art n n .,ESP ESP ESP ESP ESP,0
15,necesito un desodorante .,v det:art n .,ESP ESP ESP,0
16,necesito un tampon papi .,v det:art L2 n .,ESP ESP ENG ESP,1
17,claro .,co .,ESP,0
18,necesito un tampon .,v det:art L2 .,ESP ESP ENG,1
19,claro y esto yo estaba allí .,co coord pro:dem pro:sub cop adv .,ESP ESP ESP ESP ESP ESP,0
20,me entiendes .,pro:obj v .,ESP ESP,0
21,y yo con veinte años diciéndole a mi papá que necesito que me dé cinco mil pesos para ir a comprarme una caja de tampons pues ...,coord pro:sub prep det:num n ger aprep det:pos n pro:rel v pro:rel pro:obj imp det:num det:num n prep inf aprep inf det:art n prep L2 co +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ESP,1
22,.,None,,0
23,bastante ...,adv +...,ESP,0
24,claro .,co .,ESP,0
25,y la salida las rumbias yo soy mucho de salir a comer a un restaurante rico .,coord det:art part pro:obj v pro:sub cop adv prep inf aprep inf aprep det:art n adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
26,claro .,co .,ESP,0
27,de conocer lugares entonces ...,prep inf n co +...,ESP ESP ESP ESP,0
28,eso es claro porque /.,pro:dem cop co conj +/.,ESP ESP ESP ESP,0
29,eso fue un cambio para mí que no /.,pro:dem cop det:art v prep pro:prep pro:rel adv +/.,ESP ESP ESP ESP ESP ESP ESP ESP,0
30,claro .,co .,ESP,0
31,a mí me gustó o sea no en general no ...,aprep pro:prep pro:obj v coord cop adv prep adj adv +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
32,lógico .,adj .,ESP,0
33,es que yo pensé que en si fuese al revés una persona que vive toda la vida en Colombia se viene .,cop pro:rel pro:sub v pro:rel prep conj v aprep n det:art n prep imp det:indef det:art n prep n:prop pro:refl v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
34,.,None,,0
35,a lo mejor le cuesta irse .,aprep pro:obj adj pro:ind v inf .,ESP ESP ESP ESP ESP ESP,0
36,no me voy otra vez .,adv pro:obj v det:indef n .,ESP ESP ESP ESP ESP,0
37,sí no no no no .,co adv adv adv adv .,ESP ESP ESP ESP ESP,0
38,y depende de dónde ha vivido también .,coord v prep pro:int aux part adv .,ESP ESP ESP ESP ESP ESP ESP,0
39,entonces ya me volví para acá .,adv adv pro:obj v prep adv .,ESP ESP ESP ESP ESP ESP,0
40,y lógicamente como al principio cuando yo me iba a volver era sola .,coord adv:adj adv aprep n conj pro:sub pro:obj v aprep inf cop adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
41,y toda mi familia se quedaba allá .,coord det:indef det:pos n pro:refl v adv .,ESP ESP ESP ESP ESP ESP ESP,0
42,mhm .,L2 .,ENG,0
43,que me dio super duro .,pro:rel pro:obj v n v .,ESP ESP ESP ESP ESP,0
44,porque tenía que vivir en la casa de un tío .,conj v pro:rel inf prep det:art n prep det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
45,claro .,co .,ESP,0
46,y bueno ya me puse a trabajar .,coord co adv pro:obj v aprep inf .,ESP ESP ESP ESP ESP ESP ESP,0
47,y fue cuando entré a trabajar al consultorio odontológico .,coord v pro:rel v aprep inf aprep n adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
48,okay .,co .,ESP,0
49,siempre me gustaba mucho la odontología .,adv pro:obj v adv det:art n .,ESP ESP ESP ESP ESP ESP,0
50,siempre estaba muy involucrada en la odontología .,adv cop adv part prep det:art n .,ESP ESP ESP ESP ESP ESP ESP,0
51,sí .,co .,ESP,0
52,y empecé a trabajar .,coord v aprep inf .,ESP ESP ESP ESP,0
53,pero era trabajo de doce horas diarias .,conj cop v prep det:num n adj .,ESP ESP ESP ESP ESP ESP ESP,0
54,wow .,co .,ESP,0
55,no era poquito .,adv cop pro:indef .,ESP ESP ESP,0
56,era todo el día .,cop det:indef det:art n .,ESP ESP ESP ESP,0
57,y entonces en diciembre mis papás vinieron con toda mi familia /.,coord adv prep n det:pos n v prep det:indef det:pos n +/.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
58,sí .,co .,ESP,0
59,de vacaciones .,prep n .,ESP ESP,0
60,y estuvimos esquiando en New_Hampshire porque /.,coord aux ger prep n:prop conj +/.,ESP ESP ESP ESP ESP ESP,0
61,oh qué rico .,co pro:int adj .,ESP ESP ESP,0
62,my dad had one of those townshares /.,pro:poss:det n v pro:indef prep det n:pt +/.,ESP ESP ESP ESP ESP ESP ESP,0
63,okay .,co .,ESP,0
64,that you know we go every year .,rel pro v pro:sub v qn n .,ESP ESP ESP ESP ESP ESP ESP,0
65,okay .,co .,ESP,0
66,we've always gone every year so ...,pro:sub adv part qn n adv +...,ESP ESP ESP ESP ESP ESP,0
67,oh wow .,co co .,ESP ESP,0
68,y cómo es ?,coord pro:int cop ?,ESP ESP ESP,0
69,nos fuimos a esquiar .,pro:obj v aprep inf .,ESP ESP ESP ESP,0
70,super rico estar una quince días estuvimos esquiando .,n adj inf det:art det:num n aux ger .,ESP ESP ESP ESP ESP ESP ESP ESP,0
71,wow .,co .,ESP,0
72,yo pues lógicamente pedí yo vacaciones lo que sea .,pro:sub conj adv:adj v pro:sub n pro:obj pro:rel cop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
73,okay .,co .,ESP,0
74,cuando ya era tiempo de volver a trabajar y ellos volver al colegio y eso mi mamá dijo que no .,conj adv cop n prep inf aprep inf coord pro:sub inf aprep n coord pro:dem det:pos n v pro:rel adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
75,.,None,,0
76,y se quedaron aquí .,coord pro:refl v adv .,ESP ESP ESP ESP,0
77,ay qué bueno .,co pro:int co .,ESP ESP ESP,0
78,entonces mi papá compró casa y bueno en fin .,adv det:pos n v n coord co prep n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
79,y les gusta acá ?,coord pro:ind v adv ?,ESP ESP ESP ESP,0
80,y es que nosotros hemos vivido aquí toda la vida .,coord cop pro:rel pro:sub aux part adv det:indef det:art co:voc .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
81,claro //.,co +//.,ESP,0
82,ah tus papás también .,co det:pos n adv .,ESP ESP ESP ESP,0
83,lo que pasa es que mi papá vive enamorado de Colombia .,pro:obj pro:rel v cop pro:rel det:pos n imp part prep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
84,ése es su país y él creció en Colombia realmente .,pro:dem cop det:pos n coord pro:sub v prep n:prop adv:adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
85,de que parte 0de Colombia ?,prep pro:rel v prep n:prop ?,ESP ESP ESP ESP ESP,0
86,de Medellín .,prep n:prop .,ESP ESP,0
87,de Medellín .,prep n:prop .,ESP ESP,0
88,mis papás son de Medellín .,det:pos n cop prep n:prop .,ESP ESP ESP ESP ESP,0
89,entonces él realmente creció en Colombia él .,adv pro:sub adv:adj v prep n:prop pro:sub .,ESP ESP ESP ESP ESP ESP ESP,0
90,mhm .,L2 .,ENG,0
91,para él Colombia es lo máximo .,prep pro:sub n:prop cop pro:obj n .,ESP ESP ESP ESP ESP ESP,0
92,muy lógico .,adv adj .,ESP ESP,0
93,exacto .,co .,ESP,0
94,como para mí Estados Unidos .,adv prep pro:prep n:prop n:prop .,ESP ESP ESP ESP ESP,0
95,exacto lógico .,co adj .,ESP ESP,0
96,o sea para mí mi vida ha sido acá .,coord cop prep pro:prep det:pos co:voc aux cop adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
97,lógico .,adj .,ESP,0
98,"no igual mi mamá siempre dice ""/.","adv co det:pos n adv v +""/.",ESP ESP ESP ESP ESP ESP,0
99,en lo que yo no pueda ir no voy .,prep pro:obj pro:rel pro:sub adv imp inf adv v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
100,o sea mi papá dice que él es lo que es por Estados Unidos .,coord cop det:pos n v pro:rel pro:sub cop pro:obj pro:rel cop prep n:prop n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
101,y que tiene lo que tiene por Estados Unidos .,coord pro:rel v pro:obj pro:rel v prep n:prop n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
102,claro .,co .,ESP,0
103,porque es un país de oportunidades .,conj cop det:art n prep n .,ESP ESP ESP ESP ESP ESP,0
104,sí .,co .,ESP,0
105,blah .,co .,ESP,0
106,pero que Colombia es Colombia .,conj pro:rel n:prop cop n:prop .,ESP ESP ESP ESP ESP,0
107,sí sí sí .,co co co .,ESP ESP ESP,0
108,y su país es Colombia o sea ...,coord det:pos n cop n:prop coord cop +...,ESP ESP ESP ESP ESP ESP ESP,0
109,él no deja de ser colombiano por nada 0en el mundo .,pro:sub adv v prep inf n prep v prep det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
110,no a mí también yo bueno yo viví que veinte bueno veintiún años .,adv aprep pro:prep adv pro:sub co pro:sub v pro:rel det:num co adj n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
111,veinte veintiún años en Venezuela .,det:num adj n prep n:prop .,ESP ESP ESP ESP ESP,0
112,en Venezuela o sea tú eres venezolana cien por cien .,prep n:prop coord cop pro:sub cop adj det:num prep det:num .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
113,sí nací allí y todo entonces nunca salí /.,co v adv coord pro:indef adv adv v +/.,ESP ESP ESP ESP ESP ESP ESP ESP,0
114,papá se vino /.,n cop v +/.,ESP ESP ESP,0
115,o sea siempre he vivido allí .,coord cop adv aux part adv .,ESP ESP ESP ESP ESP ESP,0
116,papá se vino de Colombia él tenía .,n cop v prep n:prop pro:sub v .,ESP ESP ESP ESP ESP ESP ESP,0
117,que by the way se vino ilegal .,pro:rel L2 L2 L2 pro:refl v adj .,ESP ENG ENG ENG ESP ESP ESP,1
118,y mamá también cuando se vinieron ellos se vinieron .,coord n adv conj pro:refl v pro:sub pro:refl v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
119,wow .,co .,ESP,0
120,fue por eso es que yo nací en Los Angeles .,v prep pro:dem cop pro:rel pro:sub v prep n:prop n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
121,que él decía /.,pro:rel pro:sub v +/.,ESP ESP ESP,0
122,oh .,co .,ESP,0
123,cuando te estaba diciendo ahorita oh no yo a ...,conj pro:obj aux ger adv co adv pro:sub aprep +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
124,I've never heard of you know Colombians in LA .,pro:sub adv v prep pro v n:prop prep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
125,es porque realmente no ...,cop conj adv:adj adv +...,ESP ESP ESP ESP,0
126,oh .,co .,ESP,0
127,claro no es lo usual .,co adv cop pro:obj adj .,ESP ESP ESP ESP ESP,0
128,no exacto .,adv co .,ESP ESP,0
129,mis papás se vinieron por el hueco por o sea Méjico /.,det:pos n pro:refl v prep det:art n prep coord cop n:prop +/.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
130,.,None,,0
131,etcétera .,co .,ESP,0
132,wow o sea toda la aventura ésa wow .,co coord cop det:indef det:art n pro:dem co .,ESP ESP ESP ESP ESP ESP ESP ESP,0
133,o sea Colombia Centro América Méjico y cruzaron la frontera e ir para California .,coord cop n:prop n:prop n:prop n:prop coord v det:art n coord inf prep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
134,ay qué increíble .,co pro:int adj .,ESP ESP ESP,0
135,mis papás los dos juntos .,det:pos n det:art det:num adj .,ESP ESP ESP ESP ESP,0
136,sí sí era una super aventura y ...,co co cop det:art n n coord +...,ESP ESP ESP ESP ESP ESP ESP,0
137,.,None,,0
138,pero imagínate /.,conj imp +/.,ESP ESP,0
139,hay que un lío .,v pro:rel det:art n .,ESP ESP ESP ESP,0
140,eso fue un riesgo .,pro:dem cop det:art n .,ESP ESP ESP ESP,0
141,y mi mamá estaba embarazada ya conmigo pues de mí .,coord det:pos n cop part adv adv co prep pro:prep .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
142,.,None,,0
143,ay qué horror qué susto .,co pro:int n pro:int n .,ESP ESP ESP ESP ESP,0
144,y entonces lógicamente durante como esa transición de ahora qué ?,coord adv adv:adj adv adv det:dem n prep adv pro:int ?,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
145,sí .,co .,ESP,0
146,o sea que mi mamá me tuvo a mí en Los Ángeles .,coord cop prep det:pos n pro:obj v aprep pro:prep prep n:prop n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
147,o sea yo de mi cinco /.,coord cop pro:sub prep det:pos det:num +/.,ESP ESP ESP ESP ESP ESP,0
148,y cómo hacen o sea cuando pasen la frontera que lo ...,coord pro:int v coord cop pro:rel v det:art n pro:rel pro:obj +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
