,sentence,pos,language,switch
0,yo le estaba diciendo que hay gente que .,pro:sub pro:ind aux ger pro:rel v n pro:rel .,ESP ESP ESP ESP ESP ESP ESP ESP,0
1,yo le estaba diciendo que hay gente que lo ve extraño .,pro:sub pro:ind aux ger pro:rel v n pro:rel pro:obj v adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
2,qué cosa ?,pro:int v ?,ESP ESP,0
3,hacer esto .,inf pro:dem .,ESP ESP,0
4,María que me estaba diciendo que ...,n:prop pro:rel pro:obj aux ger pro:rel +...,ESP ESP ESP ESP ESP ESP,0
5,bueno porque no a todo el mundo le gusta que lo graben cuando está hablando .,co conj adv aprep det:indef det:art n pro:ind v pro:rel pro:obj v pro:rel aux ger .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
6,sí pero yo creo que porque no conocen porque no saben que //.,co conj pro:sub v pro:rel conj adv v conj adv v pro:rel +//.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
7,no no no sé no sé .,adv adv adv v adv v .,ESP ESP ESP ESP ESP ESP,0
8,no sé //.,adv v +//.,ESP ESP,0
9,no es tonta ni nada pero .,adv cop adj coord v conj .,ESP ESP ESP ESP ESP ESP,0
10,bueno a la verdad que a mí no me gusta mucho tampoco .,co aprep det:art n pro:rel aprep pro:prep adv pro:obj v adv adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
11,el día que me pidieron que hiciera la grabación para ese anuncio que iban a hacer de la historia de la señora que tuvo el problema de seguro .,det:art n pro:rel pro:obj v pro:rel v det:art n prep det:dem n pro:rel v aprep inf prep det:art n prep det:art n pro:rel v det:art n prep co .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
12,.,None,,0
13,yo no quería hacerlo .,pro:sub adv v inf .,ESP ESP ESP ESP,0
14,lo hice porque mi jefe me dijo que lo tenía que hacer .,pro:obj v conj det:pos n pro:obj v pro:rel pro:obj v pro:rel inf .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
15,y porque no tenía otra alternativa .,coord conj adv v det:indef n .,ESP ESP ESP ESP ESP ESP,0
16,pero .,conj .,ESP,0
17,did that come out already ?,v adv v adv adv ?,ESP ESP ESP ESP ESP,0
18,sí bueno no porque no lo tengo .,co co adv conj adv pro:obj v .,ESP ESP ESP ESP ESP ESP ESP,0
19,but where is it ?,conj rel aux pro ?,ESP ESP ESP ESP,0
20,?,None,,0
21,porque se lo llevaron a España .,conj pro:refl pro:obj v aprep n:prop .,ESP ESP ESP ESP ESP ESP,0
22,ah pero ya regresaron ?,co conj adv v ?,ESP ESP ESP ESP,0
23,y .,coord .,ESP,0
24,la Caro no ha regresado .,det:art n:prop adv aux part .,ESP ESP ESP ESP ESP,0
25,están de vacaciones .,cop prep n .,ESP ESP ESP,0
26,oh en París .,co prep n:prop .,ESP ESP ESP,0
27,hasta mañana .,prep adv .,ESP ESP,0
28,no te dije que esta muchacha Mary_Smith .,adv pro:obj v pro:rel det:dem n n:prop .,ESP ESP ESP ESP ESP ESP ESP,0
29,Mary_Smith una chava que viene //.,n:prop det:art n pro:rel v +//.,ESP ESP ESP ESP ESP,0
30,no una chava ella es una señora mayor que vive en Londres .,adv det:art n pro:sub cop det:art n adj pro:rel v prep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
31,se va a mudar a París .,pro:refl v aprep inf aprep n:prop .,ESP ESP ESP ESP ESP ESP,0
32,y ella trabajaba para el Exploratorium .,coord pro:sub v prep det:art n:prop .,ESP ESP ESP ESP ESP ESP,0
