,sentence,pos,language,switch
0,no se andan juntando con todo el mundo me entiendes o sea que no hay ...,adv pro:refl v ger prep det:indef det:art n pro:obj v coord cop pro:rel adv v +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
1,no hay drama .,adv v n .,ESP ESP ESP,0
2,sí exactamente lo que te iba a decir .,co adv:adj pro:obj pro:rel pro:obj v aprep inf .,ESP ESP ESP ESP ESP ESP ESP ESP,0
3,.,None,,0
4,no hay lugar para drama me entiendes .,adv v n prep n pro:obj v .,ESP ESP ESP ESP ESP ESP ESP,0
5,o sea sólo son ellos dos me entiendes no /.,coord cop adv cop pro:sub det:num pro:obj v adv +/.,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
6,nunca salen y nada .,adv v coord v .,ESP ESP ESP ESP,0
7,a sí no hay como que anduvieron que hablando que no sé qué que no se cuánto .,aprep co adv v adv pro:rel v pro:rel ger pro:rel adv v pro:int pro:rel adv pro:refl det:int .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
8,y porque ya ninguno de los dos sale me entiendes entonces ...,coord conj adv det:indef prep det:art det:num v pro:obj v adv +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
9,si Marcano nunca ha salido .,conj n:prop adv aux part .,ESP ESP ESP ESP ESP,0
10,no pues sí pues pero y ella pues ya no sale entonces .,adv co co co conj coord pro:sub co adv adv v adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
11,entonces ella como que no hay ...,adv pro:sub adv pro:rel adv v +...,ESP ESP ESP ESP ESP ESP,0
12,te vieron no sé dónde que no se .,pro:obj v adv v pro:int pro:rel adv pro:refl .,ESP ESP ESP ESP ESP ESP ESP ESP,0
13,porque siempre están juntos me entiendes .,conj adv cop adj pro:obj v .,ESP ESP ESP ESP ESP ESP,0
14,no hay ...,adv v +...,ESP ESP,0
15,es que mira en realidad sí .,cop pro:rel v prep n co .,ESP ESP ESP ESP ESP ESP,0
16,si quieres tener una relación seria tiene que hacerlo porque la gente /.,conj v inf det:art n adj v pro:rel inf conj det:art n +/.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
17,pues sí .,co co .,ESP ESP,0
18,o sea tampoco así pues porque los majes se han aislado completamente pero ...,coord cop adv adv co conj pro:obj n pro:refl aux adj adv:adj conj +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
