,sentence,pos,language,switch
0,"y me dijo ""/.","coord pro:obj v +""/.",ESP ESP ESP,0
1,bartender .,n .,ESP,0
2,yeah .,co .,ESP,0
3,most of students here are bartender .,qn prep n adv cop n .,ESP ESP ESP ESP ESP ESP,0
4,and they can manage to pay their through college .,conj pro:sub mod v inf v pro:poss:det adj n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
5,entonces en el aeropuerto el tipo que nos chequeó las maletas te .,adv prep det:art n det:art n pro:rel pro:obj v det:art n pro:obj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
6,el tipo sabe demasiado pana .,det:art n v adj n .,ESP ESP ESP ESP ESP,0
7,el vuelo se atrasó dos horas bien gracias .,det:art n pro:refl v det:num n adv n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
8,y tuve hablando con él las dos horas .,coord v ger prep pro:sub pro:obj det:num n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
9,y el tipo también sabes como que empezamos a hablar /.,coord det:art n adv v adv pro:rel v aprep inf +/.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
10,de regreso ?,prep v ?,ESP ESP,0
11,sí .,co .,ESP,0
12,empezamos a hablar .,v aprep inf .,ESP ESP ESP,0
13,y el tipo me dice que //.,coord det:art n pro:obj v pro:rel +//.,ESP ESP ESP ESP ESP ESP,0
14,"yo le digo ""/.","pro:sub pro:ind v +""/.",ESP ESP ESP,0
15,sabes porque I plan to move in August .,L2 L2 pro:sub v prep n prep n:prop .,ENG ENG ESP ESP ESP ESP ESP ESP,1
16,but I need to find a really good job .,conj pro:sub v inf v det adv adj n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
17,sabes a ver si ahí mismo en Jetblue me daban trabajo .,v aprep inf conj adv adj prep n:prop pro:obj v v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
18,y me dice bueno sabes obviamente conmigo /.,coord pro:obj v co co adv:adj adv +/.,ESP ESP ESP ESP ESP ESP ESP,0
19,me dio el número de teléfono y todo .,pro:obj v det:art n prep n coord pro:indef .,ESP ESP ESP ESP ESP ESP ESP ESP,0
20,"me dice ""/.","pro:obj v +""/.",ESP ESP,0
21,conmigo sabes ...,adv v +...,ESP ESP,0
22,try to see what I can do .,v inf v pro:wh pro:sub mod v .,ESP ESP ESP ESP ESP ESP ESP,0
23,aparte que te da free tickets .,adv pro:rel pro:obj v L2 L2 .,ESP ESP ESP ESP ENG ENG,1
24,he told me .,pro:sub v pro:obj .,ESP ESP ESP,0
25,él I was boarding //.,pro:sub n:prop:L2 L2 L2 +//.,ESP ESP ENG ENG,1
26,le doy el boarding ticket .,pro:ind v det:art L2 L2 .,ESP ESP ESP ENG ENG,1
27,"y entonces me dice ""/.","coord adv pro:obj v +""/.",ESP ESP ESP ESP,0
28,wait one moment .,v det:num n .,ESP ESP ESP,0
29,and I'll give you my phone un dominicano .,L2 n:prop:L2 L2 L2 L2 L2 det:art n .,ENG ESP ENG ENG ENG ENG ESP ESP,1
30,"y yo ""/.","coord pro:sub +""/.",ESP ESP,0
31,bueno okay .,co co .,ESP ESP,0
32,bien .,adv .,ESP,0
33,.,None,,0
34,estaba bueno ?,aux co ?,ESP ESP,0
35,no .,adv .,ESP,0
36,oh okay .,co co .,ESP ESP,0
37,.,None,,0
38,.,None,,0
39,nada que ver .,pro:indef pro:rel inf .,ESP ESP ESP,0
40,.,None,,0
41,entonces llego .,adv v .,ESP ESP,0
42,y estoy esperando así con María .,coord aux ger adv prep n:prop .,ESP ESP ESP ESP ESP ESP,0
43,y me da el nombre y apellido el email el número de teléfono .,coord pro:obj v det:art imp coord v det:art n det:art n prep n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
44,casi que le faltó fue el socio .,adv pro:rel pro:ind v v det:art n .,ESP ESP ESP ESP ESP ESP ESP,0
45,.,None,,0
46,okay .,co .,ESP,0
47,entonces me dio eso y tal .,adv pro:obj v pro:dem coord adj .,ESP ESP ESP ESP ESP ESP,0
48,"y me dice ""/.","coord pro:obj v +""/.",ESP ESP ESP,0
49,call me before you get back .,v pro:obj conj pro v adv .,ESP ESP ESP ESP ESP ESP,0
50,and I'll see if I can get you a buddy pass .,conj pro:sub v conj pro:sub mod aux pro det n n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
51,sabes que basically pago taxes y ya .,v pro:rel L2 n L2 coord adv .,ESP ESP ENG ESP ENG ESP ESP,1
52,no pago el tique .,adv v det:art n .,ESP ESP ESP ESP,0
53,ah .,co .,ESP,0
54,Henry quería hacer eso para irse a Canadá .,n:prop v inf pro:dem prep inf aprep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP,0
55,uhuh .,co .,ESP,0
56,entonces me dijo eso .,adv pro:obj v pro:dem .,ESP ESP ESP ESP,0
57,que ...,pro:rel +...,ESP,0
58,no el //.,adv det:art +//.,ESP ESP,0
59,"demasiado pana me dice ""/.","adj n pro:obj v +""/.",ESP ESP ESP ESP,0
60,y no nos puede conseguir a nosotros .,coord adv pro:obj v inf aprep pro:sub .,ESP ESP ESP ESP ESP ESP ESP,0
61,yo hablo con él .,pro:sub v prep pro:sub .,ESP ESP ESP ESP,0
62,para ver si nos vamos un fin de semana .,prep inf conj pro:obj v det:art n prep n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
63,sí .,co .,ESP,0
64,pero cuando yo ya viva allá para que tengan a donde llegar .,conj conj pro:sub adv co adv prep pro:rel v aprep pro:rel inf .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
65,yo tengo donde llegar .,pro:sub v pro:rel inf .,ESP ESP ESP ESP,0
66,mi primo vive allá el que se casó .,det:pos adj v adv det:art pro:rel pro:refl v .,ESP ESP ESP ESP ESP ESP ESP ESP,0
67,uhuh .,co .,ESP,0
68,yeah .,co .,ESP,0
69,he got married the twenty fourth of Thanksgiving igual que Carla .,L2 L2 L2 L2 L2 L2 L2 n:prop:L2 co pro:rel n:prop .,ENG ENG ENG ENG ENG ENG ENG ESP ESP ESP ESP,1
70,that's why I didn't go to his wedding in Mexico .,pro:dem adv:wh pro:sub mod v prep pro:poss:det n prep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
71,sí ?,co ?,ESP,0
72,I know .,pro:sub v .,ESP ESP,0
73,yeah entonces but he lives in New_York .,L2 adv L2 L2 L2 L2 n:prop:L2 .,ENG ESP ENG ENG ENG ENG ESP,1
74,"entonces el y que ""/.","adv det:art coord pro:rel +""/.",ESP ESP ESP ESP,0
75,you can come whenever you want sabes bueno .,L2 L2 L2 L2 L2 L2 co co .,ENG ENG ENG ENG ENG ENG ESP ESP,1
76,buenísimo .,adj .,ESP,0
77,qué pero igual cuando te mudes todos los fines de semana I'm there .,pro:int conj co conj pro:obj v det:indef det:art n prep n n:prop:L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
78,y si trabajar en Jetblue boarding pass every weekend .,coord conj inf prep n:prop L2 L2 L2 L2 .,ESP ESP ESP ESP ESP ENG ENG ENG ENG,1
79,obviamente .,adv:adj .,ESP,0
80,no yo lo que quiero sinceramente de pana es buscar un trabajo de .,adv pro:sub pro:obj pro:rel v adv:adj imp n cop inf det:art v prep .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
81,"y entonces él también me dice ""/.","coord adv pro:sub adv pro:obj v +""/.",ESP ESP ESP ESP ESP ESP,0
82,no mira the best to make a living as a student is to be a bartender .,co L2 det adj inf v det part conj det n cop inf cop det n .,ESP ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,1
83,y de paso que yo no quiero estudiar en las noches .,coord prep co pro:rel pro:sub adv v inf prep det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
84,quiero estudiar es en las mañanas porque sabes está la gente joven quiero //.,v inf cop prep det:art n conj v cop det:art n adj v +//.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
85,sabes por más que sea .,v prep adv pro:rel cop .,ESP ESP ESP ESP ESP,0
86,claro .,co .,ESP,0
87,I don't wanna be the only one in class en la noche .,n:prop:L2 L2 L2 L2 L2 L2 L2 L2 L2 prep det:art n .,ESP ENG ENG ENG ENG ENG ENG ENG ENG ESP ESP ESP,1
88,entonces sabes un trabajo de oficina no me conviene .,adv v det:art v prep n adv pro:obj v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
89,because it's from eight to five .,conj pro prep det:num prep det:num .,ESP ESP ESP ESP ESP ESP,0
90,and I don't want that .,conj pro:sub mod v pro:dem .,ESP ESP ESP ESP ESP,0
91,entonces lo que quiero es sabes de bartender será no sé ver cómo hago pero .,adv pro:obj pro:rel v cop co prep L2 cop adv v inf pro:int v conj .,ESP ESP ESP ESP ESP ESP ESP ENG ESP ESP ESP ESP ESP ESP ESP,1
92,yo creo que bartender es .,pro:sub v pro:rel L2 cop .,ESP ESP ESP ENG ESP,1
93,pero ya tu aplicaste a Pace ?,conj adv det:pos v aprep n:prop:L2 ?,ESP ESP ESP ESP ESP ESP,0
94,mandaste el essay o no ?,v det:art L2 coord adv ?,ESP ESP ENG ESP ESP,1
95,no no lo he mandado .,adv adv pro:obj aux part .,ESP ESP ESP ESP ESP,0
96,until when do you have /?,conj conj v pro v +/?,ESP ESP ESP ESP ESP,0
97,ahhah entonces hay NYU tiene y ya .,co adv v n:prop v coord adv .,ESP ESP ESP ESP ESP ESP ESP,0
98,pero por ejemplo Pace Mari Road Manhattan que es otra que vi .,conj prep n n:prop:L2 n:prop:L2 n:prop:L2 n:prop:L2 pro:rel cop det:indef pro:rel v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
99,este sabes hay unas cuantas .,det:dem co v det:art det:indef .,ESP ESP ESP ESP ESP,0
100,es más yo creo todas menos NYU tienen rolling admission .,cop adv pro:sub v det:indef adv n:prop v L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG,1
101,hm .,co .,ESP,0
102,que es que puedes aplicar hasta que empiecen las clases .,pro:rel cop pro:rel v inf prep pro:rel v det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
103,obviamente on a basis first come first serve .,adv:adj L2 L2 L2 L2 L2 L2 L2 .,ESP ENG ENG ENG ENG ENG ENG ENG,1
104,sabes por eso tengo que aplicar ya para que llegue a tiempo .,v prep pro:dem v pro:rel inf adv prep pro:rel v aprep n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
105,pero nada sabes voy a ir a cualquiera .,conj v co v aprep inf aprep pro:indef .,ESP ESP ESP ESP ESP ESP ESP ESP,0
106,y después en enero si dios quiere start at NYU .,coord adv prep n conj co v L2 L2 n:prop .,ESP ESP ESP ESP ESP ESP ESP ENG ENG ESP,1
107,verga ay que fino .,n co pro:rel adj .,ESP ESP ESP ESP,0
108,.,None,,0
109,fue lo máximo .,v pro:obj n .,ESP ESP ESP,0
110,I'm so excited .,pro:sub adv part .,ESP ESP ESP,0
111,fue lo máximo /.,v pro:obj n +/.,ESP ESP ESP,0
112,y hacía frío verdad ?,coord v adj co ?,ESP ESP ESP ESP,0
113,oh my god sabes me estaba congelando .,L2 L2 L2 co pro:obj aux ger .,ENG ENG ENG ESP ESP ESP ESP,1
114,oh my god .,co pro:poss:det n .,ESP ESP ESP,0
115,y eso que tenía veinte chaquetas veinte bufandas .,coord pro:dem pro:rel v det:num n det:num n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
116,ay de verdad ?,co v co ?,ESP ESP ESP,0
117,sí .,co .,ESP,0
118,.,None,,0
119,yo y que la yo me imaginaba a ti con el orange jacket walking down .,pro:sub coord pro:rel pro:obj pro:sub pro:obj v aprep pro:prep prep det:art L2 L2 L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG ENG ENG,1
120,.,None,,0
121,con tus taconcitos esperando el taxi .,prep det:pos n ger det:art n .,ESP ESP ESP ESP ESP ESP,0
122,y /.,coord +/.,ESP,0
123,me monté en un taxi .,pro:obj v prep det:art n .,ESP ESP ESP ESP ESP,0
124,pero no te tomaste la foto .,conj adv pro:obj v det:art n .,ESP ESP ESP ESP ESP ESP,0
125,.,None,,0
126,chama tomé diez fotos .,n v det:num n .,ESP ESP ESP ESP,0
127,que fue un día que fuimos María la amiga de María el novio de la amiga y yo .,pro:rel v det:art n pro:rel v n:prop det:art n prep n:prop det:art n prep det:art n coord pro:sub .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
128,que fuimos a pasear que yo quería /.,pro:rel v aprep inf pro:rel pro:sub v +/.,ESP ESP ESP ESP ESP ESP ESP,0
129,ah la amiga tiene novio ?,co det:art n v n ?,ESP ESP ESP ESP ESP,0
130,si mal .,conj adv .,ESP ESP,0
131,o sea no se separan estudian juntos .,coord cop adv pro:refl v v adj .,ESP ESP ESP ESP ESP ESP ESP,0
132,después de clases están juntos todo el día .,adv prep n cop adj det:indef det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
133,yeah it's bad .,co pro adj .,ESP ESP ESP,0
134,y María a todas estas .,coord n:prop aprep det:indef det:dem .,ESP ESP ESP ESP ESP,0
135,she had a breakdown porque she got drunk .,L2 L2 L2 L2 conj L2 L2 L2 .,ENG ENG ENG ENG ESP ENG ENG ENG,1
136,María .,n:prop .,ESP,0
137,María .,n:prop .,ESP,0
138,I didn't drink that day .,pro:sub mod v det n .,ESP ESP ESP ESP ESP,0
139,but they were all drinking .,conj pro:sub aux post part .,ESP ESP ESP ESP ESP,0
140,and then ...,conj adv:tem +...,ESP ESP,0
141,oh no .,co co .,ESP ESP,0
142,"yeah and then she's like ""/.","co coord adv:tem pro:sub co +""/.",ESP ESP ESP ESP ESP,0
143,Herminia let's go outside .,n:prop L2 L2 L2 .,ESP ENG ENG ENG,1
144,"and I was like ""/.","conj pro:sub cop prep +""/.",ESP ESP ESP ESP,0
145,okay .,co .,ESP,0
146,entonces salimos .,adv v .,ESP ESP,0
147,estamos hablando .,aux ger .,ESP ESP,0
148,y se pone a llorar .,coord pro:refl v aprep inf .,ESP ESP ESP ESP ESP,0
149,no que yo vine a visitar a Ana .,adv pro:rel pro:sub v aprep inf aprep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP,0
150,y ella quiere más al novio que a mí .,coord pro:sub v adv aprep n pro:rel aprep pro:prep .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
151,obviamente borracha pues .,adv:adj n co .,ESP ESP ESP,0
152,"me dice ""/.","pro:obj v +""/.",ESP ESP,0
153,quiere más al novio que a mí .,v adv aprep n pro:rel aprep pro:prep .,ESP ESP ESP ESP ESP ESP ESP,0
154,it's not fair I love her so much and this and that .,pro neg adv pro:sub v pro:obj adv qn conj det conj pro:dem .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
155,entonces sabes o sea mal .,adv v coord cop adv .,ESP ESP ESP ESP ESP,0
156,"le empezó a decir y que yo ""/.","pro:ind v aprep inf coord pro:rel pro:sub +""/.",ESP ESP ESP ESP ESP ESP ESP,0
157,I love mom and dad .,pro:sub n n coord n .,ESP ESP ESP ESP ESP,0
158,but I can't tell them .,conj pro:sub mod v pro:obj .,ESP ESP ESP ESP ESP,0
159,"me dice "".","pro:obj v +"".",ESP ESP,0
160,"cuando hablo con papi y mami por teléfono me dicen ""/.","conj v prep n coord n prep n pro:obj v +""/.",ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
161,te quiero mucho .,pro:obj v adv .,ESP ESP ESP,0
162,"y yo digo ""/.","coord pro:sub v +""/.",ESP ESP ESP,0
