,sentence
0,okay okay so eso these are new right ?
1,okay .
2,those are new okay .
3,this is //.
4,alright she left these here for you to I guess process them or whatever .
5,mhm .
6,right right .
7,whatever she needs to sign it .
8,okay .
9,okay ?
10,eh .
11,so everything is the same except the finances ?
12,everything is the same porque we switched it from Citizens to Universal .
13,oh yeah okay .
14,everything's been switched .
15,okay okay .
16,entonces .
17,oh that's right uhuh okay .
18,this is gonna go with the application to Universal this is going to go .
19,okay .
20,and then we're going to open a new file for finance which is something I think you guys don't have .
21,right no .
22,sí todo estaba junto .
23,okay .
24,well everything was together pero for the past couple of things yo no mandé esto .
25,yo no mandé el contrato .
26,okay .
27,that's why en los faxes que me venían eso like came in .
28,that's why lo están pidiendo .
29,exacto .
30,so we're gonna open new files .
31,mhm .
32,okay he only has one thing so we would do him en los folders más finitos .
33,mhm .
34,okay .
35,and the blue ones that you gave me there right ?
36,not we don't have to do the blue .
37,we can do /.
38,oh any .
39,yeah she just said yeah para empezar .
40,okay okay .
41,so what you do is you put the policy on the right and the correspondence on the left .
42,mhm .
43,mhm .
44,okay .
45,so ya tú sabes aquí está todo junto .
46,mhm .
47,sí sí que a la hora de buscar it's okay .
48,we're not .
49,and now it's going to be individual .
50,alright .
51,okay okay .
52,okay ?
53,so that'll work .
54,right .
55,y entonces okay so then we'll do that .
56,so ...
57,so I'll put everything together and make a copy of everything .
58,mhm .
59,y después esto va a ir separado que es en otro folder .
60,right .
61,which is gonna be a finance folder .
62,a finance okay .
63,you know so that's how this one is gonna be .
64,so I'm gonna leave that out there okay .
65,so pretty much yo creo que todas esto /.
66,okay .
67,este se formó ...
68,tremendo lío .
69,tremenda lío .
70,really ?
71,big time yeah .
72,pero bueno eso es y después te lo //.
73,mhm .
74,te lo cuento .
75,entonces también este se va a tener que abrir in a commercial folder .
76,mhm .
77,okay .
78,okay ?
79,which the commercials are different as well right ?
80,yeah but if it's like como ese que es just a GO lo hacemos en el finito para no coger the /.
81,oh yeah .
82,sí pero no los big ones .
83,right .
84,okay .
85,sí únicamente que they have like everything like homeowners insurance whatever flood .
86,then we do the big one .
87,yeah .
88,okay .
89,okay what else ?
90,entonces nada es Julia Pérez .
91,okay .
92,Morales Muñoz we just redid again .
93,pero ...
94,ajá .
95,so este es signature and the processing of the thing .
96,okay .
97,so todo está en finance .
98,yes .
99,okay .
100,so .
101,and these are all like renewals that came in or ?
102,oh /.
103,estos son los problemáticos .
104,ah que tuvieron que rescribirlos .
105,todo ?
106,because she forgot this .
107,really ?
108,cuando se cuando se arregló el problema she forgot normally .
109,ajá .
110,y pasó un mes .
111,todo el mundo cogió cancelación .
112,y y no tenían la explicación en ?
113,oh my god what a mess .
114,no .
115,no había nada nada nada nada nada .
116,yeah yeah so imagínate viernes aquí .
117,holy shoot .
118,cómo fue la //?
119,okay this what did we do here ?
120,entonces these are for the contracts to do that .
121,okay .
122,this is new .
123,mhm .
124,okay .
125,this is new .
126,.
127,right .
128,and he paid it off or ?
129,he paid it off .
130,yes .
131,so a este no más hay que hacerle copia .
132,y mandarlo de nuevo .
133,okay perfect .
134,okay another thing .
135,mhm .
136,I need to know if anything new has been done within the last two weeks .
137,mhm .
138,so we can keep track of it in the binder book .
139,okay .
140,alright yeah I've been writing them here .
141,you've been doing them here ?
142,okay .
143,yeah .
144,yeah I've been writing them here .
145,okay but how do you know if it's new ?
146,like .
147,right that's what I'm saying .
148,I'll have to figure out if it's new .
149,I know this one was new .
150,mhm .
151,Mayra o Tina .
152,estos no eran nuevos .
153,hubo algunos que se pusieron ...
154,mhm .
155,aquí .
156,.
157,so we'll see here cause we have an idea .
158,ah okay .
159,mhm .
160,.
161,.
162,teléfono ese .
163,okay .
164,the last new .
165,okay wait .
166,Ricardo Hernández .
167,mhm .
168,we did .
169,is he there ?
170,sí Ricardo Hernandez is here somewhere on here .
171,nope .
172,he's not .
173,because Ricardo Hernández we did under me .
174,oh .
175,y yo no lo escribí .
176,I don't know this is under what still ?
177,this is under ...
178,Ana ?
179,yeah .
180,.
181,okay .
182,then we did Kelly Flores .
183,mhm .
184,no but I don't have that here .
185,unless pero qué /.
186,which was three five .
187,I wonder if it's Colleen no ?
188,ah no perdón .
189,pero three five is here .
190,mira .
191,okay .
192,mira Ricardo Hernández .
193,ya lo tenía .
194,Ricardo Hernández .
195,ahhah .
196,y cuál era el otro ?
197,okay .
198,Kelly Flores ?
199,Kelly Flores .
200,ah that one I don't see here .
201,no .
202,Rosa María Salgado .
203,that one ...
204,is there .
205,yes Salgado right there .
206,Catalina Loango ?
207,sí esa está ahí Catalina .
208,okay .
209,ah .
210,that's it .
211,mhm .
212,after that that's it .
213,so Kelly Flores .
214,yeah so we need to find out .
215,.
216,bye .
217,.
218,thank you .
219,sí verdad .
220,hasta luego .
221,.
222,so anything after Catalina because maybe some of those are renewals .
223,okay .
224,ajá .
225,I'm not sure .
226,sí sí .
227,"sí , no todos son nuevos ."
228,they're not all new .
229,.
230,you're very welcome .
231,are you better feeling better ?
232,.
233,yes .
234,well you don't look better .
235,no you shoulda seen her Friday .
236,.
237,.
238,oh my god .
239,ay thank you .
240,I know they're very nice .
241,yes they're brown .
242,.
243,they're super .
244,como se están usando los zapatos esos así .
245,yeah .
246,gorgeous right ?
247,I got these at Banana_republic on sale .
248,really ?
249,on like a clearance .
250,you know oh my god when I was in Orlando I went to the premium outlets .
251,mhm .
252,and we went to Banana_republic .
253,oh my god the men's shirts were like seven dollars .
254,las camisetas de mujeres diez dólares .
