,sentence
0,cuándo vamos a salir ?
1,no sé un día de estos .
2,pero este fin de semana .
3,cómo ?
4,que a la calle solo hoy .
5,por qué ?
6,ay bueno porque es el cumpleaños de la Estrella en la noche .
7,qué Estrella ?
8,la prima de Toni y lo va a celebrar en .
9,vas a ir .
10,yo quería ir .
11,pero allá imaginate nos caen todas no jodas no me levanté ni para ir a clases .
12,y y tu mamá sabe eso o no sabe cuándo te toca o no te toca ?
13,sí sabe cuando me toca .
14,y no te dijo nada ?
15,nada más ella me levantó y yo me desperté .
16,no .
17,pues me vine y me metí en la cama con ella y me quedé dormido .
18,qué estúpido !
19,es que me levanté como que iba para clases y me dio boludo y me vine a acostar con ella .
20,no jodas .
21,y nos quedamos dormidos .
22,no jodas mi mamá no me hubiera dejado hacer eso .
23,me hubiera dicho chavalo jodido andate a clase .
24,no me deja quedarme mi mamá .
25,.
26,ah .
27,te vuelves a dormir conmigo .
28,mhm mhm .
29,pues sí pero like my mom no hace eso .
30,a mí mamá me dice wake up y andate a la verga .
31,nada de que te vas a quedar durmiendo conmigo ni aunque te quedes conmigo le digo levántate and go to class .
32,sí hombre pero no sé ahorita tengo que ir a la universidad porque me voy a ir a matricular a unas clases además tengo que llevar un turcazo de clases ahora .
33,y cuántas clases /.
34,tres .
35,cuántas clases estabas llevando ?
36,no pues es que tengo que ponerme a estudiar todo el día maje estoy cagado la verdad es que como /.
37,sí no estás perdiendo el tiempo .
38,pues no jodas después cuando veas pasan los años y vas a estar atrasado atrasado atrasado .
39,por eso .
40,entonces me voy a matricular y voy a estudiar como no sé me imagino que casi todo el día .
41,voy a llegar en la mañana como a las nueve .
42,y no vas a trabajar .
43,venís a almorzar .
44,ah .
45,creo que no .
46,por qué ?
47,porque no tengo que trabajar .
48,mhm .
49,ah ya no estás en el aeropuerto ?
50,como no pues pero mi mamá dice que realmente yo no tengo que trabajar .
51,bueno sí idiay si te van a estar dando todo .
52,sí .
53,pero no jodas loco pero once like que empiezas a trabajar es como que aunque de o sea dejas de trabajar y aunque te estén pagando todo bróder es como que no sé te sentís raro porque ya estabas acostumbrado a que te entraran tus reales me entiendes .
54,y que hacías lo que se te diera la gana .
55,sí hombre .
56,sí hombre .
57,0o sea si .
58,pero bueno vamos a ver .
59,yeah .
60,de todos modos voy a agarrar un part_time para el fin de semana /.
61,no huevón un partimecito ahí idiay realitos extras ahí no te estorban para nada .
62,mhm lo voy a vender ahí a la calle ocho .
63,qué estúpida que sois ahí es muy barato estúpida .
64,ah es muy barato ?
65,sí .
66,andate a otro .
67,sí me voy a meterme ahí a Aeropostale allí con una amiga que tengo .
68,qué amiga ?
69,una niña de pelo largo .
70,qué amiga estúpida la conozco ?
71,se llama Marta .
72,qué estúpida !
73,venga .
74,tu madre yo pensé que I thought you were being serious qué estúpida .
75,.
76,I'm like .
77,yo qué maje de pelo largo verdad bróder todas las majes que trabajan ahí tienen pelo largo .
78,qué estúpido que soy .
79,se llama se llama Marta Martita .
80,qué estúpida la Marta .
81,anda aplica están contratando ahorita .
82,qué cagada creo que queda lejísimos esa verga .
83,ah .
84,me queda super lejos .
85,bueno eso sí .
86,pero idiay aplica en un mall que te quede cerca .
87,qué mall te queda más cerca ?
88,no jodas loco Southland mall o el Dadeland mall .
89,idiay ándate al Dadeland no Dadeland no tiene Aeros .
90,sí Dadeland tiene Aeropostale bróder anda aplica ahí .
91,sí tiene .
92,ah ?
93,sí tiene .
94,qué ?
95,sí tiene .
96,sí sí tiene anda aplica ahí estúpido .
97,sí vamos a ver .
98,también tengo ganas de que me contraten en una tienda de así como que de_a_cachimba tipo no sé tipo Express una verga así .
99,bueno entonces aplica ahí pendejo .
100,like honestly yo no te recomiendo Aeros .
101,.
102,porque pagan una mierda loco .
103,cuánto cuánto pagan pues ?
104,siete veinticinco .
105,yo ya renuncié .
106,ya renunciaste idiay .
107,o sea todavía estoy ahí pero ya renuncié like el sábado it's my last day .
108,.
109,sí .
110,y ahora qué vas a hacer ?
111,o sea yo sigo con mi trabajo en Univisión .
112,"y apliqué al Marriott porque este maje de Ryan me dijo ""."
113,aplica que te van a llamar que no sé qué que ...
114,me dijo te llaman en estos días .
115,y el maje me ha estado preguntando ya te llamaron ya te llamaron ?
116,y luego no ni verga no me han llamado nada le digo .
117,entonces lo voy a llamar ...
118,en un rato lo voy a llamar para preguntarle que ahorita me recordaste .
119,y apliqué en Bestbuy dicen que ahí es bueno .
120,entonces like voy a aplicar ahí en varios lugares para ver qué onda like .
121,por el momento pues no voy a quedarme sin hacer nada porque esta semana que viene grabamos así que voy a estar trabajando aunque tengo spring break pues no voy a clase gracias a Dios .
122,entonces todo eso me lo voy a ahorrar en gasolina porque ese viaje hasta allá le cuerea .
123,le .
124,dónde es tu universidad ?
125,ah ?
126,dónde es tu universidad ?
127,en Miramar casi Fort_Lauderdale .
128,y por qué vos ?
129,porque ahí queda idiay qué quieres que haga .
130,ahí la construyeron hermano .
131,no había una más cerca ?
132,no .
133,está Johnson_and_Wales que está en Miami_Beach pero ...
134,claro es de que yo me precipité loco .
135,me precipité yo debería haber esperado un poquito más para ver otras cosas y otras universidades pero bueno .
136,it is what it is .
137,ya sólo me quedan tres semanas y ya a la verga loco .
138,yeah three more weeks y ya termino vos .
139,.
140,pues sí ya like mi graduación es en octubre .
141,pues la ceremonia vos .
142,me vas a invitar ?
143,pero por supuesto que no .
144,sólo va gente decente .
145,qué estúpido !
146,.
147,yo cuando me pongo mi saco me miro bien elegante .
148,claro pareces puta de clase .
149,me pongo mi saco con cola de pato .
150,puta con clase no la cola de pato la tenéis siempre estúpida .
151,.
152,fui a discoteca el sábado .
153,aquí pues .
154,ah ?
