,sentence
0,so he goes over to the creepy_crawly and he pulls it out the pool and one leg is broken .
1,that's why it wasn't moving .
2,the pump was good .
3,but he replaced the seal the o_rings .
4,and how much did he charge ?
5,a hundred and twenty dollars .
6,and how much would it been if we went and got the gauge and fixed the creepy_crawly up ?
7,the creepy_crawly would have been maybe thirty bucks if I would have gone .
8,but I didn't know it was broken .
9,and the gauge thing the pressure ?
10,the gauge thing he replaced it .
11,I don't know how much that cost me but the visit alone was sixty .
12,and then he replaced the o_rings which really /.
13,this is the Bill guy ?
14,yeah Bill .
15,did you ask him about the pool heater ?
16,or you didn't ask ?
17,"you know he said ""/."
18,listen ...
19,because I told him about my brother inlaw and everything .
20,goes /.
21,listen I guarantee you he's gonna get you a better price than my boss is gonna let me sell you one for .
22,and what about installing it ?
23,no installing if we have this guy .
24,or Paul .
25,yo no quiero contar con él .
26,I'll call .
27,with Paul ?
28,because then /.
29,él se demora .
30,and he is going to school now .
31,and he has the ...
32,he means well pero when family gets put last .
33,the company .
34,the grass isn't growing here .
35,and where's the gak thing you're saying was coming out of it ?
36,look you see it ?
37,no .
38,coming out of the .
39,white little exhausts .
40,no not really .
41,if you stand up and look it looks like slime .
42,looks like gak .
43,but has it gone better since you cleaned the footer ?
44,no .
45,he says has to come over and do a ...
46,coil cleaning .
47,a coil cleaning .
48,but the guy that installed the antenna said that not to touch it that that's poisonous and corrosive and ...
49,ay .
50,"Paul said ""/."
51,no it's just dirt and water that's accumulated .
52,it's not toxic .
53,it's not corrosive .
54,it's nothing .
55,exagerado !
56,I have to jump in the pool tomorrow at some point .
57,I hope it's warm .
58,because I gotta to put the blocker on the drain so the creepy_crawly doesn't get stuck and ...
59,and it's clean ?
60,it's gonna be cold .
61,it's clean .
62,I want the heater .
63,.
64,.
65,would be nice .
66,it should be coming in soon .
67,ten to twelve days .
68,Wednesday ?
69,eight to fifteen days .
70,they said ten to twelve .
71,eight to fifteen .
72,it said it on the package .
73,eight to fifteen business days .
74,mhm .
75,today counts as a business day .
76,yeah .
77,so we went on Thursday ?
78,yeah we went on Thursday .
79,yeah .
80,.
81,so today is the eighth .
82,today is the eighth so any time after this .
83,yeah .
84,what time do you have to be at the workshop tomorrow ?
85,eight o'clock in Miami_Springs .
86,what time do I have to leave ?
87,there's no traffic .
88,seven twenty leave at seven thirty .
89,did I tell you that Julie's going ?
90,but does Julie know if you can apply then for mentoring points ?
91,Julie said you could .
92,so if you go to the workshop you can ?
93,she's mentoring .
94,so she's mentoring and she's gonna be able to count all the points .
95,yeah .
96,all the hours .
97,yeah but I think she's just going to scam it and you know mark the ones she's already done because there was a certain number that you had to have .
98,there's no way you can do ninety from now to March thirty first unless you're sleeping with the person and living with the person .
99,maybe they'll the last batch .
100,yeah but I know that you had to input it prior to //.
101,like now like they have like little deadlines that you have to input like the hours that you had before January //.
102,you have to put the hours before January the hours before February the hours before March .
103,oh you just ninety hours of mentoring .
104,no hay duda de eso .
105,and the truth of the matter is you have /.
106,no I know .
107,and I know I've done the ninety hours .
108,I just /.
109,and I'm giving you mine .
110,mhm no you can't give me yours .
111,I was telling Gloria //.
112,no .
113,I will though .
114,"I was telling Gloria that after I stayed with Janet till ten o'clock at night you know and we're late and everything she emails me today ""/."
115,I'm not gonna be able to video the second lesson again .
116,you know I'm just what I have .
117,I hate when people do that .
118,I don't know if I told you that .
119,and I just didn't respond .
120,and I told Gloria because /.
121,Sunshine !
122,hundred percent if she's not gonna give herself a hundred percent ?
123,it's not worth it .
124,I have enough to do .
125,I've to work on the fricking formatting crap .
126,Sunshine be careful .
127,it was very minor what they told me I had to change .
128,what ?
129,centering a page .
130,margins a no sé qué on the appendix .
131,but you see what I'm saying is they should not give you because they've asked you to format a thousand different ways .
132,they should have one person at the end of the process once everything's approved doing the formatting .
133,okay you need to change this and this .
134,that's what the college //.
135,so should have one person in charge of formatting .
136,in the college of education they hire Mrs_Dr_Blap to do that .
137,but they submitted my dissertation with those formatting issues because they knew that it would still pass for the defense .
138,some of the catches she didn't catch .
139,and she caught things that they didn't catch .
140,qué ?
141,I was looking today .
142,los varones estaban jugando fútbol .
143,y Maruja the girl from across the street /.
144,oh .
145,was outside talking on the phone .
146,uhuh .
147,and I was watching this from Rosa's bedroom .
148,and I would see that she would be looking at them and talking on the phone and ...
149,they would catch passes in front of her .
150,when have they ever decided to play football here ?
151,two weeks ago .
152,when we had the music playing .
153,mhm .
154,I was thinking that I don't know Mary siempre se fastidia getting all the drinks .
155,we should get /.
156,did you saw that orange Gatorade thing from when you're coaching ?
157,yeah .
158,we should every now and then have /.
159,why what's wrong with Mary ?
160,que these kids need to drink .
161,and they probably go into Mary's house I think all the time and drink .
162,we need to be supplying them with drinks .
163,when I was a kid you know we used to do ?
164,we used to get the hose and drink from the hose .
165,if they're too prissy to drink from the hose then let them go inside and get drinks .
166,okay they have not /.
167,I'm not going to be supplying little thing .
168,the next thing you know I'd be taking pictures of them as they're playing basketball .
169,.
170,and he is a .
171,.
172,my grass isn't growing .
173,I'm not happy .
174,you know why ?
175,because these trees block the sunlight .
176,and why does it have to be grass here ?
177,I like it grass .
178,what else would you recommend ?
179,pebbles mulch .
180,mulch do you think I should ?
181,I have two bags of mulch I can lay .
182,then do it because ahí no va a crecer nada .
183,look it the shade is completely covering it .
184,I have hope .
185,and you never know if birds have eaten the seeds .
186,Sunshine !
187,no .
188,bird can't even see the seeds .
189,they don't see worms either yet they eat them .
190,yeah they see the worms .
191,they dig into the ground to get a worm .
192,she has something in her tail .
193,y Rosa hoy dijo que la iba a bañar .
194,Sunshine .
195,ella luce limpia ?
196,.
197,no .
198,ah .
199,she hasn't been bathed .
200,she took her in the morning like she was gonna bathe her .
201,milagro que Marga hasn't come out .
202,como así .
203,huh ?
204,she's coming ?
205,eh ?
206,no .
207,I think they're all enjoying t_v .
208,I didn't think anybody was gonna be at work today .
209,Sunshine get away from that cactus .
210,ah ?
211,I thought was just gonna be me and Rosa .
212,and I even told Rosa I was gonna get there at tenish .
213,pero no hubo tráfico so I was able to go straight .
214,and that's it .
215,go in FIU .
216,and picking up the thing .
217,there's no traffic .
218,was she there before you ?
219,no but Susie was .
220,no I'm saying Susie .
221,yeah when I got in the door was unlocked and how weird .
222,but wasn't she supposed to be out ?
223,I thought everybody was gonna be out today .
224,that's what I had heard that everybody was out .
225,es que she gave everybody the day off except for herself /.
226,y ...
227,which is fine .
228,we made a lot of progress .
229,y cómo te fue el día ?
230,all day .
231,the morning was getting ready for the meeting .
232,basically it was CC's integrates .
233,I gave her the ideas .
234,pero she ...
235,modified them .
236,complicated them .
237,she C_C_ed them .
238,if that means complicate then yeah .
239,you know these are meant to be for teacher assistants and they're supposed to be nonthreatening lowprep you know emphasizing /.
240,and I had told her you know do something on conservation because there's water ...
241,I given her .
242,long story short it was very complicated so ...
243,I had already gone through them because supposedly that's what I was gonna do yesterday .
244,so then in the morning I went through them I made copies of everything and then I also gave /.
245,for example one of the reviewers had recommended a book in the lesson of displacement where the water is displaced ...
246,mhm .
247,called the crow and the pitcher .
248,it's an Aesop fable .
249,Aesop .
250,.
251,eso mismo .
252,Aesop .
253,AESOP .
254,Aesop .
255,it has an A .
256,Aesop's fables .
