,sentence
0,the two piece set of the water glasses is ...
1,can you do me a favor ?
2,what ?
3,go to Paypal .
4,because I think that's a little bit more important right now than looking at some dollar store online .
5,you know how to log in ?
6,you do it .
7,give me the computer .
8,okay .
9,because this guy wanted to buy the headlights .
10,and he said he was going to send the money in today .
11,so if he does that's my to call him .
12,at hot female dot-com .
13,oh yeah it's a little gay that that it's at Hotmail_dot-com not Hotfemale_dot-com .
14,ay ya .
15,I'm gonna Hotfemale_dot-com .
16,then I'll be diez mil en Hotfemale_dot-com instead of at ...
17,.
18,eh eh eh .
19,I bet it exists right .
20,then let's make an account .
21,don't you think that's funny ?
22,is that that French teacher's artwork ?
23,is it ?
24,I think so .
25,I saw another one of his on the wall the other day in the other side of the library .
26,I see .
27,but why the hell does he put the fricking ...
28,and the ornaments .
29,why does he have the periodic table on ?
30,I don't know .
31,that's ridiculous .
32,okay no he didn't send the money .
33,so I thought he wanted it today .
34,check my email for me ?
35,let's see if he wrote to me or something .
36,you know Matt has actually asked me about the fish .
37,what did he say ?
38,"well he asked me ""/."
39,how are your fish doing ?
40,and I told him that the puffer fish had died and ...
41,although that was a while back right .
42,he hadn't asked me you know .
43,yeah I know .
44,"and he said ""/."
45,oh well aren't those you know brackish water ?
46,the other guy had told him .
47,and then I told him about the boxfish that we got .
48,what did he say ?
49,that not to eat it !
50,.
51,he said that they have poisonous swim bladder .
52,oh we weren't gonna eat it .
53,you wanted to sell it .
54,yeah well but ...
55,okay .
56,I don't think you're ...
57,your book has shipped .
58,.
59,what ?
60,you like colon cleanse .
61,detoxify your body .
62,no I don't want that .
63,okay delete all of them except the ones from Six_gen_maxima the ones from two books for you .
64,baby so delete the other ones .
65,don't do that .
66,put delete all .
67,oh oh oh right right .
68,that's what I was planning /.
69,then take them out .
70,.
71,don't make fun of me .
72,and then that one again .
73,and the Amazon Marketplace purchase no you gotta delete that .
74,so everything else just leave those three things ?
75,yeah .
76,right let me see the one for the two books .
77,what's your tracking number ?
78,I don't think I got a tracking number .
79,because I paid for the cheapest eh shipping .
80,who cares ?
81,okay .
82,so put it to save .
83,no put it on the school .
84,put it move to school .
85,.
86,to F_I_U .
87,right here move to FIU .
88,alright and then check the other ones for me .
89,just click on it .
90,okay .
91,now someone show me ...
92,how we're fixing please .
93,I will do this good .
94,because I have no way of //.
95,I'm not gonna .
96,where's the home ?
97,it's a different person .
98,it's a different guy asking .
99,okay because I said //.
100,close it .
101,because somebody asking about how to wire the foglights in the car so that they come on on their own .
102,delete it ?
103,yep .
104,falta uno .
105,yeah clear them out .
106,because Jared says ...
107,maybe he doesn't know .
108,because maybe he just pays for everything .
109,maybe he doesn't know .
110,but he says that his installer guy got the windows to go up and down with the alarm .
111,I'm thinking that the installer just charged them for the modules .
112,so maybe they'll go up and down .
113,and he doesn't know .
114,what he's saying that it's without putting the modules .
115,I think that he's wrong .
116,because /.
117,hey oh on the ...
118,yeah because the thing is if they have one .
119,but they charge him a hell of a lot of money .
