,sentence
0,so you don't even look at a computer .
1,like he does it .
2,but he just does as far as he gets you know what I mean ?
3,yeah .
4,and like he'll have time to do like maybe //.
5,like we have to turn in a project for //.
6,like every couple three weeks you turn in a project .
7,and then we have to do like one two or three tutorials .
8,and when he does the tutorials like he'll get through like one in each class .
9,but he won't go over all the material .
10,the projects take like four hours to do so mm ...
11,so he doesn't go over all the material .
12,and the only time that we like actually have inclass time with the computer like the teacher like can help you ...
13,uhuh .
14,is on Thursdays .
15,and it's only /.
16,no .
17,from twelve thirty to one forty five .
18,and he looks really like strict man .
19,yeah bro .
20,when I still have my hard //.
21,he still has my hard drive .
22,I still haven't gone to get it .
23,been there for like a year .
24,flash drive ?
25,yeah .
26,yeah bro .
27,I've lost two already because I give them ...
28,I turn them in .
29,and like the next week I forget to get them back .
30,and then like the week after that he doesn't know where the hell they are .
31,for real ?
32,yeah .
33,usually he knows where it is .
34,but .
35,but he's like oh yeah .
36,but because I don't know .
37,he said there was something wrong with him .
38,watch that girl that walks like a robot .
39,.
40,.
41,oh that's the girl from the gym right ?
42,yeah she lives in the Everglades .
43,but ...
44,he doesn't //.
45,he says he's got a heart problem or something now .
46,and so he doesn't check the work .
47,like he actually has a person that helps him in another class check all the work for him .
48,"but when I asked him he's like ""/."
49,yeah yeah I have here that you did it .
50,but I don't know like .
51,I don't know what to tell you about your flash drive .
52,so I brought through two other .
53,I figured another one .
54,because I did the same thing the last time we turned all our projects in .
55,so he's losing the the flashdrive ?
56,I don't know if it's him .
57,it might be the other lady there .
58,but that's his fault man .
59,because we have a lady .
60,but whatever bro .
61,as long as he gets the grades in and stuff .
62,dale !
63,I don't care .
64,dale .
65,yeah that anatomy class something is pretty hard man .
66,that's what I thought .
67,take the nights bro .
68,you have to take anatomy ?
69,oh I thought you said the advanced class of that .
70,you have to take the advanced class of that .
71,yeah .
72,doesn't Dan know everything about that ?
73,I'm sure he does .
74,I'm gonna ask him .
75,.
76,he had to have taken it right ?
77,yeah he did take that class .
78,computer but mine was computer application for business .
79,and then I have advanced computer application .
80,what's your major again ?
81,international business and marketing .
82,oh yeah .
83,double major .
84,damn .
85,yeah bro .
86,now I told you how I found a lot of everything about that car bro .
87,what ?
88,that it's two grand over the cost of that car to get it fixed .
89,oh yeah yeah a lot of .
90,for like a two thousand one Honda_Civic like with leather .
91,and like I mean it's got a lot of extras and stuff .
92,it's like seventy one hundred .
93,and the estimate came back at ninety two hundred bro .
94,how many miles did it have on it though ?
95,like fifty .
96,fifty ?
97,yeah .
98,fifty what thousand ?
99,yeah .
100,and what year was it ?
101,two thousand one .
102,damn man .
103,why such little mileage ?
104,huh ?
105,why such a little mileage ?
106,because it was her car from like when she was in high school .
107,she bought that car when she was a sophomore .
108,and then like she went to college or whatever .
109,and like didn't drive .
110,she went to USF .
111,so at that campus it's not like Miami like you know what I mean ?
112,yeah .
113,you go over there you just hang out there fraternity houses sorority houses or whatever .
114,like go to city every once in a while .
115,and she didn't come home .
116,she came home like bro twice a semester .
117,so she never really drove .
118,and then when she graduated from college and got that job working in New_Jersey ...
119,uhuh .
120,my but she got like seventy eight grand a year like right out of college banking .
121,so my parents they bought her a new car .
122,and she just kept that car you know what I mean ?
123,where does she live now ?
124,Princeton New_Jersey .
125,she lives in Jersey ?
126,yeah .
127,does she like it over there ?
128,yeah bro she likes it a lot .
129,and I think the only reason she likes it that much though is because she started dating this kid like three or four years ago bro .
130,I don't even remember how long ago .
131,I think it was like three years ago .
132,but he's from Pittsburgh .
133,and he goes to school in Arizona .
134,and like right about the time that like she got the job she graduated in fall //.
135,uhuh .
136,in spring of last year so O_seven .
137,and then got the job like right after that .
138,and for fall of O_seven her boyfriend came back to Pittsburgh to do internship with U_S_View .
139,and so they were right next to each other .
140,why what is he studying ?
141,I think something with business .
142,like marketing or management business management something like that .
143,he's a smart kid bro .
144,so what it's like a long distance relationship ?
145,yeah it was .
146,and now he's back in Arizona so .
147,but whatever man I've been working out for three years bro .
148,I heard Jersey is like just the sun doesn't come out a lot and they got a lot of pollution .
149,yes but that's how everything up north is like .
150,bro when I up to New_York with Adam this summer bro it just got uglier and uglier the higher //.
151,.
152,like the farther north you go it just gets uglier .
153,like Florida is chill and nice sunny like palm trees you know nice and green .
154,and then you get to like Atlanta .
155,and it's kind of the same .
156,unless you're like in the city .
157,yeah .
158,whatever .
159,and then in Georgia and in North_Carolina /.
160,but were you there during the summer ?
161,bro I drove from I drove from Tampa well from four miles all the way to Buffalo New_York over the summer .
162,cough .
163,like couple or three weeks before I started here at FIU for the fall .
164,damn .
165,but it just gets uglier bro .
166,it's all sunny because of the smog .
167,because down here it's all like farming .
168,yeah yeah .
169,it's not like up there .
170,it's all like textiles and like factories and stuff .
171,yeah .
172,"so it says like on the highways and stuff it says like ""/."
173,oh smog alert today from five to seven PM or whatever .
174,and so it's always always just looks cloudy but it's not even clouds it's just smoke and fog and ...
175,that sucks man .
176,yeah .
177,but where she lives in Princeton is like a nice area like a nice city in New_Jersey so ...
178,yeah I know .
179,it's a nice area .
180,man I told you my boss is from Jersey ...
181,yeah .
182,his whole life and he tells me that everyday like he would just be depressed because ...
183,this is how it is up there .
184,like the sun barely comes out over there and ...
185,have you ever been in New_York or anything man ?
186,no no .
187,bro that's how it is always up there it just looks dark .
188,the winter is disgusting up there bro .
189,I hate it .
190,like we went up there like two years ago yeah two Christmases ago .
191,to meet this kid Freddy my sister's boyfriend like we went to meet all their family .
192,and we went up there .
193,we were there for a week and a half right .
194,and seen the sun like twice maybe .
195,like it you could see it like /.
196,I can't live in a place like that man .
197,bro like it's bright out bro .
198,it's like just as bright .
199,but you can't even see the sun .
200,like all you see is clouds .
201,yeah that's it has to give some kind of overcast .
202,I don't like it .
203,I kinda of know a place like that man or ...
204,especially when you're used to Florida .
205,huh ?
206,especially when you're used to Florida bro .
207,yeah no and the cold too I can't deal with snow and ...
208,oh my god .
209,.
210,having like twenty layers of clothing on me during the winter .
211,yeah .
212,but I heard during the summer it gets super hot like a hundred .
213,I don't know .
214,like hundreds and ...
215,.
216,like the nineties .
217,I don't think so .
218,my boss told me it'll get really hot during the summer .
219,oh yeah I'm sure it does .
220,but it's a different kind of hot than down here .
221,you didn't go to the beach when you were there ?
222,I was there for Christmas so .
223,oh you were there for Christmas .
224,yeah like I've been in New_York and stuff for the summer and stuff but we went to ...
225,when you went to New_York in the summer did you go to the beach ?
226,no we went we didn't go to the beach in New_York we went to the beach in damn bro what's it called ?
227,like a really rich expensive place .
228,we went there with my grandmother .
229,she used to have a house there .
230,where was is it by ?
231,bro it's in New_York or New_Jersey ah the Hamptons .
232,the Hamptons ?
233,yeah we went there because she had like a little house and we went there bro and it's mad mad nice because it's farther away from the city so there's not so much smog in the air .
234,yeah but I betcha the water was freezing .
235,cold cold it's always cold .
236,and it was like ninety degrees out .
237,like it was a nice day .
238,and the water was like seventy like sixty seventy no matter what .
239,"was the water like a dark color , right ?"
240,really dark .
241,the sand is ugly bro .
242,the sand is like South_Beach sand .
243,for real ?
244,yeah but it's real sand .
245,but it feels like the fake sand here .
246,when I went to the Canary_Islands it it was January .
247,.
248,and it was seventy degrees outside .
249,but the like the water there is like a dark blue .
250,.
251,and you can just tell that the water is super cold .
252,yeah .
253,.
254,bro I wanna go to Alaska and go fishing out there .
255,Alaska I don't know .
256,I'll go maybe like on a cruise to Alaska or something like that .
257,I don't know about fishing all day .
258,go on a fishing and hunting trip .
259,fish in a hole .
260,no brother there's some good fishing out there .
261,what are you gonna fish for man ?
262,whatever yeah I'm like big tuna and stuff .
263,yeah I guess so I was right .
264,hunting go hunting for like elk do you go hunting a lot ?
265,no I've never gone hunting .
266,my cousin has gone hunting a lot .
267,yeah we went hunting a lot just because our are hunters .
268,man in it's like it's big over there bro .
269,but hunting like elk or something big like that bro that'd be awesome .
270,a bear .
271,shoot a bear man .
272,the nicest beach I probably ever saw was when I went to Cuba .
273,I think the nicest beach I've ever been to is in Roatan bro .
274,.
275,where's that ?
276,the island off the coast of Honduras bro that place is beautiful man .
277,and it's like ...
278,yeah .
279,bro the water's like green like that blue like light green because the sand is white .
280,yeah yeah .
281,it's like white soft sand .
282,that's how all the beaches are in Cuba .
283,yeah .
284,so the water's like really really green bro .
285,it's clear .
286,it's awesome .
287,our house over there is sick bro .
288,it's like a hour drive from the city .
289,like there's like three islands that make up Roatan .
290,and Roatan is one of the islands .
291,and I can't remember what the other two are called .
292,but we have a house in Roatan which is the biggest island .
293,and like on this side on like the left side of the island is all like hotels marinas .
294,like because it's huge on diving because like like here's Honduras .
295,and the islands are right here .
296,and like all of this like off the coast of Mexico and like Guatemala and stuff .
297,all of that is like the second largest coral reef formation in the world .
298,all of that .
299,what's it called ?
300,I can't remember .
301,but it like stretches all the way to Roatan like it ends over there .
302,some awesome fish in there huh .
303,oh my god yeah bro and like diving is .
304,that's where I went scuba diving for the first time .
305,my dad learned how to scuba dive from Jean_Michel_Cousteau .
306,oh yeah ?
307,Jean_Cousteau's son yeah .
308,he did his first night dive with him and everything .
309,they jumped out of a helicopter one time .
