,sentence
0,there are plenty of new alternatives .
1,ahhah .
2,regarding birth control pills .
3,yeah .
4,sí pero es que yo no quiero /.
5,but ah they're not as strong as they were a couple of years ago .
6,yeah .
7,pero es que es que /.
8,like like ah in the sixties they were terrible !
9,yeah .
10,yeah they were .
11,like too strong .
12,too too much strong .
13,too much /.
14,yeah no no /.
15,but now the dose is so slight /.
16,basically .
17,but look at this .
18,eso es homeopathic .
19,eso lo que tengo que //.
20,I wanna do more natural things because I really //.
21,I'm already on medication .
22,I'm already on Effexor //.
23,and I've been on antidepressants since I was seventeen .
24,"so , I've already been fucked //."
25,you know I've already had my body being dependent on medicine .
26,I don't want to take even more medicine if I could find something else that helps me .
27,but I wouldn't say that hormones are //.
28,I don't know .
29,for me it's a natural way to regulate stuff .
30,yes but //.
31,but I could find //.
32,yeah but those things are synthetic hormones .
33,that's why they're more powerful .
34,they have more side effects .
35,that's the problem .
36,and I know I have to be better about my diet and all that stuff .
37,I have to eat healthier .
38,I'm actually starting to eat /.
39,sí is it like a generic /?
40,yeah it's genetic because my mom ...
41,so ah it's not something that was like /.
42,qué ?
43,these pills .
44,no no no eso es totalmente natural .
45,.
46,eso es /.
47,I think that they need to consider your ah weight and blood type and stuff .
48,no eso es totalmente natural /.
49,entonces /.
50,when they do a good one ah like let's say a costumized ah homeopathic stuff /.
51,the thing is I went to /.
52,like if this is generic ah I think it's ah still effective ...
53,it's still effective .
54,pero cómo te digo ?
55,I know .
56,I know I need to find /.
57,el real homepático ah medicina homeopática .
58,es que yo lo /.
59,ajá .
60,el doctor te mira .
61,y te analiza el tipo de sangre y otras características .
62,mhm .
63,sí yo tengo que /.
64,y de acuerdo con tu peso tu tipo de sangre tu personalidad y otras cosas .
65,yo no he hecho eso .
66,yeah yeah yeah yeah yeah .
67,that's the thing .
68,I've been /.
69,that's what I think .
70,I've been /.
71,this might be even more effective if a real homeopathic doctor like .
72,es que no he tenido receta .
73,this is all prescribed .
74,I need to go to a good homeopath .
75,and the thing is that a lot of them are not covered under regular health insurance .
76,mhm .
77,so you have to pay the whole //.
78,you have to pay extra .
79,I don't know maybe later ah in a couple of minutes we can check some books there in .
80,yeah yes this is also good .
