,sentence
0,so the book is like you've read the book you don't wanna watch the movie .
1,like the end .
2,but I like the movie .
3,but when you read the book you say why they don't do that in the movie you know .
4,yeah .
5,and at the end they put like ah como una inyección .
6,se la ponen and like //.
7,él podía escoger o una inyección o tomarse unas pastillas o salir para la calle y fajarse contra todo el mundo .
8,he was like a murderer .
9,for them he was like a murderer .
10,a murder ?
11,yeah como un asesino porque ya ellos tenían su comunidad ahí .
12,yeah .
13,you know .
14,they were like living like normal //.
15,yeah but they're crazy they kill people like .
16,no they don't kill people .
17,they don't kill //.
18,ellos no mataban a su propia gente .
19,ellos mataban a la gente como nosotros .
20,pero exactly that's killing people .
21,because there were still some survivors left .
22,you know but ...
23,I don't know .
24,I know they adapted .
25,adaptaron a la vida de ellos .
26,yeah .
27,I got it .
28,I wanna see it I wanna see it .
29,have you seen the first one ?
30,the one that came on the movie theater .
31,the movie yeah yeah .
32,I wanna buy it .
33,the special edition is the one that comes with the .
34,yeah .
35,it's like twenty twenty something bucks .
36,I wanna see it .
37,so yeah .
38,and .
39,and in the book .
40,hm .
41,he drink the pills .
42,ah it's like like you know .
43,como que te enfocan que se fue como que se va yendo así you_know .
44,but in the book there is a girl that betrayed him .
45,que se hace pasar por humano .
46,y no es humano .
47,es de los demás tipos .
48,oh really ?
49,yeah .
50,oh but .
51,that's the cool part that they don't show you in the movie .
52,yeah but they can't do that in the movie .
53,why ?
54,because they look like zombies .
55,yeah .
56,and the other people look like normal people .
57,so like there's no way .
58,que ella se puede pasar como humano si se parece como un zombie .
59,pero ella se estaba curando en la película ella se estaba curando .
60,remember he had that girl on the bed ?
61,that one se estaba curando .
62,on the second ending they show you like the girl is like healthing .
63,cuando se la va a entregar le da un shot y se convierte de nuevo .
64,dude you saw that the girl was breathing like like a lot .
65,yeah .
66,ella después en el final estaba como más pasiva .
67,y el tipo le da un shot de otra no sé qué de las que tenía él .
68,y se pone monstruo de nuevo .
69,yeah .
70,entonces they close the door and that's it .
71,damn .
72,but .
73,I wanna see it .
74,look at that over there .
75,yeah .
76,oh my god bro .
77,so none none none of the endings is like relative to the to the book .
78,right //.
79,yeah I heard that there's different versions of the movie and the book //.
80,there's a old movie like I_Am_Legend is a remake .
81,yeah it's like they got like three movies .
82,yeah .
83,but I don't know why they can't do the movie by the book .
84,they already got the book .
85,sometimes they gotta change stuff you know .
86,sometimes it can't all be the same .
87,ah .
88,so you have to work at twelve ?
89,yeah .
90,damn why so early ?
91,because because they got a lot of clothes in .
92,twelve till what ?
93,till six my .
94,ah .
95,I start like at twelve I'm working with .
96,so you're doing more hours ?
97,yeah but just for today .
98,more hours for you bro .
99,yeah I wish they give me at twelve every day .
100,Tom was telling me something about this show called Qué_Pasa_U_S_A .
101,have you seen it ?
102,which one ?
103,Qué_Pasa_U_S_A .
104,I dunno .
105,bro el programa ese en el canal dos que la gente es una familia .
106,y hablan inglés y español .
107,I have seen it .
108,you seen that show ?
109,yeah but I wanna see more but I I don't know what channel it's in .
110,es un programa viejo .
111,ese en el .
112,yeah I know .
113,yeah .
114,it's it's like Cubans or something like that .
115,uhhuh you Cubans .
116,yeah and they speak Spanish and English .
117,it's in channel two ?
118,I dunno they give it like in the morning and like in the afternoon .
119,I'll check it out in in the online .
120,yeah check it out .
121,Qué_Pasa_U_S_A se llama ?
122,Qué_Pasa_U_S_A ...
123,he was telling me .
124,que quiere grabar el programa ese .
125,who this guy ?
126,yeah .
127,he talk in Spanish ?
128,a little bit he does .
129,oh yeah ?
130,yeah .
131,have you seen the Heroes yet ?
132,I'm gonna see it today .
133,when I go home now I'm gonna go see like two episodes .
134,yeah ?
135,how was it ?
136,and the chapter nine bro it's awesome .
137,you saw it ?
138,yeah .
139,you saw it last night ?
140,no no I just got stuck on the chapter nine .
141,oh .
142,I gotta see ten and eleven but ...
143,eleven is the last one .
144,I don't know that's why because in the eleven is when they got the the strike thing .
145,strikes writer ?
146,yeah I I think that it just ended like right there like it ended because of the strike .
147,and now like they're gonna start it again /.
148,they yeah that's what I'm thinking but there is /.
149,sorry .
150,like seven pictures you know the seven pictures that they found ?
151,and they just got like four of them right four of them .
152,what do you mean pictures ?
153,don't .
154,Isaac Méndez the painter .
155,nah oh yeah yeah .
156,él pintó seven pictures antes de morirse .
157,okay .
158,and they found the pictures .
159,one of the pictures is is the guy of the Claire .
160,you saw that part ?
161,the guy of the what ?
162,that he's like .
163,ah como muerto que se ve como muerto con un tiro en el glass .
164,oh yeah yeah yeah .
165,that's the one .
166,the other one is the /.
167,damn I don't like that one .
168,which one ?
169,I don't want him to die .
170,no they gonna show you at the end of the chapter nine you gonna see .
171,damn it can happen bro .
172,damn I gotta see it bro .
173,you gotta see it because it happens something that you see you see something that /.
174,you wanna tell me but don't don't don't tell me .
175,I wanna tell you but I don't wanna tell you .
176,yeah yeah don't tell me don't tell me .
177,you gonna see something that they can do with their abilities I mean with with that special ability .
178,that they can put it to another peoples .
