,sentence
0,yo le estaba diciendo que hay gente que .
1,yo le estaba diciendo que hay gente que lo ve extraño .
2,qué cosa ?
3,hacer esto .
4,María que me estaba diciendo que ...
5,bueno porque no a todo el mundo le gusta que lo graben cuando está hablando .
6,sí pero yo creo que porque no conocen porque no saben que //.
7,no no no sé no sé .
8,no sé //.
9,no es tonta ni nada pero .
10,bueno a la verdad que a mí no me gusta mucho tampoco .
11,el día que me pidieron que hiciera la grabación para ese anuncio que iban a hacer de la historia de la señora que tuvo el problema de seguro .
12,.
13,yo no quería hacerlo .
14,lo hice porque mi jefe me dijo que lo tenía que hacer .
15,y porque no tenía otra alternativa .
16,pero .
17,did that come out already ?
18,sí bueno no porque no lo tengo .
19,but where is it ?
20,?
21,porque se lo llevaron a España .
22,ah pero ya regresaron ?
23,y .
24,la Caro no ha regresado .
25,están de vacaciones .
26,oh en París .
27,hasta mañana .
28,no te dije que esta muchacha Mary_Smith .
29,Mary_Smith una chava que viene //.
30,no una chava ella es una señora mayor que vive en Londres .
31,se va a mudar a París .
32,y ella trabajaba para el Exploratorium .
33,pasó como veinticinco años trabajando para el Exploratorium allá en California en San_Francisco .
34,no se qué pasó entre ahí .
35,pero ella terminó en trabajando en Londres .
36,pero no sé si hay museo de ciencia ahí .
37,y luego ahora se va de Londres a París .
38,me dice que tienen un lugar .
39,no sé si lo se lo están alquilando bien barato o algo .
40,y que tienen un cuarto a parte para nosotros .
41,para llegar .
42,a sí la semana que viene ?
43,no cuando tú quieras .
44,cuando tú veas un viernes que yo llegue a buscarte con una maleta atrás .
45,sí .
46,ya tú sabes que te vas .
47,.
48,"pero ella me dice ""/."
49,sí I have a room .
50,y no lo lo no lo ...
51,no .
52,sí seguro .
53,no ?
54,ella no porque es un apartamento no .
55,no pero tal vez consigue un roommate .
56,un roommate .
57,ella está un poco verde para ...
58,sí un poco cómo se diría ?
59,madura .
60,madura .
61,no por qué puede conseguir ahí a otra señora que esté en las mismas condiciones .
62,no sé .
63,no tiene necesidad .
64,ah bueno .
65,no tiene necesidad .
66,.
67,yo creo que siempre ha sido soltera .
68,digo yo .
69,no sé .
70,yo creo que siempre ha sido soltera .
71,y qué pasó al fin con la de México ?
72,con la .
73,ah yo te dije pero te estabas durmiendo .
74,ella me dijo .
75,mandó un e-mail diciendo que había otra persona en la dirección en lugar de ella .
76,uhuh pero que estaban tratando de poner el museo como una entidad a parte no ?
77,no .
78,todos los museos /.
79,es que ellos dividen los museos .
80,están museo de las ciencias museo de la luz y otros dos .
81,.
82,debe ser un complejo muy grande .
83,entonces ella está viendo //.
84,ella estaba en la dirección de Universon .
85,que no sé si en eso quiere decir que son todos .
86,yo creo que eso quiere decir que son todos .
87,.
88,está en Universon porque tú vas a la página de Universon .
89,y luego hay hay donde uno puede apachar para ver eh el de la luz el de las ciencias las diferentes .
90,de las diferentes .
91,entonces ella está viendo si si lo separan .
92,y ponen todos los museos bajo de ella .
93,y lo que me quiso a dar a entender que la dirección general está como aglomerada .
94,que no sólo están los museos bajo la dirección esa sino otros .
95,otras cosas .
96,otras cosas que no son museos .
97,que no son museos .
98,entonces ella viendo que si le dan los museos a ella .
99,pero entonces ella tenía la dirección de todo antes .
100,parece .
101,.
102,parece que hubo .
103,y si le dan los museos estaría reportando a la persona que está ahora en esa posición .
104,no sé .
105,o le dan la otra parte .
106,y le dejan a ella en paz .
107,.
108,es que eso es una ciudad ahí adentro .
109,uhuh .
110,es la Unam .
111,ah todo es parte de la universidad .
112,todo es parte de la universidad .
113,.
114,por eso es que queda un poco raro la forma en que está organizado .
115,entonces nada pero entonces pero me dijo que no tenga pena que con mucho gusto llegan ella e Edith .
116,me dio a entender según como leí yo que era ella e Edith .
117,.
118,uhuh .
119,so I don't know .
120,I hope .
121,eso es en octubre .
122,en octubre que te vas qué una semana ?
123,en octubre no unos cuatro días nada más .
124,cuatro días .
125,I thought you were watching the movie ?
126,yeah .
127,yeah I wanted to watch it together but it's alright .
128,Lilian bueno pero en tu cuarto porque Lilian está viendo la otra película .
129,sabes qué Antonio pon el calentador .
130,qué te iba a decir este ...
131,qué estaba diciendo yo ?
132,que tengo hambre .
133,qué quieres comer ?
134,quieres ir a buscar algo o ?
135,bueno será eso o pasta porque ...
136,no no quiero más pasta .
137,pasta a la noche no es bueno .
138,pero .
139,o sea no es malo pero /.
140,si pero yo a esta hora no voy a poner a cocinar algo .
141,no te digo que tienes que cocinar .
