,sentence
0,estabas cabrona .
1,sí porque no me recogiste la casa .
2,y tú durmiendo .
3,yo vine para acá hoy por la mañana .
4,y me puse a hacer los platos .
5,y la única razón por la cual no los terminé fue porque el niño venía para acá .
6,y quería la leche .
7,yo me fui para allá para despertarme .
8,a qué hora ?
9,varias veces .
10,voy a dejar /.
11,por la mañana ?
12,no .
13,that had to have been there when I went outside .
14,that I went outside to smoke for a minute .
15,and then I came back in .
16,and he went outside .
17,and he goes estaba buscando .
18,estaba I love when he uses his hand .
19,oh .
20,estaba buscando estaba buscando .
21,y went into the room looking for you .
22,no it must have been that moment then .
23,dónde está papi ?
24,yo no sé .
25,está afuera .
26,mhm .
27,well I still have to do my posting for Beckerman .
28,no I did that one .
29,yeah but I haven't done it .
30,and I'm starting to work on my the sentences paper with the last one which I'm doing on cyberloafing .
31,for ?
32,no for Beckerman so I can be done with it .
33,there's a post in six and then there's the last paper .
34,for Beckerman .
35,which is an ethical issue in your organization .
36,and for due what we have left is /.
37,oh for due is the work //.
38,the project ?
39,yes .
40,there's a chat .
41,what day is the chat ?
42,April ninth .
43,okay alright .
44,.
45,well listen today at noon I'm gonna meet Roberto at the parish .
46,I have to take apart that pool put in the new liner .
47,and that's /.
48,you found the liner ?
49,I had to go to four different places and I I the ah Pinch_a_penny over here on Bird Road .
50,they said I had to order it .
51,it was special order .
52,that they don't keep any of those things any more .
53,I went to Home_Depot the Home_Depot next to where Paulo works .
54,they didn't have it .
55,they didn't have even those those liners from landscaping .
56,the ponds ?
57,right .
58,I went to Walmart .
59,they didn't have it .
60,I went to the other Home_Depot across the street from Walmart .
61,they had it .
62,and they had one and I hope it'll be big enough to be able to do it but it's black .
63,it's a black liner .
64,what did you have there before ?
65,a blue a blue pool liner .
66,you know ?
67,well I don't think it really matters .
68,no I don't think it's gonna matter but you know as long as it as long as it resists at least for tomorrow night .
69,I've never noticed which color it is .
70,that's what's important .
71,you know ?
72,and ah so I'm hoping that that'll do well .
73,oh you didn't tell me .
74,how did it go yesterday ?
75,where ?
76,at church .
77,I will .
78,Angelo's homily was very innocuous .
79,as usual .
80,everything went well .
81,I spoke to Father Hank .
82,he went in .
83,he was all nervous because we were working today together .
84,mhm .
85,"and he said ""/."
86,you know I was reading about what had to be done .
87,"and I go ""/."
88,look .
89,"I said ""/."
90,chill .
91,"he goes ""/."
92,you've done it before .
93,"I said ""/."
94,I've been doing it for ten years .
95,"okay I said ""/."
96,don't worry about it .
97,I know how to do everything .
98,you concentrate on your homily .
99,"and ah and he goes ""/."
100,do you wanna preach ?
101,"and I go ""/."
102,no no no no you're the one who's preaching .
103,"and he goes ""/."
104,no because you know I'm me I'm preaching on the Sunday already .
105,"and I go ""/."
106,I'm preaching the Easter vigil .
107,I don't need to ...
108,"I said ""/."
109,that's one less thing I have to worry about .
110,well you go ahead and do that .
111,"and then he was ah he goes to me ""/."
112,oh congratulations on your new position .
113,I hear you're gonna be vice principal of the school .
114,"and I told him ""/."
115,yeah .
116,"and he goes ""/."
117,oh you're gonna be working with Sister Maria .
118,oh she's so wonderful .
119,so he likes her ?
120,yes he loves Sister Maria .
121,"he says ""/."
122,she's so wonderful .
123,she was the she was the principal at ah Little Flower when I was there teaching CCD .
124,and she's just such a wonderful person .
125,and she's just so nice .
126,and all this other stuff nanananana .
127,you need to bring him by to win her over .
128,"and I told him ""/."
129,you know you would have been good for for Father Derrik's position .
130,yeah it was just lack of experience .
131,yeah .
132,so anyway .
133,so let's see .
134,and my mom says she's gonna go at three .
135,for the stations of the cross .
136,for the stations of the cross .
137,and then she's gonna stay at four for the Good_Friday service so that you can go at seven and you can leave her the baby .
138,oh great .
139,okay .
140,so ...
141,what about your mom has to be there for the Easter vigil .
142,and Esmerelda wants to go because Nancy's gonna be baptized there .
143,oh .
144,so ...
145,I'm gonna try to go and stay as long as I can .
146,maybe my sister will take care of him .
147,maybe he'll even sleep there .
148,no .
149,well why not ?
150,sleep there ?
151,pick him up on Sunday morning .
152,yeah well ask her .
153,how's the coffee ?
154,it's very good .
155,I only had //.
156,I bought French_Vanilla_Cream because that was the only one that they had at BJ's .
157,I was getting kind of tired of the Creme_Brulee .
158,okay I'm gonna go to my school .
159,I need to give the tickets to the other teachers for the stuff that I turned in .
160,and I'll take Paco .
161,.
162,okay what time are you leaving ?
163,when the house is picked up .
164,oh so that would mean you know tomorrow or something like that .
165,oh okay so then you can stay her finish picking up the house .
166,I'll pick up just a little bit .
