,sentence
0,es en la primera vez que lo tocaron en mil ochocientos seis .
1,uhuh .
2,se oyó y ninguno le gustó .
3,sí .
4,y ah y lo tocaron entre otras piezas .
5,como él tenía esa costumbre de tener tanto material para tocar .
6,y entonces después dice .
7,el el con siempre ha venido a largo tiempo .
8,después de su primera creación empezó a estabilizarse cuando ya tenía trece años Joseph Joachim .
9,era una persona que conocía Beethoven .
10,que Beethoven conocía .
11,en memoria a ...
12,o lo tocó de memoria en Londres por primera vez en mil ochocientos cuarenta y cuatro .
13,y Mendelssohn estaba ahí .
14,el la composición es increíblemente asociada a Joachim porque la tocó ahí primero la primera vez .
15,pero Huberman Adolf Busch Szigeti Milstein Hogan Hermann y otros y y no menos .
16,pero de todas maneras es el concierto más difícil de tocar .
17,Bueno ese ese según según ese escritor .
18,.
19,pero hay otros escritores que han dado opiniones //.
20,lo que sucede es esto .
21,era que muchos de esas Beethoven puso una música diferente a la de su tiempo .
22,y él rompió el ritmo la o las impresiones .
23,él salió de lo clásico a lo romántico .
24,él fue el primer romántico .
25,y muchas de sus especialmente en su período en su del medio segundo período de composición .
26,él empezó a crear cosas diferentes a lo que Mozart y Haydn habían hecho anteriormente .
27,y él empezó a crear cosas románticas él .
28,por eso se le considera a él el primer romántico .
29,porque /.
30,y nada de romántico tiene la cara esa de ese hombre .
31,.
32,pero y recuerda que ya a ese momento empezó él empezó a estar tener problema con el oído .
33,que él empezó a ensordecer o a tener que ya no podía escuchar bien las cosas .
34,claro a lo último las composiciones del tercer período de su /.
35,ellos dicen aquí que el caso de que abre con una como un tímpano .
36,a ha creado muchas preguntas particularmente vistas en contraste con el liricismo .
37,pero vamos a ver qué dice el //.
38,dónde está el otro ?
39,aquí está aquí está .
40,okay .
41,la persona que escribe esas notas le pagan harto dinero .
42,sí buey .
43,para decir palabras que suenan bien .
44,y no bueno tienen que ser ciertas por lo mayor .
45,él empezó a trabajar en los primeros años towards the end .
46,a tu a .
47,en Bonn .
48,en mil ochocientos seis fue cuando él compuso el concierto para .
49,no .
50,aquí dice mil setecientos noventa y dos al noventa al noventa y dos .
51,sí pero eso es en términos generales cuando él empezó .
52,yo no sé .
53,pero eso es lo que dice aquí .
54,eh pero solamente escribió doscientos cincuenta y nueve barras del primero movimiento .
55,el concierto en D ha sido compuesto como quince años .
56,fue compuesto quince años más tarde que sería mil ochocientos ...
57,seis .
58,por eso .
59,sí más o menos .
60,de mil setecientos noventa y uno a mil ochocientos seis quince años .
61,sí .
62,okay .
63,en el otoño de mil ochocientos seis Franz Clement quien era el jefe y conductor de la orquesta de teatro de Wien en Wein_der_Viena .
64,mil ochocientos dos hasta mil ochocientos once .
65,concerto para clemencia para un clemente primo .
66,violino e editorio al teatro de Viena .
67,escribió Beethoven en sus llaman aquí macaronic .
68,forma a la cabeza de la composición .
69,pero no dicen /.
70,el primer movimiento en particular es remarcable .
71,la poca bravura yo no sé yo lo creo muy más eh que no le falta nada .
72,sí .
73,y que thereby matching the style of Clement's piano .
74,y tengo que seguir en español .
75,lo que pasa es que estoy traduciendo de una página a la otra .
76,sí bueno aún aquí aquí dice también de su principio cuando él la primera vez que él recibió mucha crítica .
77,para mí francamente cuando yo lo pongo las primeras cinco notas lo que yo recuerdo es Mozart .
78,sí porque tenía la influencia de Mozart él /.
79,.
80,en un momento oscuro yo puedo o equivocarme si es Mozart o es Beethoven .
81,y //.
82,y él claro el el piano era su instrumento favorito .
83,pero el violín llegó a ser su segundo instrumento .
84,pero cuando él componía muchas muchas piezas de lo que cuando él estaba más serio en cuanto a composición era cuando componía los cuartetos para instrumentos de cuerda .
85,ahí y en las sinfonías .
86,conciertos y las sinfonías .
87,en las sinfonías especialmente y en los cuartetos de cuerdas .
88,yo he visto a este señor muchas veces pero .
89,quién a ?
90,a Itzhak Perlman .
91,Itzhak Perlman ?
92,sí .
93,pero .
94,tú sabes que él es tiene malas piernas pues es decir ?
95,él tuvo polio .
96,polio sí pero .
97,y él tiene él ha venido aquí muchas veces .
98,pero nunca me ha y tiene familia aquí también en Miami .
99,uhuh .
100,pero él nació en .
101,él nació en Israel .
102,en Israel .
103,sí .
104,Daniel Barenboim también nació en Israel .
105,mhm .
106,pero se las ha encontrado bien aquí .
107,no pero él vino de bastante pequeño porque lo trajeron para que fuera a .
108,cómo es a ?
109,Daniel Barenboim ?
110,este Itzhak Perlman .
111,oh .
112,para que fuera al hospital ?
113,no no para que fuera a al conservatorio de en Nueva_York .
114,se llama .
115,cómo es que se llama eso ?
116,ajá .
117,tiene un nombre especial .
118,sí de ahí es donde han salido la mayoría de los buenos violinistas yeah .
