,sentence
0,no se andan juntando con todo el mundo me entiendes o sea que no hay ...
1,no hay drama .
2,sí exactamente lo que te iba a decir .
3,.
4,no hay lugar para drama me entiendes .
5,o sea sólo son ellos dos me entiendes no /.
6,nunca salen y nada .
7,a sí no hay como que anduvieron que hablando que no sé qué que no se cuánto .
8,y porque ya ninguno de los dos sale me entiendes entonces ...
9,si Marcano nunca ha salido .
10,no pues sí pues pero y ella pues ya no sale entonces .
11,entonces ella como que no hay ...
12,te vieron no sé dónde que no se .
13,porque siempre están juntos me entiendes .
14,no hay ...
15,es que mira en realidad sí .
16,si quieres tener una relación seria tiene que hacerlo porque la gente /.
17,pues sí .
18,o sea tampoco así pues porque los majes se han aislado completamente pero ...
19,pero pues no dejar que nadie se meta me entiendes porque la gente siempre le encanta meterse en las mierdas de uno .
20,está well estoy de acuerdo .
21,y el trabajo como va al fin ya te fuiste del ...
22,no ya pues este fui .
23,pero salí temprano después que me fui estuve un rato .
24,y me dijeron que la vía está mala pues porque tenía como media hora que me una llamada .
25,.
26,y yo como si idiay pues .
27,y qué pasó pues .
28,no es tan mala .
29,"me dice vete para tu casa ""."
30,qué de a verga !
31,y me pagan el resto del día entonces no sé /.
32,qué de_a_cachimba !
33,está rebien .
34,y no has aplicado todavía ?
35,yo apliqué online .
36,apliqué con este maje de Ryan me ayudó por teléfono .
37,pero me dijo que todavía no iba a estar contratando hasta no sé cuándo .
38,cuándo cuándo fue que aplicaste ?
39,como en no sé como a principio de febrero enero por ahí .
40,vuelve a aplicar .
41,a la puta qué boluda bróder .
42,no queda /.
43,cachimbo de paso .
44,vas a ver que te contratan después .
45,qué boluda pero un cachimbo de paso .
46,sí estuve en el teléfono con Laian un cachimbo tiempo bróder .
47,una palabra y ...
48,y al fin no ibas a entrar en Américan Airlines o algo así ?
49,es que brother mira .
50,vos sabéis que me sofoco con la llamada en los hoteles .
51,ajá .
52,ahora con llamadas a American_Airlines me voy a sofocar muchísimo más .
53,a huevo me imagino no pero idiay .
54,okay o sea una estadía en un hotel te lo pueden componer me entiendes .
55,.
56,pero un viaje o sea sí te equivocáis o algo y el cliente se va a poner /.
57,a huevo se enturcan y te gritan bróder es es increíble pero ...
58,pero te pegan unas puteadas loco .
59,no si yo también un amigo me estaba consiguiendo para Taca .
60,ahhah .
61,pero o sea que pagan bien .
62,me entiendes pero .
63,pagan bien .
64,y los descuentos que recibís .
65,sólo pagas taxes //.
66,ah huevo .
67,para viajar .
68,a no pero es que me dijo este mi amigo que el ya ha trabajo ahí que es como que lo más es te dan descuento del pasaje más alto sí o sea del pasaje más caro .
69,.
70,entonces es como que hay sus pros y sus contras me entiendes .
71,pero bueno idiay ...
72,qué hiciste el fin de semana ?
73,cómo ?
74,qué hiciste este fin de semana ?
75,el viernes fui a la casa de un bróder .
76,donde Manu ?
77,el ?
78,donde Manu ?
79,no se llama pues enfrente donde Manu .
80,se llama Moncho el maje .
81,y después de eso nos fuimos a la casa de Filberto .
82,el otro maje que andaba ahí con nosotros en Bahama_Breeze .
83,y ahí estuvimos pues .
84,yo pues ahí me quedé a dormir y todo .
