,sentence
0,oh now that I remember antes de que se me olvide .
1,this lady from the school .
2,mhm .
3,she told me that she bought the subway passes for the whole year .
4,subway passes to where to New_York ?
5,to New_York it's forty bucks .
6,yeah but you know what she bought I told you she bought that pass .
7,which one ?
8,it's a special pass that they give .
9,.
10,it's a special pass .
11,it's called something and it gives you also discounts to certain museums in New_York .
12,it's like a ...
13,but for the whole year ?
14,yeah con ese pase you know you can use it and you have certain discounts .
15,but it comes out more expensive doesn't it .
16,I don't know she says she can use it up and down as many times as she wants .
17,like I would ...
18,was she gonna give it to you ?
19,I wonder if it has a picture .
20,I should ask her .
21,I don't know .
22,I don't know because I saw that .
23,they talk about it .
24,it's called something .
25,it's like a supersaver I don't know what .
26,and I was like why do they keep on referencing this ?
27,I wonder what it is .
28,but she just told me as in subway only .
29,yes for the subway .
30,it's for that .
31,but there may be something different that she bought .
32,because this one serves as a thing for the subway .
33,but it also gives you if you have that card sometimes you can get into certain museums and things like that .
34,pero bueno I checked out the prize and I was like if we are just gonna use /.
35,she told me she paid forty two dollars or forty dollars or something like that .
36,It's like using the metro here and you buy the annual pass it comes out cheaper .
37,.
38,.
39,ay yo sabía .
40,ay Dios mío .
41,tú eres de madre .
42,that was Katherine Hart by the way .
43,.
44,.
45,whoever wants to know .
46,the .
47,.
48,qué vergüenza !
49,yo sabía .
50,I'm gonna kill her .
51,.
52,.
53,y él los oye .
54,eh ?
55,él los escucha .
56,ahora me mandaron un ...
57,tú por_fin did you book the hotel for September ?
58,no .
59,porque me mandaron ahora un special el Western de Times_Square in one seventy nine .
60,but they only have one day in September .
61,one day ?
62,one day .
63,Paige yo no sabía que a María la estaban recording también .
64,eh .
65,que a María la estaban recording también .
66,María is on all day .
67,yeah I saw her with that thing .
68,I thought it was her I_Pod .
69,"and I go ""/."
70,what kind of I_Pod is that ?
71,and then miré bien .
72,"y dije ""/."
73,no ella debe estar haciendo otra cosa .
74,yeah because her sister does no sé qué cosa .
75,yeah he explained it to me that she's doing a more extensive one .
76,hers is thirty hours .
77,wow .
78,she has to be recorded or something .
79,imagínate tú thirty hours .
80,she's been at it for a long time too .
81,imagínate thirty hours is almost a week with it .
82,so what eh bueno so I went to go check for you .
83,and they only have one day in September that you can get discount .
84,I'm just gonna go and ...
85,pero que tengo que esperar a coger el dinero ese en mayo .
86,qué dinero ?
87,el dinero ese que nos van a dar with the taxes .
88,oh okay .
89,and I'm still four months ahead .
90,yeah .
91,eh I mean how much it'll probably go up yeah second month to the first .
92,tengo un dolor de cabeza de perros .
93,what did you eat yesterday que te cayó mal ?
94,I went to Publix yesterday night .
95,and I did some shopping .
96,y I didn't wanna cook .
97,okay .
98,so I made that's turkey and stuffing and macaroni and cheese .
99,yo no sé por qué tú comes macaroni_and_cheese si tú sabes que te va a caer mal .
100,siempre te cae mal .
101,no no no something something happened something that chicken .
102,chicken but what's wrong with the chicken ?
103,the turkey I don't know me dio un asco .
104,but what kind of turkey was it ?
105,desmenuzado con stuffing todo mezclado .
106,you got that at Publix .
107,yeah .
108,sounds good .
109,it did .
110,it looked good .
111,y no te dio asco or something .
112,don't throw up now .
113,because then I gotta go with you /.
114,.
115,to the bathroom .
116,and I don't wanna be .
117,no thank you .
118,pero my god .
119,it's hot .
120,found that thing for the wine thing expensive .
121,fifty dollars .
122,fifty dollars .
123,for two hours it's twenty five bucks an hour .
124,unless you drink like a fish it's good to go .
125,he's like I would wanna go .
126,pero there's a whole bunch of restaurants participating .
127,what I wanted to ask Adelina was /.
128,is that the one that they was doing in Coral_Gables that they closed it down ?
129,I've never seen it before .
130,I think so .
131,I've seen it in a /.
132,maybe like I bumped into it going home since it's on my way .
133,and I noticed that the streets are closed .
134,yes and John has gone to it .
135,but I wanted to ask Adelina because they have a list of //.
136,it says that they are gonna be serving .
137,there's gonna be wine right obviously .
138,mhm .
139,but it's gonna be .
140,por cincuenta pesos ?
141,exactly from this place Wild_Oats or something right ?
142,oh no .
143,espérate .
144,but then I'm saying fifty dollars !
145,and are you gonna get hors_d'oeuvres ?
146,but then I went into the restaurant section .
147,and it has all the restaurants participating .
148,so I'm like bueno is each restaurant gonna have like a booth that you can sample their food porque está Flemmings ahí .
149,no yeah Wild_Oats is not a ...
150,okay or are they just gonna pass the stupid hors_d'oeuvres and that's it por cincuenta pesos .
151,it's a healthy store .
152,no hay manera que tú te puedas tomar .
153,cincuenta /.
154,bueno they're gonna have premium drinks too .
155,you know .
156,it doesn't sound bad though .
157,I don't know .
158,I wanted to go .
159,"but then Rafi was like ""/."
160,John ha ido .
161,but then we left the girls yesterday to go to do the taxes .
162,"so Rafi's like ""/."
163,I don't know if I wanna leave the girls again you know .
164,so I don't know .
165,your mom's gonna mind .
166,I don't know .
167,I have to ask her .
168,y después que le grité hoy .
169,no y después que te .
170,.
171,it's only for two hours anyway .
172,we are gonna be right there .
173,you know .
174,"because he says ""/."
175,it sounds good I've always wanted to go .
176,I always wanted to go to the one in South_Beach .
177,but the one South_Beach is so expensive .
178,that's two hundred dollars .
179,yeah it's really expensive .
180,and they keep on and they keep on .
181,that's ridiculous .
182,but my brother told me it's /.
183,they keep on hiring the prize thinking that people are not gonna go .
184,and more people go .
185,and the people are going .
186,yeah .
187,now next year it'll be three hundred bucks .
188,but I'm gonna tell my brother next year para que me dé los tickets .
189,but here in this one ?
190,they have a VIP for one fifty .
191,that you go in the tent .
192,and I don't know what they give you .
193,is Adelina here ?
194,I've seen the tent .
195,yeah let's go there .
196,I've seen that tent .
197,Sharon .
198,el food festival ese .
199,.
200,ellos dijeron que iban a dar appetizers at Wild_Oats .
201,.
202,pero hay comida ?
203,.
204,entonces todos esos restaurants that are participating will have booths .
205,and they are provide food for you free .
206,.
207,oh okay because if they're just giving appetizers .
208,John has gone .
209,eh ?
210,no they have a list of the restaurants that are participating .
211,.
212,it's just in the little thing where you buy the ticket .
213,it tells you no eh you know the wine and premium drinks and hors_d'oeuvres from Wild_Oats .
214,I'm like ...
215,y Wild_Oats es un healthy store ?
216,sí pero they have everything más o menos .
217,but still I mean you know it's hors_d'oeuvres it's just ...
218,I mean ...
219,.
220,I'm sure they probably have a sampling no ?
221,when you do that thing .
222,que everybody has .
223,.
224,.
225,yeah but you are paying for that right .
226,.
227,that's probably what it is .
228,ah bueno pero mientras que todo el mundo tenga .
229,porque estaba hasta el Flemmings y todo .
230,.
231,y there's a whole bunch of them .
232,.
233,that Archies place pizza and ...
234,oye tú no tienes que recoger a la niña ?
235,.
236,qué hora es ?
237,fifteen .
238,oh .
239,vamos saltando para allá .
240,qué andas haciendo ?
241,.
242,.
243,.
244,.
245,.
246,.
247,.
248,quién ?
249,who's that ?
250,she's probably pregnant isn't she ?
251,she knows you ?
252,.
253,she is lying .
254,so how'd you add her ?
255,she's browsing .
256,.
257,.
258,.
259,ella se mete donde se mete la mamá de .
260,y después te manda todas estas manos de cosas ahí .
261,.
262,no .
263,Rafi's mom también se mete en todas esas cosas .
264,.
265,te vas a el papel ese ?
266,ay no .
267,.
268,it's just fine .
269,.
270,.
271,ay pero vete a vomitar .
272,no y no hables de eso .
273,.
274,oh my goodness .
275,what is that ?
276,nice to even to have your attention now you dirty sneaky immoral .
277,unfaithful doubts .
278,oh my god what ?
279,.
280,qué website ?
281,.
282,oh I don't know .
283,I have it ...
284,just do the Core_Gables food and wine festival .
285,lost dog mira esto .
286,last humping his wife best friend on hidden camera answer to to see the old dog participating tricks .
287,oh my god .
288,.
289,oh my god that's terrible .
290,look at what she did .
291,.
292,.
293,and a BMW .
294,she passed it .
295,inside the car .
296,.
297,oh .
298,ay dios mío .
299,I think she is mad .
300,la mato .
301,.
302,.
303,no you have to show her the other one .
304,look at what she did to that car .
305,no repitas .
306,no lo repitas .
307,no lo repitas alto .
308,a killer .
309,look at what she did .
310,"no , look at the other one ."
311,dale .
312,.
313,.
314,.
315,ay dios mío mira esto .
316,.
317,.
318,.
319,.
320,y esto ?
321,.
322,ay dios mío how embarrassing !
323,oh my god .
324,did you find it ?
325,.
326,.
327,pero dónde tú estás buscando ?
328,estás metida en Tag .
329,qué es eso ?
330,son un website there .
331,son ...
332,ya yo ni me meto ahí .
333,sí ya vi ya .
334,todo el mundo quiere saber dónde comprar el delantal .
335,en qué nos metemos ?
336,ay está comiquísimo .
337,I got like six comments on the thing .
338,that is hilarious .
339,everybody wants to know .
340,that is I am gonna go look at it .
341,stop .
342,everybody wants to go .
343,everybody wants to see .
344,ella los vio ?
345,sí she said it was ...
346,she says those last two pictures was a bit disturbing .
347,"and I said ""/."
348,oh god I sent those out .
349,I wasn't supposed to .
350,lo encontraste o no ?
351,ah no .
352,igual que Carla no ha hecho nada .
353,Carla estaba de madre .
354,y ya porque como ella está en el chisme lado .
355,I think .
356,ay qué bueno .
357,dónde ?
358,oh Maggie mira Maggie has more than me .
359,qué es esto .
360,qué es ?
361,is that the noise coming from there ?
362,the dog sniffing ?
363,I don't know .
364,I guess they have something wrong here .
365,oh it's probably that no ?
366,este manda unas cosas tan //.
367,ellas con sus angelitos están de madre .
368,go to your main page in .
369,tienes que cambiar eso .
370,and I can't open it .
371,mira para allá .
372,ay .
373,.
374,ahí arriba ahí arriba .
375,oh .
376,.
377,.
378,you go in .
379,and you redo it .
380,go in the countdown .
381,and redo it .
382,and I did .
383,right there press it .
384,and they do not no longer have it .
385,I tried it .
386,what do you mean ?
387,or there go that one .
388,sí .
389,sí .
390,right there click the link .
391,no no there .
392,here ?
393,wait there .
394,now pick one .
395,wait hold on .
396,something .
397,yeah .
398,I wanna see them .
399,pick .
400,pick like My_space flowers or ...
401,ay qué lindo está ese .
402,okay .
403,enter the date .
404,it will be ...
405,may .
406,may .
407,ninth .
408,ninth .
409,two thousand and eight .
410,and then you put what you want .
411,New_York trip .
