,sentence
0,me dice ella que trabaja en una tienda de furniture .
1,"entonces le digo yo ""/."
2,oh .
3,.
4,yo trabajo aquí en en el Marina_Blue .
5,"me dice ""/."
6,oh .
7,"le digo ""/."
8,te dan comisión para las ventas ?
9,"me dice ""."
10,sí .
11,"y nada le dije ""/."
12,pasa por ahí .
13,"me dice ""/."
14,ay yo no puedo salir de la oficina .
15,pero te voy a mandar la persona que usualmente trabaja en esa parte de que deja los brochures y todo eso .
16,y este muchacho ...
17,no lo viste ?
18,no .
19,no no no tenía un libro así bello I mean .
20,muebles vienen de Italia .
21,y los hacen .
22,y de repente dice él que demoran hm ...
23,si es un camión de diez .
24,six to eight weeks .
25,shit !
26,six to eight weeks yeah .
27,huy !
28,so anyways that's that one .
29,this is Chris's boyfriend .
30,and this is Chris's boyfriend .
31,and he does commentary .
32,do you see how beautiful that is ?
33,he does this .
34,remember what used to el hermano de /.
35,yeah .
36,de Ioannis ?
37,eso es lo que él hace .
38,mhm .
39,este tipo .
40,ese tipo ajá así mismito .
41,interior .
42,how do you pronounce that thing ?
43,mhm yacht .
44,yacht interior .
45,yacht interiors .
46,that's because that's big business for him in Fort_Lauderdale .
47,so he's done yachts residential and commercial .
48,yacht yacht like a boat ?
49,yachts like a boat .
50,oh shit .
51,and that's his company .
52,and Chris was all culetita caminando tú sabes así como una niña eh enamorada .
53,pero estaba bonito el muchacho .
54,estaba you know estaba lindo .
55,"entonces le dije ""/."
56,no pues .
57,traeme información .
58,yo le doy a los muchachos .
59,y si te aceptan un trabajo ...
60,"me dice ""/."
61,sí yo sé .
62,"y le digo ""/."
63,okay está bien !
64,y ya .
65,bueno pero te estaba diciendo .
66,ay pobrecita Carla .
67,where's my check ?
68,y Carla .
69,qué dice Carla ?
70,Carla que se está muriendo de hambre en Colorado .
71,que está un poquito deprimida .
72,que no tiene dónde dónde //.
73,you know no tiene nada que se siente un poquito ...
74,no me debe el cheque .
75,ah pero yo creí que tú me estabas pidiendo dónde estaba .
76,no yo te estaba diciendo y el cheque .
77,a ti te dieron el tuyo hoy ?
78,sí hoy .
79,pues mira .
80,anyways ...
81,sabes lo que se me olvidó pedirte ?
82,ay que fueras al banco a depositar el dinero que estaba ahí .
83,ahí dónde ?
84,que estaba un efectivo ahí al lado de mi cheque estaba un efectivo .
85,I dunno .
86,no porque se me olvidó llamarte para pedírtelo .
87,pero sí quería que lo fueras y lo depositaras en tu cuenta de Citibank .
88,Citibank ?
89,sí porque es que tengo un cheque contra Citibank ahorita .
90,.
91,que el viernes tengo que hacer efecto .
92,ay dios tengo una cita con una muchacha para hacerle los impuestos .
93,mhm .
94,pero mi printer doesn't work with the old computer that we have .
95,like it doesn't the printer that they gave me .
96,and I try updating .
97,what printer ?
98,the printer that we have right now .
99,the one that Joaquín give it to us ?
100,yeah .
101,and what about the other team machine the other fast machine .
102,is that didn't work ?
103,we cannot use that one ?
104,I think it don't work either .
105,no got no ink ?
106,no it has ink .
107,because it's not ink .
108,it's like a powder .
109,a what ?
110,it's a powder .
111,and it ain't got no powder on it ?
112,cómo se dice powder ?
113,powder powder powder ...
114,cómo se dice powder ?
115,powder polvo .
116,polvo .
117,es un polvo .
118,sí se dice polvo .
119,powder es polvo .
120,es un polvo negro .
121,porque supuestamente es laser .
122,eso es lo que dice ahí mismito en la careta dice fax laser copy .
123,did you download the /.
124,there is no downloading .
125,so how do you gonna pass from the computer to the ...
126,.
127,that thing work together ?
128,I don't know .
129,that's what I have to do tonight .
130,I'll figure it out .
131,you can go home ?
132,ay sí .
133,pero no déjame esperar por este muchacho primero .
134,no y terminamos .
135,comiste ?
136,ni nada .
137,por qué ?
