,sentence
0,.
1,yeah .
2,"I was like ""/."
3,oh vas a coger tu pelo cortico como Connor ?
4,"entonces él dijo ""/."
5,no cortico no es muy chiquito para mí .
6,mal .
7,so he said he was getting like medium haircut .
8,I know it because his used to his long hair and stuff /.
9,yeah .
10,pero qué más ?
11,qué estábamos hablando antes de eso ?
12,normal no ?
13,I don't know .
14,.
15,.
16,bueno .
17,let's see hm .
18,mi clase de chino está super interesante .
19,pero cómo así o sea .
20,oh my goodness pero es que son tantas cosas .
21,sí pues .
22,hoy perdí la clase .
23,no fui .
24,porque no encontré parking .
25,horrible .
26,no /.
27,no fui a la clase .
28,but are you remembering all this stuff .
29,it is like a lot of characters and data .
30,memorization .
31,es como matemáticas .
32,but it's a lot .
33,I hate maths too so .
34,es chévere .
35,I wouldn't be good at Chinese .
36,I'd be better at Hebrew .
37,yeah .
38,ajá .
39,it is like .
40,no .
41,don't act like you know Chinese .
42,.
43,.
44,mira no de verdad .
45,.
46,entonces pues hoy están votando .
47,hay votaciones en el colegio .
48,estaba preguntando o sea .
49,para qué carrizo le sirve a uno ser ...
50,ah I'm president .
51,for what ?
52,ah para servir la universidad //.
53,bueno supuestamente lo ideal sería servir a la comunidad y representar los intereses de los estudiantes .
54,a la administración de la universidad .
55,por eso lo hacen .
56,mm .
57,"pero yo creo los estudiantes hacen como que ""/."
58,ah I don't care .
59,yeah .
60,most students don't care about like voting and stuff .
61,but lately they've been like out there pushing it hard .
62,like a million people wanna give you a flyer and food .
63,"yeah because I think most of those people are because they don't live here so is like ""/."
64,I've just come here to study that's it .
65,yeah .
66,I don't mind .
67,people usually hicieron que like when I was eating lunch .
68,I was eating in Subway and then .
69,Subway with the cup .
70,yeah .
71,.
72,"I was eating food and the girl in front of me was saying like ""/."
73,oh I was at the library those people were bothering me .
74,and telling me but I don't care about that I really don't care about this place .
75,so like she is kind of like shows the typical attitude of like //.
76,yeah .
77,people not want it to go .
78,but in my case probably if I would live here I would care because they can deal with issues and stuff .
79,yeah .
80,I think most students would be more involved if they had more time .
81,but they have a full schedule .
82,they may have a job .
83,and then they have to study .
84,"so they're like ""/."
85,I don't //.
86,that's wasting my time .
87,they don't stop to like find out about who's president cause they're too busy .
88,and I understand them cause that happens to me .
89,but I don't know if those are like doing campaign and getting people to know their ideas .
90,yeah yeah .
91,they are ?
92,some times also /.
93,but only through flyers like they just show you their flyers and talk to .
94,they're not doing like a whole campaign like an official campaign .
95,exactly .
96,you don't really know why you're voting for .
97,yeah .
98,who's that people I just saw .
99,people don't like to read .
100,but it's kind of funny .
101,it's interesting //.
102,ajá ?
103,.
104,people don't like to read .
105,ellos prefieren estar así como ver .
106,y que allá está el man parado entonces .
107,yeah .
108,who is like looks the nicest like oh .
109,yeah .
110,like oh this is a good looking guy oh .
111,oh that one is some nerd .
112,I don't want to vote for him .
113,yeah .
114,something like that .
115,or like this person gave me cupcakes .
116,I'll vote for her .
117,.
118,but look .
119,but I think it's funny because it represents like how the nation is .
120,like people don't sit down and .
121,listen to our campaign .
122,"they just look at the flyers and like ""/."
123,oh I want to vote for a man .
124,or I want to vote for a woman or a black man like Green_Alec .
125,oh a black man as a president would be awesome .
126,but they're going by the image or like a woman as a president .
127,but like it's a big issue anyway .
128,like that oh my goodness .
129,eh .
130,but I don't know .
131,I would have to live in here .
132,I want to live in here .
133,on campus ?
134,yo quiero vivir aquí sí porque es chévere .
135,.
136,por qué ?
137,es super cool .
138,mira vea tengo de todo .
139,tengo un sitio para cortarme el pelo aquí .
140,tengo el sitio para lavar la ropa aquí .
141,tengo ...
142,no pero hay solo es dry cleaning .
143,cafeteria exactly dry cleaning .
144,ah pero tu haces dry clean para toda la ropa ?
145,pero para lavar you get a //.
146,no pero para cosas así grandes .
147,pero .
148,ah .
149,para por ejemplo ropa normal así por aquí debe haber un laundry .
150,dónde ?
151,somewhere .
152,de pronto en los dormitorios .
153,o incluso en los apartamentos .
