,sentence,pos,language,switch
0,"he goes ""/.","pro:sub v +""/.",ENG ENG,0
1,Sandra made an appointment because Robert Farmer's having an issue .,n:prop v det:art n conj n:prop n:prop part det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
2,he's having issues .,pro:sub part n .,ENG ENG ENG,0
3,"I said ""/.","pro:sub v +""/.",ENG ENG,0
4,okay .,co .,ENG,0
5,"he goes ""/.","pro:sub v +""/.",ENG ENG,0
6,so I'm on my way to Beech .,adv pro:sub prep det:poss n prep n:prop .,ENG ENG ENG ENG ENG ENG ENG,0
7,and si la inepta pregunta I'm at Beech .,coord L2 L2 L2 L2 pro:sub prep n:prop .,ENG ESP ESP ESP ESP ENG ENG ENG,1
8,but I'm going to the doctors afterward .,conj pro:sub part prep det:art n adv .,ENG ENG ENG ENG ENG ENG ENG,0
9,okay no problem .,co qn n .,ENG ENG ENG,0
10,.,None,,0
11,wow .,co .,ENG,0
12,if she asks you're at Beech .,conj pro:sub v pro:per prep n:prop .,ENG ENG ENG ENG ENG ENG,0
13,at a meeting that Sandra set up .,prep det:art n:gerund comp n:prop n adv .,ENG ENG ENG ENG ENG ENG ENG,0
14,"but I was like ""/.","conj pro:sub cop prep +""/.",ENG ENG ENG ENG,0
15,how nice you know .,pro:int adj pro:per v .,ENG ENG ENG ENG,0
16,why is he calling me here you know ?,pro:int cop pro:sub part pro:obj adv pro:per v ?,ENG ENG ENG ENG ENG ENG ENG ENG,0
17,yeah why ?,co pro:rel ?,ENG ENG,0
18,"I was like ""/.","pro:sub cop prep +""/.",ENG ENG ENG,0
19,oh my god .,co det:poss n .,ENG ENG ENG,0
20,well está igual que Derek .,co L2 L2 L2 n:prop .,ENG ESP ESP ESP ENG,1
21,yeah that after they're a block away they call you ?,co pro:dem prep pro:sub det:art n adv pro:sub v pro:per ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
22,oh my god .,co det:poss n .,ENG ENG ENG,0
23,oh you should have seen Derek today .,co pro:per mod aux part n:prop adv:tem .,ENG ENG ENG ENG ENG ENG ENG,0
24,he was okay .,pro:sub cop adj .,ENG ENG ENG,0
25,and then in the afternoon he wanted to leave .,coord adv:tem prep det:art n pro:sub v inf v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
26,and he brought that older auto today .,coord pro:sub v det:dem adj n adv:tem .,ENG ENG ENG ENG ENG ENG ENG,0
27,and the battery was running up .,coord det:art n aux part adv .,ENG ENG ENG ENG ENG ENG,0
28,apparently it was dead .,adv pro:per cop adj .,ENG ENG ENG ENG,0
29,so all of a sudden I .,adv pro:indef prep det:art adj pro:sub .,ENG ENG ENG ENG ENG ENG,0
30,it's gonna start raining .,pro:per part v part .,ENG ENG ENG ENG,0
31,"he tells me ""/.","pro:sub v pro:obj +""/.",ENG ENG ENG,0
32,can you come and give me a jump ?,mod pro:per v coord v pro:obj det:art n ?,ENG ENG ENG ENG ENG ENG ENG ENG,0
33,"and I go ""/.","coord pro:sub v +""/.",ENG ENG ENG,0
34,yeah sure .,co adj .,ENG ENG,0
35,so I gave him a jump .,co pro:sub v pro:obj det:art n .,ENG ENG ENG ENG ENG ENG,0
36,he puts the car inside .,pro:sub v det:art n adv .,ENG ENG ENG ENG ENG,0
