,sentence,pos,language,switch
0,well usually before you go to the bed you have to take him to do pee pee .,adv adv prep pro:per v prep det:art n pro:per v inf v pro:obj inf v n n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
1,yeah we did .,co pro:sub v .,ENG ENG ENG,0
2,but he still ...,conj pro:sub adv +...,ENG ENG ENG,0
3,but I guess he still got nervous when he was in the car .,conj pro:sub v pro:sub adv v adj conj pro:sub cop prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
4,yeah .,co .,ENG,0
5,and he likes to stick his head out the window .,coord pro:sub v inf v det:poss n prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
6,sí ?,co ?,ENG,0
7,sí .,co .,ENG,0
8,pero tengan cuidado porque se puede salir .,conj v co conj pro:refl v inf .,ENG ENG ENG ENG ENG ENG ENG,0
9,no because we put it really high high enough for only his head .,co conj pro:sub v pro:per adv adj n adv prep qn det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
10,un pedacito de cristal .,det:art n prep n .,ENG ENG ENG ENG,0
11,sometimes he might put his feet .,adv pro:sub mod v det:poss n .,ENG ENG ENG ENG ENG ENG,0
12,.,None,,0
13,but he can't get out .,conj pro:sub mod v adv .,ENG ENG ENG ENG ENG,0
14,y nada más con un pedacito chiquitico de cristal .,coord v adv prep det:art n n prep n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
15,no it's about ...,co pro:per adv +...,ENG ENG ENG,0
16,his hands could touch the top .,det:poss v mod v det:art n .,ENG ENG ENG ENG ENG ENG,0
17,and it's high enough for him to put his hands /.,coord pro:per n adv prep pro:obj inf v det:poss n +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
18,and do you hold him ?,coord v pro:per v pro:obj ?,ENG ENG ENG ENG ENG,0
19,yeah I hold him .,co pro:sub v pro:obj .,ENG ENG ENG ENG,0
20,but I think that they're high enough so that él no se /.,conj pro:sub v comp pro:sub n adv adv adv L2 L2 L2 +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ESP ESP ESP,1
21,Paula be careful .,n:prop aux co .,ENG ENG ENG,0
22,because si él ve un gato or something he might jump out of the car after the cat .,conj L2 L2 L2 L2 L2 coord pro:indef pro:sub mod v adv prep det:art n prep det:art n .,ENG ESP ESP ESP ESP ESP ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,1
23,chill .,n .,ENG,0
24,be careful .,cop adj .,ENG ENG,0
25,yeah but I don't think //.,co conj pro:sub mod v +//.,ENG ENG ENG ENG ENG,0
26,because he sees people all the time in the cars .,conj pro:sub v n qn det:art n prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
27,sí people sí .,L2 n L2 .,ESP ENG ESP,1
28,but he never has seen a cat .,conj pro:sub adv aux part det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
29,mhm .,co .,ENG,0
30,tú te imaginas si ve un gato .,pro:sub pro:obj v conj v det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
31,qué pasa ?,pro:int v ?,ENG ENG,0
