,sentence,pos,language,switch
0,.,None,,0
1,.,None,,0
2,aló papi .,co n .,ENG ENG,0
3,bien y ustedes cómo están ?,adv coord pro:sub pro:int cop ?,ENG ENG ENG ENG ENG,0
4,.,None,,0
5,sí .,co .,ENG,0
6,.,None,,0
7,sí sí sí .,co co co .,ENG ENG ENG,0
8,.,None,,0
9,sí si Dios quiere pronto .,co conj n:prop v adv .,ENG ENG ENG ENG ENG,0
10,.,None,,0
11,mhm .,co .,ENG,0
12,.,None,,0
13,mhm .,co .,ENG,0
14,.,None,,0
15,sí yo creo que cuando tú le pegasteis a la verja ...,co pro:sub v pro:rel conj pro:sub pro:ind v aprep det:art n +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
16,.,None,,0
17,sí para mí tiene un .,co prep pro:prep v det:art .,ENG ENG ENG ENG ENG,0
18,.,None,,0
19,mhm okay .,co co .,ENG ENG,0
20,ay papi hoy no he tenido chance .,L2 L2 L2 L2 L2 L2 n .,ESP ESP ESP ESP ESP ESP ENG,1
21,se me había olvidado .,pro:refl pro:obj aux part .,ENG ENG ENG ENG,0
22,déjame llamar ahora .,imp inf adv .,ENG ENG ENG,0
23,.,None,,0
24,okay no hay problema .,co adv v n .,ENG ENG ENG ENG,0
25,.,None,,0
26,sí .,L2 .,ESP,0
27,.,None,,0
28,pues se dice al hombre .,co pro:refl v aprep co:voc .,ENG ENG ENG ENG ENG,0
29,yo no sé //.,pro:sub adv v +//.,ENG ENG ENG,0
30,y le dije cómo eso es posible si le estamos sacando dinero .,coord pro:ind v co pro:dem cop adj conj pro:ind aux ger n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
31,pero bueno de todas maneras aunque no sea se ahorre .,conj co prep det:indef n conj adv cop pro:refl v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
32,eh eh el interés de la casa lo puedo deducir .,co co L2 L2 L2 L2 L2 L2 L2 L2 .,ENG ENG ESP ESP ESP ESP ESP ESP ESP ESP,1
33,el de interés de la tarjeta de crédito no .,det:art prep n prep det:art n prep n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
34,.,None,,0
