,sentence,pos,language,switch
0,ah Jacky está en Colombia para Navidad un año .,co n:prop L2 L2 L2 L2 L2 L2 L2 .,ENG ENG ESP ESP ESP ESP ESP ESP ESP,1
1,yo fui la día primero un poquito días de Navidad .,L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
2,and then I stayed there for a week or like couple days or something like ...,coord adv:tem pro:sub v adv prep det:art n coord co qn n coord pro:indef prep +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
3,I came like a week before Christmas you know .,pro:sub v prep det:art n conj n:prop pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
4,uhuh yes .,co co .,ENG ENG,0
5,and so I stayed for like a week and a half .,coord co pro:sub v prep co det:art n coord det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
6,and when I came back I opened all my presents and stuff .,coord conj pro:sub v n pro:sub v qn co n coord n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
7,chévere .,adj .,ENG,0
8,y qué te dieron ?,coord pro:int pro:obj v ?,ENG ENG ENG ENG,0
9,you know .,pro:per v .,ENG ENG,0
10,en Colombia qué te dieron de regalos para Navidad ?,prep n:prop pro:int pro:obj v prep imp prep n:prop ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
11,don't remember .,mod v .,ENG ENG,0
12,of course you remember .,prep n pro:per v .,ENG ENG ENG ENG,0
13,you remember of course .,pro:per v prep n .,ENG ENG ENG ENG,0
14,you remember I was there with you ?,pro:per v pro:sub cop adv prep pro:per ?,ENG ENG ENG ENG ENG ENG ENG,0
15,oh oh right .,co co co .,ENG ENG ENG,0
16,they gave me this really cute shirt .,pro:sub v pro:obj pro:dem adv adj n .,ENG ENG ENG ENG ENG ENG ENG,0
17,yeah they gave me a Barbie car .,co pro:sub v pro:obj det:art n:prop n .,ENG ENG ENG ENG ENG ENG ENG,0
18,it was so fun .,pro:per cop adv adj .,ENG ENG ENG ENG,0
19,my good childhood memories .,det:poss adj n n .,ENG ENG ENG ENG,0
