,sentence,pos,language,switch
0,el tema es del manicure y pedicure que los hombres se hacen .,L2 L2 L2 L2 n L2 n L2 L2 L2 L2 L2 .,ESP ESP ESP ESP ENG ESP ENG ESP ESP ESP ESP ESP,1
1,qué piensa usted de eso ?,pro:int v pro:sub prep pro:dem ?,ENG ENG ENG ENG ENG,0
2,I think it's nice to have manicures and pedicures .,pro:sub v pro:per adj inf v n coord n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
3,it's ...,pro:per +...,ENG,0
4,yo pienso que es bien que /.,pro:sub v pro:rel cop adv pro:rel +/.,ENG ENG ENG ENG ENG ENG,0
5,a ti te gusta eso ?,aprep pro:prep pro:obj v pro:dem ?,ENG ENG ENG ENG ENG,0
6,sí no yo a mí no me gusta pero ...,co adv pro:sub aprep pro:prep adv pro:obj v conj +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
7,yo creo que a ti te gusta no ?,pro:sub v pro:rel aprep pro:prep pro:obj v adv ?,ENG ENG ENG ENG ENG ENG ENG ENG,0
8,no a mí no me gusta .,adv aprep pro:prep adv pro:obj v .,ENG ENG ENG ENG ENG ENG,0
9,yo estoy preguntándote .,pro:sub aux ger .,ENG ENG ENG,0
10,pero si tú dices que a ti te gusta y te parece nice yo respeto tu /.,L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 adj L2 L2 L2 +/.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ESP ESP ESP,1
11,no para otra persona .,adv prep det:indef n .,ENG ENG ENG ENG,0
12,yo respeto tu forma de pensar .,pro:sub v det:pos v prep inf .,ENG ENG ENG ENG ENG ENG,0
13,not for me .,neg prep pro:obj .,ENG ENG ENG,0
14,what about you ?,pro:int adv pro:per ?,ENG ENG ENG,0
15,are you what they call a metrosexual ?,cop pro:per pro:int pro:sub v det:art adj ?,ENG ENG ENG ENG ENG ENG ENG,0
16,yo no yo no me lo hago .,pro:sub adv pro:sub adv pro:obj pro:obj v .,ENG ENG ENG ENG ENG ENG ENG,0
17,yo no me lo hago y /.,pro:sub adv pro:obj pro:obj v coord +/.,ENG ENG ENG ENG ENG ENG,0
18,no pero just going on to something else .,co L2 adv part adv prep pro:indef post .,ENG ESP ENG ENG ENG ENG ENG ENG,1
19,are you a metrosexual ?,cop pro:per det:art adj ?,ENG ENG ENG ENG,0
20,oh no I'm not .,co co pro:sub neg .,ENG ENG ENG ENG,0
21,tú no crees ?,pro:sub adv v ?,ENG ENG ENG,0
22,no .,adv .,ENG,0
23,yo creo que me lo hago simplemente para if I have a party or something like that .,L2 L2 L2 L2 L2 L2 L2 L2 conj pro:sub v det:art n coord pro:indef prep pro:dem .,ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG ENG ENG ENG ENG ENG ENG ENG,1
24,if you have a party .,conj pro:per v det:art n .,ENG ENG ENG ENG ENG,0
25,if I have a party you know I want to look nice that's it .,conj pro:sub v det:art n pro:per v pro:sub v inf v adj pro:dem pro:per .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
26,pero no porque necesito you know hacérmelo siempre .,L2 L2 L2 L2 pro:per v L2 L2 .,ESP ESP ESP ESP ENG ENG ESP ESP,1
27,mhm mhm yo nunca lo he hecho .,co co L2 L2 L2 L2 L2 .,ENG ENG ESP ESP ESP ESP ESP,1
28,ah ?,co ?,ENG,0
29,fiestas sin fiestas nunca lo he hecho yo .,n prep n adv pro:obj aux part pro:sub .,ENG ENG ENG ENG ENG ENG ENG ENG,0
30,no ?,adv ?,ENG,0
31,no I'm sorry .,co pro:sub adj .,ENG ENG ENG,0
32,pero ahora mismo tú me estabas diciendo que te gustaba y te parecía nice .,L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
33,mira para otros no para mí .,L2 L2 L2 L2 L2 L2 .,ESP ESP ESP ESP ESP ESP,0
34,a mí no me importa .,aprep pro:prep adv pro:obj v .,ENG ENG ENG ENG ENG,0
35,o sea que ...,coord cop pro:rel +...,ENG ENG ENG,0
36,I don't care if somebody else does it .,pro:sub mod v comp pro:indef post mod pro:per .,ENG ENG ENG ENG ENG ENG ENG ENG,0
37,so in some ways you like to watch the of your friends and /.,adv prep qn n pro:per v inf v det:art prep det:poss n coord +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
38,I don't care I don't mind if somebody does .,pro:sub mod v pro:sub mod n comp pro:indef v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
39,and things like that .,coord n prep pro:dem .,ENG ENG ENG ENG,0
40,yeah if they want to they /.,co conj pro:sub v prep pro:sub +/.,ENG ENG ENG ENG ENG ENG,0
41,I bite my nails so I don't care .,pro:sub v det:poss n conj pro:sub mod v .,ENG ENG ENG ENG ENG ENG ENG ENG,0
42,oh .,co .,ENG,0
43,yeah .,co .,ENG,0
44,why you bite your nails because you are nervous ?,pro:int pro:per v det:poss n conj pro:per cop adj ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
45,because I'm nervous .,conj pro:sub adj .,ENG ENG ENG,0
46,I'm always nervous .,pro:sub adv adj .,ENG ENG ENG,0
47,estoy nervioso siempre .,aux adj adv .,ENG ENG ENG,0
48,sí ?,co ?,ENG,0
49,siempre .,adv .,ENG,0
50,oh my god .,co det:poss n .,ENG ENG ENG,0
51,yeah .,co .,ENG,0
52,y ese tipo de nervios why is that ?,L2 L2 L2 L2 L2 pro:int cop pro:dem ?,ESP ESP ESP ESP ESP ENG ENG ENG,1
53,could be anything .,mod cop pro:indef .,ENG ENG ENG,0
54,could be life .,mod cop n .,ENG ENG ENG,0
55,could be about business .,mod cop prep n .,ENG ENG ENG ENG,0
56,it could be about my children .,pro:per mod cop prep det:poss n .,ENG ENG ENG ENG ENG ENG,0
57,something about it related to your nails also ?,pro:indef prep pro:per v prep det:poss n adv ?,ENG ENG ENG ENG ENG ENG ENG ENG,0
58,no my nails no nada .,qn det:poss n co L2 .,ENG ENG ENG ENG ESP,1
59,ah ?,co ?,ENG,0
60,nada it has nothing to do with my nails .,L2 pro:per aux pro:indef inf v prep det:poss n .,ESP ENG ENG ENG ENG ENG ENG ENG ENG,1
61,oh parece que te preocupa mucho lo de las uñas .,co v pro:rel pro:obj v adv pro:obj v det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
62,no yo sí no .,adv pro:sub co adv .,ENG ENG ENG ENG,0
63,y usted cómo te vistes ?,coord pro:sub pro:int pro:obj v ?,ENG ENG ENG ENG ENG,0
64,.,None,,0
65,perdón .,co .,ENG,0
66,yo me visto normal .,pro:sub pro:obj part adj .,ENG ENG ENG ENG,0
67,mhm .,co .,ENG,0
68,como militar y todo .,adv inf coord pro:indef .,ENG ENG ENG ENG,0
69,eso no tiene nada nada que ver con las uñas .,pro:dem adv v pro:indef v pro:rel inf prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
70,.,None,,0
71,no but it it has to do with the metrosexual thing .,co conj pro:per pro:per aux inf v prep det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
72,no no porque Castro viste así .,co co L2 n:prop L2 L2 .,ENG ENG ESP ENG ESP ESP,1
73,viejo you know what I feel about Castro too right ?,L2 pro:per v pro:int pro:sub v prep n:prop post co ?,ESP ENG ENG ENG ENG ENG ENG ENG ENG ENG,1
74,.,None,,0
75,.,None,,0
76,not that I care because /.,neg pro:rel pro:sub n conj +/.,ENG ENG ENG ENG ENG,0
