,sentence,pos,language,switch
0,no but seriously there's a lot of mosquitos here all of a sudden .,co conj adv pro:exist det:art n prep n adv pro:indef prep det:art adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
1,look at all the cigarettes .,v prep qn det:art n .,ENG ENG ENG ENG ENG,0
2,wow .,co .,ENG,0
3,.,None,,0
4,okay so what else could we talk about ?,co co pro:int post mod pro:sub v adv ?,ENG ENG ENG ENG ENG ENG ENG ENG,0
5,la gente fuma .,det:art n v .,ENG ENG ENG,0
6,we should keep a steady conversation going on .,pro:sub mod v det:art adj n part adv .,ENG ENG ENG ENG ENG ENG ENG ENG,0
7,work how was work today ?,n pro:rel cop n adv:tem ?,ENG ENG ENG ENG ENG,0
8,cómo fue /.,pro:int v +/.,ENG ENG,0
9,you were working with me .,pro:per aux part prep pro:obj .,ENG ENG ENG ENG ENG,0
10,I know but you are far away from me .,pro:sub v conj pro:per cop adv adv prep pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
11,I know pero Laura /.,pro:sub v L2 n:prop +/.,ENG ENG ESP ENG,1
12,tú estabas en otro ...,pro:sub cop prep pro:indef +...,ENG ENG ENG ENG,0
13,.,None,,0
14,mira te lo mataste encima .,co pro:obj pro:obj v adv .,ENG ENG ENG ENG ENG,0
15,ahhah .,co .,ENG,0
16,yeah .,co .,ENG,0
17,Laura cuando pasa parece el estómago se le está cayendo .,n:prop conj v v det:art n pro:refl pro:ind aux ger .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
18,por qué ?,prep pro:int ?,ENG ENG,0
19,because her shirt never covers her stomach brother .,conj det:poss n adv v det:poss n n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
20,is so annoying .,aux adv part .,ENG ENG ENG,0
21,where you able to do the job for Jaime ?,pro:int pro:per adj inf v det:art n prep n:prop ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
22,what he was doing for you ?,pro:int pro:sub aux part prep pro:per ?,ENG ENG ENG ENG ENG ENG,0
23,yeah .,co .,ENG,0
24,yeah .,co .,ENG,0
25,what he had asked you to do ?,pro:int pro:sub aux part pro:per inf v ?,ENG ENG ENG ENG ENG ENG ENG,0
26,yeah but I need more .,co conj pro:sub v pro:indef .,ENG ENG ENG ENG ENG,0
27,do you wanna move a little bit more back because maybe there's less mosquitoes ?,mod pro:per v v det:art adj n adv adv conj adv pro:exist adj n ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
28,is that your teacher ?,cop comp det:poss n ?,ENG ENG ENG ENG,0
29,oh yeah .,co co .,ENG ENG,0
30,do you //.,mod pro:per +//.,ENG ENG,0
31,se va ?,pro:refl v ?,ENG ENG,0
32,no I guess she was gonna meet up with another student .,co pro:sub v pro:sub aux part v adv prep qn n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
33,bye .,co .,ENG,0
34,.,None,,0
35,ay let's go there .,co v v adv .,ENG ENG ENG ENG,0
36,because the reason that this is here is because of the grass .,conj det:art n comp pro:dem cop adv cop conj prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
37,no but ...,co conj +...,ENG ENG,0
38,okay let's move a little bit .,co v v det:art adj n .,ENG ENG ENG ENG ENG ENG,0
39,yeah .,co .,ENG,0
