,sentence,pos,language,switch
0,okay okay so eso these are new right ?,co co co L2 pro:dem cop adj co ?,ENG ENG ENG ESP ENG ENG ENG ENG,1
1,okay .,co .,ENG,0
2,those are new okay .,pro:dem cop adj adj .,ENG ENG ENG ENG,0
3,this is //.,pro:dem cop +//.,ENG ENG,0
4,alright she left these here for you to I guess process them or whatever .,adj pro:sub v det:dem adv prep pro:per inf pro:sub n v pro:obj coord pro:int .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
5,mhm .,co .,ENG,0
6,right right .,co co .,ENG ENG,0
7,whatever she needs to sign it .,pro:int pro:sub v inf v pro:per .,ENG ENG ENG ENG ENG ENG,0
8,okay .,co .,ENG,0
9,okay ?,co ?,ENG,0
10,eh .,co .,ENG,0
11,so everything is the same except the finances ?,adv pro:indef cop det:art adj prep det:art n ?,ENG ENG ENG ENG ENG ENG ENG ENG,0
12,everything is the same porque we switched it from Citizens to Universal .,pro:indef cop det:art adj L2 pro:sub v pro:per prep n:prop prep n:prop .,ENG ENG ENG ENG ESP ENG ENG ENG ENG ENG ENG ENG,1
13,oh yeah okay .,co co co .,ENG ENG ENG,0
14,everything's been switched .,adj aux part .,ENG ENG ENG,0
15,okay okay .,co co .,ENG ENG,0
16,entonces .,adv .,ENG,0
17,oh that's right uhuh okay .,co pro:dem adv co co .,ENG ENG ENG ENG ENG,0
18,this is gonna go with the application to Universal this is going to go .,pro:dem aux part v prep det:art n prep n:prop pro:dem aux part inf v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
19,okay .,co .,ENG,0
20,and then we're going to open a new file for finance which is something I think you guys don't have .,coord adv:tem pro:sub part inf v det:art adj n prep n pro:rel cop pro:indef pro:sub v pro:per n mod v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
21,right no .,adv L2 .,ENG ESP,1
22,sí todo estaba junto .,co det:indef cop adj .,ENG ENG ENG ENG,0
23,okay .,co .,ENG,0
24,well everything was together pero for the past couple of things yo no mandé esto .,co pro:indef cop adv L2 prep det:art adj n prep n L2 L2 L2 L2 .,ENG ENG ENG ENG ESP ENG ENG ENG ENG ENG ENG ESP ESP ESP ESP,1
25,yo no mandé el contrato .,pro:sub adv v det:art v .,ENG ENG ENG ENG ENG,0
26,okay .,co .,ENG,0
27,that's why en los faxes que me venían eso like came in .,pro:dem pro:int L2 L2 n L2 L2 L2 L2 co v adv .,ENG ENG ESP ESP ENG ESP ESP ESP ESP ENG ENG ENG,1
28,that's why lo están pidiendo .,pro:dem pro:int L2 L2 L2 .,ENG ENG ESP ESP ESP,1
29,exacto .,co .,ENG,0
30,so we're gonna open new files .,adv pro:sub part v adj n .,ENG ENG ENG ENG ENG ENG,0
31,mhm .,co .,ENG,0
32,okay he only has one thing so we would do him en los folders más finitos .,co pro:sub adv aux det:num n adv pro:sub mod v pro:obj L2 L2 n L2 L2 .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ESP ESP ENG ESP ESP,1
33,mhm .,co .,ENG,0
34,okay .,co .,ENG,0
35,and the blue ones that you gave me there right ?,coord det:art n det:num comp pro:per v pro:obj adv adj ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
36,not we don't have to do the blue .,neg pro:sub mod v inf v det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
37,we can do /.,pro:sub mod v +/.,ENG ENG ENG,0
38,oh any .,co qn .,ENG ENG,0
39,yeah she just said yeah para empezar .,co pro:sub adv v co L2 L2 .,ENG ENG ENG ENG ENG ESP ESP,1
40,okay okay .,co co .,ENG ENG,0
41,so what you do is you put the policy on the right and the correspondence on the left .,co pro:int pro:per v cop pro:per v det:art n prep det:art adj coord det:art n prep det:art adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
42,mhm .,co .,ENG,0
43,mhm .,co .,ENG,0
44,okay .,co .,ENG,0
45,so ya tú sabes aquí está todo junto .,adv L2 L2 L2 L2 L2 L2 L2 .,ENG ESP ESP ESP ESP ESP ESP ESP,1
46,mhm .,co .,ENG,0
47,sí sí que a la hora de buscar it's okay .,L2 L2 L2 L2 L2 L2 L2 L2 pro:per adj .,ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG,1
48,we're not .,pro:sub neg .,ENG ENG,0
49,and now it's going to be individual .,coord adv pro:per part inf cop L2 .,ENG ENG ENG ENG ENG ENG ESP,1
50,alright .,co .,ENG,0
51,okay okay .,co co .,ENG ENG,0
52,okay ?,co ?,ENG,0
53,so that'll work .,adv pro:rel n .,ENG ENG ENG,0
54,right .,co .,ENG,0
55,y entonces okay so then we'll do that .,L2 L2 adj adv adv:tem pro:sub v pro:dem .,ESP ESP ENG ENG ENG ENG ENG ENG,1
56,so ...,co +...,ENG,0
57,so I'll put everything together and make a copy of everything .,adv pro:sub v pro:indef adv coord v det:art n prep pro:indef .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
58,mhm .,co .,ENG,0
59,y después esto va a ir separado que es en otro folder .,L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
60,right .,co .,ENG,0
61,which is gonna be a finance folder .,pro:int aux part cop det:art n n .,ENG ENG ENG ENG ENG ENG ENG,0
62,a finance okay .,det:art n adj .,ENG ENG ENG,0
63,you know so that's how this one is gonna be .,pro:per v conj pro:dem pro:int det:dem pro:indef aux part cop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
64,so I'm gonna leave that out there okay .,adv pro:sub part v adv prep n adj .,ENG ENG ENG ENG ENG ENG ENG ENG,0
65,so pretty much yo creo que todas esto /.,adv adj adv L2 L2 L2 L2 L2 +/.,ENG ENG ENG ESP ESP ESP ESP ESP,1
66,okay .,co .,ENG,0
67,este se formó ...,det:dem pro:refl v +...,ENG ENG ENG,0
68,tremendo lío .,adj n .,ENG ENG,0
69,tremenda lío .,adj n .,ENG ENG,0
70,really ?,adv ?,ENG,0
71,big time yeah .,adj n co .,ENG ENG ENG,0
72,pero bueno eso es y después te lo //.,conj co pro:dem cop coord adv pro:obj pro:obj +//.,ENG ENG ENG ENG ENG ENG ENG ENG,0
73,mhm .,co .,ENG,0
74,te lo cuento .,pro:obj pro:obj v .,ENG ENG ENG,0
75,entonces también este se va a tener que abrir in a commercial folder .,adv adv det:dem pro:refl v aprep inf pro:rel inf L2 L2 L2 L2 .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ESP ESP ESP ESP,1
76,mhm .,co .,ENG,0
77,okay .,co .,ENG,0
78,okay ?,co ?,ENG,0
79,which the commercials are different as well right ?,pro:rel det:art n cop adj prep n co ?,ENG ENG ENG ENG ENG ENG ENG ENG,0
80,yeah but if it's like como ese que es just a GO lo hacemos en el finito para no coger the /.,co conj conj pro:per conj L2 L2 L2 L2 adv det:art n:prop L2 L2 L2 L2 L2 L2 L2 L2 det:art +/.,ENG ENG ENG ENG ENG ESP ESP ESP ESP ENG ENG ENG ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
81,oh yeah .,co co .,ENG ENG,0
82,sí pero no los big ones .,L2 L2 L2 L2 adj pro:indef .,ESP ESP ESP ESP ENG ENG,1
83,right .,co .,ENG,0
84,okay .,co .,ENG,0
85,sí únicamente que they have like everything like homeowners insurance whatever flood .,L2 L2 L2 pro:sub v prep pro:indef prep n n pro:int n .,ESP ESP ESP ENG ENG ENG ENG ENG ENG ENG ENG ENG,1
86,then we do the big one .,adv:tem pro:sub v det:art adj pro:indef .,ENG ENG ENG ENG ENG ENG,0
87,yeah .,co .,ENG,0
88,okay .,co .,ENG,0
89,okay what else ?,co pro:int post ?,ENG ENG ENG,0
90,entonces nada es Julia Pérez .,L2 L2 L2 n:prop n:prop .,ESP ESP ESP ENG ENG,1
91,okay .,co .,ENG,0
92,Morales Muñoz we just redid again .,n:prop n:prop pro:sub adv re#v adv .,ENG ENG ENG ENG ENG ENG,0
93,pero ...,conj +...,ENG,0
94,ajá .,co .,ENG,0
95,so este es signature and the processing of the thing .,adv L2 L2 n coord det:art n:gerund prep det:art n .,ENG ESP ESP ENG ENG ENG ENG ENG ENG ENG,1
96,okay .,co .,ENG,0
97,so todo está en finance .,adv L2 L2 L2 n .,ENG ESP ESP ESP ENG,1
98,yes .,co .,ENG,0
99,okay .,co .,ENG,0
100,so .,co .,ENG,0
101,and these are all like renewals that came in or ?,coord pro:dem cop adv prep n pro:rel v adv coord ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
102,oh /.,co +/.,ENG,0
103,estos son los problemáticos .,det:dem cop det:art adj .,ENG ENG ENG ENG,0
