,sentence,pos,language,switch
0,oh now that I remember antes de que se me olvide .,co adv pro:rel pro:sub v L2 L2 L2 L2 L2 L2 .,ENG ENG ENG ENG ENG ESP ESP ESP ESP ESP ESP,1
1,this lady from the school .,det:dem n prep det:art n .,ENG ENG ENG ENG ENG,0
2,mhm .,co .,ENG,0
3,she told me that she bought the subway passes for the whole year .,pro:sub v pro:obj pro:rel pro:sub v det:art sub#n v prep det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
4,subway passes to where to New_York ?,sub#n v prep pro:rel inf n:prop ?,ENG ENG ENG ENG ENG ENG,0
5,to New_York it's forty bucks .,inf n:prop pro:per det:num n .,ENG ENG ENG ENG ENG,0
6,yeah but you know what she bought I told you she bought that pass .,co conj pro:per v pro:int pro:sub v pro:sub v pro:per pro:sub v adv n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
7,which one ?,pro:rel pro:indef ?,ENG ENG,0
8,it's a special pass that they give .,pro:per det:art adj n pro:rel pro:sub v .,ENG ENG ENG ENG ENG ENG ENG,0
9,.,None,,0
10,it's a special pass .,pro:per det:art adj n .,ENG ENG ENG ENG,0
11,it's called something and it gives you also discounts to certain museums in New_York .,pro:per part pro:indef coord pro:per v pro:per adv n prep adj n prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
12,it's like a ...,pro:per conj det:art +...,ENG ENG ENG,0
13,but for the whole year ?,conj prep det:art adj n ?,ENG ENG ENG ENG ENG,0
14,yeah con ese pase you know you can use it and you have certain discounts .,co L2 L2 L2 pro:per v pro:per mod v pro:per coord pro:per v adj n .,ENG ESP ESP ESP ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,1
15,but it comes out more expensive doesn't it .,conj pro:per v adv adv adj mod pro:per .,ENG ENG ENG ENG ENG ENG ENG ENG,0
16,I don't know she says she can use it up and down as many times as she wants .,pro:sub mod v pro:sub v pro:sub mod v pro:per adv coord adv prep qn n conj pro:sub v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
17,like I would ...,conj pro:sub mod +...,ENG ENG ENG,0
18,was she gonna give it to you ?,cop pro:sub part v pro:per prep pro:per ?,ENG ENG ENG ENG ENG ENG ENG,0
19,I wonder if it has a picture .,pro:sub v comp pro:per aux det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
20,I should ask her .,pro:sub mod v pro:obj .,ENG ENG ENG ENG,0
21,I don't know .,pro:sub mod v .,ENG ENG ENG,0
22,I don't know because I saw that .,pro:sub mod v conj pro:sub v comp .,ENG ENG ENG ENG ENG ENG ENG,0
23,they talk about it .,pro:sub v prep pro:per .,ENG ENG ENG ENG,0
24,it's called something .,pro:per part pro:indef .,ENG ENG ENG,0
25,it's like a supersaver I don't know what .,pro:per conj det:art n pro:sub mod v pro:int .,ENG ENG ENG ENG ENG ENG ENG ENG,0
26,and I was like why do they keep on referencing this ?,coord pro:sub cop prep pro:int mod pro:sub v adv part pro:dem ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
27,I wonder what it is .,pro:sub v pro:int pro:per cop .,ENG ENG ENG ENG ENG,0
28,but she just told me as in subway only .,conj pro:sub adv v pro:obj adv prep sub#n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
29,yes for the subway .,co prep det:art sub#n .,ENG ENG ENG ENG,0
30,it's for that .,pro:per prep pro:dem .,ENG ENG ENG,0
31,but there may be something different that she bought .,conj adv mod cop pro:indef adj comp pro:sub v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
32,because this one serves as a thing for the subway .,conj det:dem pro:indef v prep det:art n prep det:art sub#n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
