,sentence,pos,language,switch
0,so the goat escaped through a bigger hole in my fence right .,co det:art n v prep det:art adj n prep det:poss n adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
1,.,None,,0
2,and mind you my grandfather used to walk that goat every morning around the neighborhood like if it was a dog .,coord v pro:per det:poss grand#n v inf v det:dem n qn n prep det:art n prep conj pro:per cop det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
3,ah .,co .,ENG,0
4,so our next door neighbor had a dog right .,co det:poss adj n n v det:art n adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
5,and whenever the neighbor would let the dog out .,coord pro:rel det:art n mod v det:art n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
6,and he was like putting his work stuff away .,coord pro:sub cop co part det:poss n n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
7,and then so in when the dog .,coord adv:tem adv prep conj det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
8,he closed the door .,pro:sub v det:art n .,ENG ENG ENG ENG,0
9,and he left for work .,coord pro:sub v prep n .,ENG ENG ENG ENG ENG,0
10,he didn't see the goat go in .,pro:sub mod v det:art n v adv .,ENG ENG ENG ENG ENG ENG ENG,0
11,so my grandfather wakes up like at ten .,adv det:poss grand#n n adv prep prep det:num .,ENG ENG ENG ENG ENG ENG ENG ENG,0
12,and he is looking for the goat frantic .,coord pro:sub aux part prep det:art n adj .,ENG ENG ENG ENG ENG ENG ENG ENG,0
13,"and he's screaming around the neighborhood ""/.","coord pro:sub part prep det:art n +""/.",ENG ENG ENG ENG ENG ENG,0
14,Tete Tete where are you ?,n:prop n:prop pro:rel cop pro:per ?,ENG ENG ENG ENG ENG,0
15,like that like frantic .,prep pro:dem prep adj .,ENG ENG ENG ENG,0
16,so somehow some way he looks inside of the neighbor's house .,adv adv qn n pro:sub v adv prep det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
17,uhuh .,co .,ENG,0
18,and there's the goat with the dog running around eating all the furniture pooping everywhere .,coord pro:exist det:art n prep det:art n part adv part qn det:art n part adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
19,that's crazy .,pro:dem adj .,ENG ENG,0
20,we had to call our neighbors .,pro:sub v inf v det:poss n .,ENG ENG ENG ENG ENG ENG,0
21,we had to help them clean everything .,pro:sub v inf v pro:obj v pro:indef .,ENG ENG ENG ENG ENG ENG ENG,0
22,we had to help them do all the furniture .,pro:sub v inf v pro:obj v qn det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
23,it was just oh god .,pro:per cop adv co n .,ENG ENG ENG ENG ENG,0
24,Tete .,n:prop .,ENG,0
25,Tete where are you ?,n:prop pro:rel cop pro:per ?,ENG ENG ENG ENG,0
26,ay .,co .,ENG,0
27,so do you have a funny story ?,adv v pro:per v det:art adj n ?,ENG ENG ENG ENG ENG ENG ENG,0
28,you have super good stories .,pro:per v adj adj n .,ENG ENG ENG ENG ENG,0
29,and I love how you tell them .,coord pro:sub v pro:int pro:per v pro:obj .,ENG ENG ENG ENG ENG ENG ENG,0
30,oh yeah yeah .,co co co .,ENG ENG ENG,0
31,my family's just crazy .,det:poss adj adj adj .,ENG ENG ENG ENG,0
32,do anything crazy .,v pro:indef adj .,ENG ENG ENG,0
33,oh my mom has a patch on her eye .,co det:poss n v det:art n prep det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
34,why ?,pro:rel ?,ENG,0
35,I told you .,pro:sub v pro:per .,ENG ENG ENG,0
36,she's got shit corneas .,pro:sub part n n .,ENG ENG ENG ENG,0
37,she used to have contacts .,pro:sub v inf v n .,ENG ENG ENG ENG ENG,0
38,mind you the contacts are /.,v pro:per det:art n cop +/.,ENG ENG ENG ENG ENG,0
39,uhuh oh I did that .,co co pro:sub v comp .,ENG ENG ENG ENG ENG,0
40,I did that .,pro:sub v comp .,ENG ENG ENG,0
41,the contacts are purely for show .,det:art n cop adv prep n .,ENG ENG ENG ENG ENG ENG,0
42,hah .,co .,ENG,0
43,like for color .,co prep n .,ENG ENG ENG,0
44,she had colored contacts on .,pro:sub v part n adv .,ENG ENG ENG ENG ENG,0
45,.,None,,0
46,I mean she doesn't have perfect vision .,pro:sub v pro:sub mod v adj n .,ENG ENG ENG ENG ENG ENG ENG,0
47,but they have no prescription on it .,conj pro:sub v qn n prep pro:per .,ENG ENG ENG ENG ENG ENG ENG,0
48,uhuh .,co .,ENG,0
49,and so she scratched her cornea really bad to the point that they had to do surgery .,coord co pro:sub v det:poss n adv adj prep det:art n pro:rel pro:sub v inf v n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
50,this was like ten years ago .,pro:dem cop co det:num n post .,ENG ENG ENG ENG ENG ENG,0
51,so whatever she had like stitches and all that stuff .,adv pro:int pro:sub v co v coord qn pro:dem v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
52,and apparently my mom has really bad allergies .,coord adv det:poss n aux adv adj n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
53,and she loves to like scratch her eye .,coord pro:sub v prep co v det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
54,you understand what I mean ?,pro:per v pro:int pro:sub v ?,ENG ENG ENG ENG ENG,0
55,uhuh .,co .,ENG,0
56,so she actually ended up scratching opening up stitches that she had from super long time ago that I guess never healed right .,co pro:sub adv v adv part part adv n pro:rel pro:sub v prep adj adj n post pro:rel pro:sub v adv part co .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
57,scratching it .,part pro:per .,ENG ENG,0
58,oh that's crazy .,co pro:dem adj .,ENG ENG ENG,0
59,so now you have to look at her .,co adv pro:per v inf v prep pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG,0
60,she looks like a pirate .,pro:sub v conj det:art n .,ENG ENG ENG ENG ENG,0
61,she has a patch /.,pro:sub v det:art n +/.,ENG ENG ENG ENG,0
62,.,None,,0
63,on one eye .,prep det:num n .,ENG ENG ENG,0
64,you know what I mean .,pro:per v pro:int pro:sub v .,ENG ENG ENG ENG ENG,0
65,and like she's walking around .,coord conj pro:sub part adv .,ENG ENG ENG ENG ENG,0
