,sentence,pos,language,switch
0,there are plenty of new alternatives .,pro:exist cop adv prep adj n .,ENG ENG ENG ENG ENG ENG,0
1,ahhah .,co .,ENG,0
2,regarding birth control pills .,part n n n .,ENG ENG ENG ENG,0
3,yeah .,co .,ENG,0
4,sí pero es que yo no quiero /.,co conj cop pro:rel pro:sub adv v +/.,ENG ENG ENG ENG ENG ENG ENG,0
5,but ah they're not as strong as they were a couple of years ago .,conj co pro:sub neg prep adj prep pro:sub cop det:art n prep n post .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
6,yeah .,co .,ENG,0
7,pero es que es que /.,conj cop pro:rel cop pro:rel +/.,ENG ENG ENG ENG ENG,0
8,like like ah in the sixties they were terrible !,co co co prep det:art det:num pro:sub cop adj !,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
9,yeah .,co .,ENG,0
10,yeah they were .,co pro:sub cop .,ENG ENG ENG,0
11,like too strong .,prep adv adj .,ENG ENG ENG,0
12,too too much strong .,adv adv adv adj .,ENG ENG ENG ENG,0
13,too much /.,adv adv +/.,ENG ENG,0
14,yeah no no /.,co co co +/.,ENG ENG ENG,0
15,but now the dose is so slight /.,conj adv det:art n cop adv adj +/.,ENG ENG ENG ENG ENG ENG ENG,0
16,basically .,adv .,ENG,0
17,but look at this .,conj v prep pro:dem .,ENG ENG ENG ENG,0
18,eso es homeopathic .,L2 L2 adj .,ESP ESP ENG,1
19,eso lo que tengo que //.,pro:dem pro:obj pro:rel v pro:rel +//.,ENG ENG ENG ENG ENG,0
20,I wanna do more natural things because I really //.,pro:sub v v adv adj n conj pro:sub adv +//.,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
21,I'm already on medication .,pro:sub adv prep n .,ENG ENG ENG ENG,0
22,I'm already on Effexor //.,pro:sub adv prep n:prop +//.,ENG ENG ENG ENG,0
23,and I've been on antidepressants since I was seventeen .,coord pro:sub cop prep anti#n conj pro:sub cop det:num .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
24,"so , I've already been fucked //.",co cm pro:sub adv aux part +//.,ENG ENG ENG ENG ENG ENG,0
25,you know I've already had my body being dependent on medicine .,pro:per v pro:sub adv part det:poss n n adj prep n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
26,I don't want to take even more medicine if I could find something else that helps me .,pro:sub mod v inf v adv qn n conj pro:sub mod v pro:indef post pro:rel v pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
27,but I wouldn't say that hormones are //.,conj pro:sub mod v comp n cop +//.,ENG ENG ENG ENG ENG ENG ENG,0
28,I don't know .,pro:sub mod v .,ENG ENG ENG,0
29,for me it's a natural way to regulate stuff .,prep pro:obj pro:per det:art adj n inf v n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
30,yes but //.,co conj +//.,ENG ENG,0
31,but I could find //.,conj pro:sub mod v +//.,ENG ENG ENG ENG,0
32,yeah but those things are synthetic hormones .,co conj det:dem n cop adj n .,ENG ENG ENG ENG ENG ENG ENG,0
33,that's why they're more powerful .,pro:dem pro:int pro:sub qn adj .,ENG ENG ENG ENG ENG,0
34,they have more side effects .,pro:sub v adv adj n .,ENG ENG ENG ENG ENG,0
35,that's the problem .,pro:dem det:art n .,ENG ENG ENG,0
36,and I know I have to be better about my diet and all that stuff .,coord pro:sub v pro:sub v inf cop adv prep det:poss n coord qn pro:dem v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
37,I have to eat healthier .,pro:sub v inf v adj .,ENG ENG ENG ENG ENG,0
38,I'm actually starting to eat /.,pro:sub adv part inf v +/.,ENG ENG ENG ENG ENG,0
39,sí is it like a generic /?,L2 aux pro:per conj det:art adj +/?,ESP ENG ENG ENG ENG ENG,1
40,yeah it's genetic because my mom ...,co pro:per adj conj det:poss n +...,ENG ENG ENG ENG ENG ENG,0
41,so ah it's not something that was like /.,co co pro:per neg pro:indef pro:rel cop prep +/.,ENG ENG ENG ENG ENG ENG ENG ENG,0
42,qué ?,pro:int ?,ENG,0
43,these pills .,det:dem n .,ENG ENG,0
44,no no no eso es totalmente natural .,adv adv adv pro:dem cop adv:adj adj .,ENG ENG ENG ENG ENG ENG ENG,0
45,.,None,,0
46,eso es /.,pro:dem cop +/.,ENG ENG,0
47,I think that they need to consider your ah weight and blood type and stuff .,pro:sub v comp pro:sub v inf v det:poss co n coord n n coord n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
48,no eso es totalmente natural /.,adv pro:dem cop adv:adj adj +/.,ENG ENG ENG ENG ENG,0
49,entonces /.,adv +/.,ENG,0
50,when they do a good one ah like let's say a costumized ah homeopathic stuff /.,conj pro:sub v det:art adj pro:indef co co v v det:art part co adj n +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
51,the thing is I went to /.,det:art n cop pro:sub v prep +/.,ENG ENG ENG ENG ENG ENG,0
52,like if this is generic ah I think it's ah still effective ...,co conj pro:dem cop adj co pro:sub v pro:per co adv adj +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
53,it's still effective .,pro:per adv adj .,ENG ENG ENG,0
54,pero cómo te digo ?,conj pro:int pro:obj v ?,ENG ENG ENG ENG,0
55,I know .,pro:sub v .,ENG ENG,0
