,sentence,pos,language,switch
0,the two piece set of the water glasses is ...,det:art det:num n n prep det:art n n cop +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
1,can you do me a favor ?,mod pro:per v pro:obj det:art n ?,ENG ENG ENG ENG ENG ENG,0
2,what ?,pro:int ?,ENG,0
3,go to Paypal .,v prep n:prop .,ENG ENG ENG,0
4,because I think that's a little bit more important right now than looking at some dollar store online .,conj pro:sub v pro:dem det:art adj n adv adj adv adv prep part prep qn n n adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
5,you know how to log in ?,pro:per v pro:int inf v adv ?,ENG ENG ENG ENG ENG ENG,0
6,you do it .,pro:per v pro:per .,ENG ENG ENG,0
7,give me the computer .,v pro:obj det:art n .,ENG ENG ENG ENG,0
8,okay .,co .,ENG,0
9,because this guy wanted to buy the headlights .,conj det:dem n v inf v det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
10,and he said he was going to send the money in today .,coord pro:sub v pro:sub aux part inf v det:art n prep adv:tem .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
11,so if he does that's my to call him .,adv conj pro:sub v comp co inf v pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
12,at hot female dot-com .,prep adj adj n .,ENG ENG ENG ENG,0
13,oh yeah it's a little gay that that it's at Hotmail_dot-com not Hotfemale_dot-com .,co co pro:per det:art adj adj comp pro:rel pro:per prep n:prop neg n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
14,ay ya .,co adv .,ENG ENG,0
15,I'm gonna Hotfemale_dot-com .,pro:sub part n:prop .,ENG ENG ENG,0
16,then I'll be diez mil en Hotfemale_dot-com instead of at ...,adv:tem pro:sub cop L2 L2 L2 n:prop adv prep prep +...,ENG ENG ENG ESP ESP ESP ENG ENG ENG ENG,1
17,.,None,,0
18,eh eh eh .,co co co .,ENG ENG ENG,0
19,I bet it exists right .,pro:sub v pro:per v co .,ENG ENG ENG ENG ENG,0
20,then let's make an account .,adv:tem v v det:art n .,ENG ENG ENG ENG ENG,0
21,don't you think that's funny ?,mod pro:per v pro:dem adj ?,ENG ENG ENG ENG ENG,0
22,is that that French teacher's artwork ?,cop comp comp n:prop adj n ?,ENG ENG ENG ENG ENG ENG,0
23,is it ?,aux pro:per ?,ENG ENG,0
24,I think so .,pro:sub v co .,ENG ENG ENG,0
25,I saw another one of his on the wall the other day in the other side of the library .,pro:sub v qn pro:indef prep det:poss prep det:art n det:art qn n prep det:art qn n prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
26,I see .,pro:sub v .,ENG ENG,0
27,but why the hell does he put the fricking ...,conj pro:int det:art n v pro:sub v det:art adj +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
28,and the ornaments .,coord det:art n .,ENG ENG ENG,0
29,why does he have the periodic table on ?,pro:int v pro:sub v det:art adj n adv ?,ENG ENG ENG ENG ENG ENG ENG ENG,0
30,I don't know .,pro:sub mod v .,ENG ENG ENG,0
31,that's ridiculous .,pro:dem adj .,ENG ENG,0
32,okay no he didn't send the money .,co co pro:sub mod v det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
33,so I thought he wanted it today .,co pro:sub v pro:sub v pro:per adv:tem .,ENG ENG ENG ENG ENG ENG ENG,0
34,check my email for me ?,v det:poss n prep pro:obj ?,ENG ENG ENG ENG ENG,0
35,let's see if he wrote to me or something .,v v conj pro:sub v prep pro:obj coord pro:indef .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
36,you know Matt has actually asked me about the fish .,pro:per v n:prop aux adv part pro:obj prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
37,what did he say ?,pro:int mod pro:sub v ?,ENG ENG ENG ENG,0
38,"well he asked me ""/.","co pro:sub v pro:obj +""/.",ENG ENG ENG ENG,0
39,how are your fish doing ?,pro:int cop det:poss n part ?,ENG ENG ENG ENG ENG,0
40,and I told him that the puffer fish had died and ...,coord pro:sub v pro:obj comp det:art n n aux part coord +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
41,although that was a while back right .,conj pro:dem cop det:art n n co .,ENG ENG ENG ENG ENG ENG ENG,0
42,he hadn't asked me you know .,pro:sub aux part pro:obj pro:per v .,ENG ENG ENG ENG ENG ENG,0
43,yeah I know .,co pro:sub v .,ENG ENG ENG,0
44,"and he said ""/.","coord pro:sub v +""/.",ENG ENG ENG,0
