,sentence,pos,language,switch
0,my sister inlaw quiere que haga you know .,det:poss n n L2 L2 L2 pro:per v .,ENG ENG ENG ESP ESP ESP ENG ENG,1
1,she she is a linguist .,pro:sub pro:sub cop det:art n .,ENG ENG ENG ENG ENG,0
2,and so she wants to sort of track you know spanglish .,coord co pro:sub v inf v prep n pro:per v n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
3,so she asked me if I would wear it at work /.,co pro:sub v pro:obj conj pro:sub mod v pro:per prep n +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
4,.,None,,0
5,para ver como es el cambio de un idioma al otro .,prep inf adv cop det:art v prep det:art n aprep pro:indef .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
6,so if you see me with this thing I look kinda goofy .,adv conj pro:per v pro:obj prep det:dem n pro:sub v adv adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
7,.,None,,0
8,yeah it records it and all como los chips de la camarita .,co pro:per v pro:per coord adv L2 L2 n L2 L2 L2 .,ENG ENG ENG ENG ENG ENG ESP ESP ENG ESP ESP ESP,1
9,.,None,,0
10,you know the tiny little one ?,pro:per v det:art adj adj pro:indef ?,ENG ENG ENG ENG ENG ENG,0
11,.,None,,0
12,and then if you know /.,coord adv:tem conj pro:per v +/.,ENG ENG ENG ENG ENG,0
13,.,None,,0
14,she has some sort of program cause she is doing you know .,pro:sub v qn n prep n n pro:sub aux part pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
15,she's got like a grant or something .,pro:sub part co det:art n coord pro:indef .,ENG ENG ENG ENG ENG ENG ENG,0
16,.,None,,0
17,yeah and they transcribe it .,co coord pro:sub v pro:per .,ENG ENG ENG ENG ENG,0
18,and then I guess they figure out you know whatever she does something to do with transcribing and Spanglish and you know lo que hablas and everything .,coord adv:tem pro:sub v pro:sub v adv pro:per v pro:int pro:sub v pro:indef inf v prep n:gerund coord n:prop coord pro:per v L2 L2 L2 coord pro:indef .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ESP ESP ESP ENG ENG,1
19,.,None,,0
20,right right .,co co .,ENG ENG,0
21,pero no !,conj adv !,ENG ENG,0
22,lo apago .,pro:obj v .,ENG ENG,0
23,y si yo sé que estamos you know todo el mundo hablando inglés o como dice mi hermano si tú no quieres que nadie oyen or personal or something .,L2 L2 L2 L2 L2 L2 pro:per v L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 coord adj coord pro:indef .,ESP ESP ESP ESP ESP ESP ENG ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG ENG ENG,1
24,.,None,,0
25,so ...,co +...,ENG,0
26,.,None,,0
27,y tu amiga ?,coord det:pos n ?,ENG ENG ENG,0
28,.,None,,0
29,no ha ni llamado ?,adv aux coord part ?,ENG ENG ENG ENG,0
30,.,None,,0
31,y tú no puedes salir en esa vaina ?,coord pro:sub adv v inf prep det:dem n ?,ENG ENG ENG ENG ENG ENG ENG ENG,0
32,hello si es four wheel drive ?,co L2 L2 det:num n n ?,ENG ESP ESP ENG ENG ENG,1
33,nieve .,v .,ENG,0
34,mi hermana vive en Georgia .,det:pos n v prep n:prop .,ENG ENG ENG ENG ENG,0
35,y no ha habido nada de nieve .,coord adv aux part imp prep n .,ENG ENG ENG ENG ENG ENG ENG,0
36,.,None,,0
37,bueno yo no sé dónde está la casa de ella .,co pro:sub adv v pro:int cop det:art n prep pro:sub .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
38,.,None,,0
39,bueno puede que sí en las montañas sí sí haya .,co v pro:rel co prep det:art n co co v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
40,.,None,,0
41,ya más muerta que viva .,adv adv part prep co .,ENG ENG ENG ENG ENG,0
42,.,None,,0
43,pero a qué hora te llamó a las ocho de la mañana ?,conj aprep pro:int n pro:obj v aprep det:art n prep det:art adv ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
44,anoche ?,adv ?,ENG,0
45,.,None,,0
46,ah anoche .,co adv .,ENG ENG,0
47,.,None,,0
48,eso queda como por la mitad del estado .,pro:dem v adv prep det:art n prep part .,ENG ENG ENG ENG ENG ENG ENG ENG,0
49,.,None,,0
50,no no no !,adv adv adv !,ENG ENG ENG,0
51,eso está en el medio del estado .,pro:dem cop prep det:art adj prep part .,ENG ENG ENG ENG ENG ENG ENG,0
52,está o al norte o al sur de Gainesville .,aux coord aprep n coord aprep n prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
53,.,None,,0
54,eso es horse country .,L2 L2 n n .,ESP ESP ENG ENG,1
55,eso es horse country .,L2 L2 n n .,ESP ESP ENG ENG,1
56,.,None,,0
