,sentence,pos,language,switch
0,estabas cabrona .,aux n .,ENG ENG,0
1,sí porque no me recogiste la casa .,co conj adv pro:obj re#v det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
2,y tú durmiendo .,coord pro:sub ger .,ENG ENG ENG,0
3,yo vine para acá hoy por la mañana .,pro:sub v prep adv adv prep det:art adv .,ENG ENG ENG ENG ENG ENG ENG ENG,0
4,y me puse a hacer los platos .,coord pro:obj v aprep inf det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
5,y la única razón por la cual no los terminé fue porque el niño venía para acá .,coord det:art adj n prep det:art pro:rel adv pro:obj v v conj det:art n v prep adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
6,y quería la leche .,coord v det:art n .,ENG ENG ENG ENG,0
7,yo me fui para allá para despertarme .,pro:sub pro:obj v prep adv prep inf .,ENG ENG ENG ENG ENG ENG ENG,0
8,a qué hora ?,aprep pro:int n ?,ENG ENG ENG,0
9,varias veces .,v n .,ENG ENG,0
10,voy a dejar /.,v aprep inf +/.,ENG ENG ENG,0
11,por la mañana ?,prep det:art adv ?,ENG ENG ENG,0
12,no .,adv .,ENG,0
13,that had to have been there when I went outside .,pro:rel v inf aux cop adv conj pro:sub v adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
14,that I went outside to smoke for a minute .,pro:rel pro:sub v adv prep n prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
15,and then I came back in .,coord adv:tem pro:sub v adj adv .,ENG ENG ENG ENG ENG ENG,0
16,and he went outside .,coord pro:sub v adv .,ENG ENG ENG ENG,0
17,and he goes estaba buscando .,coord pro:sub v L2 L2 .,ENG ENG ENG ESP ESP,1
18,estaba I love when he uses his hand .,L2 pro:sub n conj pro:sub v det:poss n .,ESP ENG ENG ENG ENG ENG ENG ENG,1
19,oh .,co .,ENG,0
20,estaba buscando estaba buscando .,aux ger aux ger .,ENG ENG ENG ENG,0
21,y went into the room looking for you .,L2 v prep det:art n part prep pro:per .,ESP ENG ENG ENG ENG ENG ENG ENG,1
22,no it must have been that moment then .,co pro:per mod aux aux det:dem n adv:tem .,ENG ENG ENG ENG ENG ENG ENG ENG,0
23,dónde está papi ?,pro:int cop n ?,ENG ENG ENG,0
