,sentence,pos,language,switch
0,so he goes over to the creepy_crawly and he pulls it out the pool and one leg is broken .,co pro:sub v adv prep det:art n coord pro:sub v pro:per prep det:art n coord det:num n aux part .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
1,that's why it wasn't moving .,pro:dem pro:int pro:per aux part .,ENG ENG ENG ENG ENG,0
2,the pump was good .,det:art n cop adj .,ENG ENG ENG ENG,0
3,but he replaced the seal the o_rings .,conj pro:sub re#part det:art n det:art n:gerund .,ENG ENG ENG ENG ENG ENG ENG,0
4,and how much did he charge ?,coord pro:int adv mod pro:sub v ?,ENG ENG ENG ENG ENG ENG,0
5,a hundred and twenty dollars .,det:art det:num coord det:num n .,ENG ENG ENG ENG ENG,0
6,and how much would it been if we went and got the gauge and fixed the creepy_crawly up ?,coord pro:int adv mod pro:per cop conj pro:sub v coord v det:art n coord v det:art n adv ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
7,the creepy_crawly would have been maybe thirty bucks if I would have gone .,det:art n mod aux cop adv det:num n conj pro:sub mod aux part .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
8,but I didn't know it was broken .,conj pro:sub mod v pro:per aux part .,ENG ENG ENG ENG ENG ENG ENG,0
9,and the gauge thing the pressure ?,coord det:art n n det:art n ?,ENG ENG ENG ENG ENG ENG,0
10,the gauge thing he replaced it .,det:art n n pro:sub re#part pro:per .,ENG ENG ENG ENG ENG ENG,0
11,I don't know how much that cost me but the visit alone was sixty .,pro:sub mod v pro:int adv pro:rel v pro:obj conj det:art n adv cop det:num .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
12,and then he replaced the o_rings which really /.,coord adv:tem pro:sub re#part det:art n:gerund pro:rel adv +/.,ENG ENG ENG ENG ENG ENG ENG ENG,0
13,this is the Bill guy ?,pro:dem cop det:art n:prop n ?,ENG ENG ENG ENG ENG,0
14,yeah Bill .,co n:prop .,ENG ENG,0
15,did you ask him about the pool heater ?,mod pro:per v pro:obj prep det:art n n ?,ENG ENG ENG ENG ENG ENG ENG ENG,0
16,or you didn't ask ?,coord pro:per mod v ?,ENG ENG ENG ENG,0
17,"you know he said ""/.","pro:per v pro:sub v +""/.",ENG ENG ENG ENG,0
18,listen ...,v +...,ENG,0
19,because I told him about my brother inlaw and everything .,conj pro:sub v pro:obj prep det:poss n n coord pro:indef .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
20,goes /.,v +/.,ENG,0
21,listen I guarantee you he's gonna get you a better price than my boss is gonna let me sell you one for .,v pro:sub v pro:per pro:sub part v pro:per det:art adj n prep det:poss n aux part v pro:obj v pro:per pro:indef prep .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
22,and what about installing it ?,coord pro:int adv part pro:per ?,ENG ENG ENG ENG ENG,0
23,no installing if we have this guy .,co part conj pro:sub v det:dem n .,ENG ENG ENG ENG ENG ENG ENG,0
24,or Paul .,coord n:prop .,ENG ENG,0
25,yo no quiero contar con él .,pro:sub adv v inf prep pro:sub .,ENG ENG ENG ENG ENG ENG,0
26,I'll call .,pro:sub v .,ENG ENG,0
27,with Paul ?,prep n:prop ?,ENG ENG,0
