,sentence,pos,language,switch
0,so listen so if you give //.,adv v conj conj pro:per v +//.,ENG ENG ENG ENG ENG ENG,0
1,okay .,co .,ENG,0
2,I'm gonna do it .,pro:sub part v pro:per .,ENG ENG ENG ENG,0
3,okay look tus gastos doscientos cincuenta dollars down .,co co L2 L2 L2 L2 n adv .,ENG ENG ESP ESP ESP ESP ENG ENG,1
4,yeah .,co .,ENG,0
5,right and then you just pay whatever you can every month because it's not until September the cruise .,adv coord adv:tem pro:per adj v pro:int pro:per mod qn n conj pro:per neg prep n:prop det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
6,yeah so like fifty dollars a month .,co co co det:num n det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
7,yeah .,co .,ENG,0
8,whatever you can give fifty dollars or so .,pro:int pro:per mod v det:num n coord co .,ENG ENG ENG ENG ENG ENG ENG ENG,0
9,whatever you have until the time of the cruise to pay .,pro:int pro:per v prep det:art n prep det:art n prep n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
10,is this written refundable ?,cop pro:dem part re#adj ?,ENG ENG ENG ENG,0
11,because what if at the end we don't go ?,conj pro:int conj prep det:art n pro:sub mod v ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
12,okay .,co .,ENG,0
13,everything is refundable up to sixty days before the cruise .,pro:indef cop re#adj adv prep det:num n adv det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
14,okay .,co .,ENG,0
15,you have up to sixty days before the cruise to decide whether or not you want your money back .,pro:per v adv prep det:num n adv det:art n inf v comp coord neg pro:per v det:poss n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
16,fine .,adv .,ENG,0
17,how many bedrooms Christine was planning that .,pro:int qn n n:prop aux part comp .,ENG ENG ENG ENG ENG ENG ENG,0
18,.,None,,0
19,.,None,,0
20,no you dumb ass .,co pro:per adj n .,ENG ENG ENG ENG,0
21,.,None,,0
22,it's three beds .,pro:per det:num n .,ENG ENG ENG,0
23,it's a bunk bed and one bed .,pro:per det:art n n coord det:num n .,ENG ENG ENG ENG ENG ENG ENG,0
24,oh that's fine .,co pro:dem adj .,ENG ENG ENG,0
25,yeah I'm gonna do it .,co pro:sub part v pro:per .,ENG ENG ENG ENG ENG,0
26,yeah it's three beds .,co pro:per det:num n .,ENG ENG ENG ENG,0
27,Betty and John have a big king size bed .,n:prop coord n:prop v det:art adj n n n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
28,whatever .,pro:int .,ENG,0
29,.,None,,0
