,sentence,pos,language,switch
0,para todo lo que tiene que ver con psychology tú no puedes empezar sin masters .,prep det:indef pro:obj pro:rel v pro:rel inf prep L2 pro:sub adv v inf prep L2 .,ENG ENG ENG ENG ENG ENG ENG ENG ESP ENG ENG ENG ENG ENG ESP,1
1,en todas las escuelas todos los counselors .,prep det:indef det:art n det:indef L2 L2 .,ENG ENG ENG ENG ENG ESP ESP,1
2,y ella no tiene master todavía ?,L2 L2 L2 L2 adj L2 ?,ESP ESP ESP ESP ENG ESP,1
3,she has the bachelor .,pro:sub v det:art n .,ENG ENG ENG ENG,0
4,ya .,adv .,ENG,0
5,pero en todas las escuelas si tú quieres ir de school counselor .,conj prep det:indef det:art n conj pro:sub v inf prep L2 L2 .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ESP ESP,1
6,you have to have a masters in psychology in behavioral education or one of these things like that .,pro:per v inf v det:art n prep n prep adj n coord pro:indef prep det:dem n prep pro:dem .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
7,no lo va a sacar ?,adv pro:obj v aprep inf ?,ENG ENG ENG ENG ENG,0
8,but it has to be a masters .,conj pro:per aux inf cop det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
9,yeah .,co .,ENG,0
10,but I'm gonna finish school .,conj pro:sub part v n .,ENG ENG ENG ENG ENG,0
11,she's gonna start school .,pro:sub part v n .,ENG ENG ENG ENG,0
12,and then I think I'm gonna either go to law school //.,coord adv:tem pro:sub v pro:sub part coord v prep n n +//.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
13,I have three options right now .,pro:sub v det:num n adv adv .,ENG ENG ENG ENG ENG ENG,0
14,and I'm so undecided .,coord pro:sub adv un#part .,ENG ENG ENG ENG,0
15,I don't know .,pro:sub mod v .,ENG ENG ENG,0
16,I'm either gonna do law school my M_b_a .,pro:sub adv part v n n det:poss n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG,0
17,or I'm gonna do a doctorate in my field because I have the masters done in my field .,coord pro:sub part v det:art n prep det:poss n conj pro:sub v det:art n part prep det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
18,I did a bachelors in computer sciences and in management information systems which was from the school of business .,pro:sub v det:art n prep n n coord prep n n n pro:rel cop prep det:art n prep n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
19,my master now it's in management is a master of science in management information systems .,det:poss adj adv pro:per adv n cop det:art n prep n prep n n n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
20,so es todo tecnología .,L2 cop pro:indef n .,ESP ENG ENG ENG,1
21,ah no sí ahora todo es //.,co L2 L2 L2 L2 L2 +//.,ENG ESP ESP ESP ESP ESP,1
22,that's what I did .,pro:dem pro:int pro:sub v .,ENG ENG ENG ENG,0
23,.,None,,0
24,so puedo seguir en ese camino con dos años más .,adv L2 L2 L2 L2 L2 L2 L2 L2 L2 .,ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP,1
25,y sacar el doctoral .,L2 L2 L2 adj .,ESP ESP ESP ENG,1
26,doctorado .,n .,ENG,0
27,mhm .,co .,ENG,0
28,está bien .,cop adv .,ENG ENG,0
29,but the problem is they require a residency that you go do research with them .,conj det:art n cop pro:sub v det:art adj adv pro:per v mod v prep pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
30,that's the problem .,pro:dem det:art n .,ENG ENG ENG,0
31,ay pero tú lo puedes hacer .,co conj pro:sub pro:obj v inf .,ENG ENG ENG ENG ENG ENG,0
32,tú eres smart .,L2 L2 adj .,ESP ESP ENG,1
33,.,None,,0
34,.,None,,0
35,olvídate que eso es ...,imp pro:rel pro:dem cop +...,ENG ENG ENG ENG,0
36,I like it .,pro:sub v pro:per .,ENG ENG ENG,0
37,and that's the thing .,coord pro:dem det:art n .,ENG ENG ENG ENG,0
38,if you like something it's easy .,conj pro:per conj pro:indef pro:per adj .,ENG ENG ENG ENG ENG ENG,0
39,oh yeah yeah it's easy for you .,co co co pro:per adj prep pro:per .,ENG ENG ENG ENG ENG ENG ENG,0
40,Jack y entonces ya empezaron a buscar muebles o todavía ?,n:prop L2 L2 L2 L2 L2 L2 L2 L2 L2 ?,ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP,1
41,no .,co .,ENG,0
42,.,None,,0
43,everything is there .,pro:indef cop adv .,ENG ENG ENG,0
44,they painted .,pro:sub v .,ENG ENG,0
45,laid tile .,v n .,ENG ENG,0
46,put the baseboards .,v det:art n .,ENG ENG ENG,0
47,and put all the muebles .,coord v qn det:art L2 .,ENG ENG ENG ENG ESP,1
48,ah ya lo tienen allí ?,co L2 L2 L2 L2 ?,ENG ESP ESP ESP ESP,1
49,yeah the whole thing ya está puesto .,co det:art adj n L2 L2 L2 .,ENG ENG ENG ENG ESP ESP ESP,1
