,sentence,pos,language,switch
0,"so yo le digo a la waitress ""/.","adv L2 L2 L2 L2 L2 n +""/.",ENG ESP ESP ESP ESP ESP ENG,1
1,eh hay lugar adentro en la barra ?,co v n adv prep det:art n ?,ENG ENG ENG ENG ENG ENG ENG,0
2,uhuh .,co .,ENG,0
3,"said ""/.","v +""/.",ENG,0
4,well if a table opens up or something opens up I'll let you know okay ?,co comp det:art n v adv coord pro:indef v prep pro:sub v pro:per v adj ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
5,so a few minutes later she tells us that there's a table at the bar .,co det:art n n adv pro:sub v pro:obj pro:rel pro:exist det:art n prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
6,so we went at the bar ...,co pro:sub v prep det:art n +...,ENG ENG ENG ENG ENG ENG,0
7,"in timeout there in a corner ""/.","prep n adv prep det:art n +""/.",ENG ENG ENG ENG ENG ENG,0
8,you're okay there ?,pro:per adj adv ?,ENG ENG ENG,0
9,.,None,,0
10,ya estamos dentro que .,adv cop adv pro:rel .,ENG ENG ENG ENG,0
11,.,None,,0
12,well so we were there ...,co conj pro:sub cop adv +...,ENG ENG ENG ENG ENG,0
13,"and a couple of guys turned to talk to us ""/.","coord det:art n prep n v inf v prep pro:obj +""/.",ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
14,and well but nothing .,coord n conj pro:indef .,ENG ENG ENG ENG,0
15,and while we were there and sitting ...,coord conj pro:sub cop adv coord part +...,ENG ENG ENG ENG ENG ENG ENG,0
16,y nada pasó .,coord v v .,ENG ENG ENG,0
17,and drinking and sitting .,coord part coord part .,ENG ENG ENG ENG,0
18,ni modo se emborrachaban antes de que le pasara .,coord n pro:refl v adv prep pro:rel pro:ind v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
19,nada .,pro:indef .,ENG,0
20,"entonces le digo ""/.","adv pro:ind v +""/.",ENG ENG ENG,0
21,buena yo ya me tengo que ir porque cuanto no voy a quedar aquí .,adj pro:sub adv pro:obj v pro:rel inf conj det:indef adv v aprep inf adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
22,claro .,co .,ENG,0
23,yo soy casada .,pro:sub cop part .,ENG ENG ENG,0
24,tú no pero yo //.,pro:sub adv conj pro:sub +//.,ENG ENG ENG ENG,0
25,tengo un hijo un esposo .,v det:art n det:art n .,ENG ENG ENG ENG ENG,0
26,ya .,adv .,ENG,0
27,"so ""/.","co +""/.",ENG,0
28,bueno vamos ...,co co +...,ENG ENG,0
29,y qué vamos a hacer aquí sentadas haciendo nada !,coord pro:int v aprep inf adv part ger v !,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
30,claro .,co .,ENG,0
31,sí .,co .,ENG,0
32,so we get up and we're leaving ...,co pro:sub v adv coord pro:sub part +...,ENG ENG ENG ENG ENG ENG ENG,0
33,"and when we were leaving era ""/.","coord conj pro:sub aux part L2 +""/.",ENG ENG ENG ENG ENG ESP,1
34,hi girls there .,co n adv .,ENG ENG ENG,0
35,how are this ?,pro:int cop pro:dem ?,ENG ENG ENG,0
36,how are you ?,pro:int cop pro:per ?,ENG ENG ENG,0
37,entraron dos hombres ?,v det:num n ?,ENG ENG ENG,0
38,so /.,co +/.,ENG,0
39,no they're all the people that were there .,co pro:sub adv det:art n pro:rel cop adv .,ENG ENG ENG ENG ENG ENG ENG ENG,0
40,"so my friend was ""/.","adv det:poss n cop +""/.",ENG ENG ENG ENG,0
41,well seems that you can't sit down ...,co cop comp pro:per mod v adv +...,ENG ENG ENG ENG ENG ENG ENG,0
42,you need to go and walk around the place .,pro:per v inf v coord n prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
43,you need to know what to do when you to an happy hour .,pro:per v inf v pro:int inf v conj pro:per prep det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
44,yeah .,co .,ENG,0
45,so well now we know //.,adv adv adv pro:sub v +//.,ENG ENG ENG ENG ENG,0
46,well now we know you need to walk around and mingle because if you are there /.,adv adv pro:sub v pro:per v inf v adv coord v conj conj pro:per cop adv +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
47,I don't think you've /.,pro:sub mod v pro:per +/.,ENG ENG ENG ENG,0
48,no es como en nuestros países que los hombres son atrevidos que te hablan .,adv cop adv prep pro:pos n prep det:art n cop part pro:rel pro:obj v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
49,sí no aquí esperan .,co adv adv v .,ENG ENG ENG ENG,0
50,uno tiene que ir !,det:art v pro:rel inf !,ENG ENG ENG ENG,0
51,y te miran la mano /.,coord pro:obj v det:art n +/.,ENG ENG ENG ENG ENG,0
52,ah bueno tú no tienes anillo .,co co pro:sub adv v n .,ENG ENG ENG ENG ENG ENG,0
53,no .,adv .,ENG,0
54,no no I use mine .,co co pro:sub v pro:poss .,ENG ENG ENG ENG ENG,0
55,sí lo tienes ?,co pro:obj v ?,ENG ENG ENG,0
56,sí yo uso mi anillo de //.,co pro:sub v det:pos n prep +//.,ENG ENG ENG ENG ENG ENG,0
57,hoy hoy no lo tengo ...,adv adv adv pro:obj v +...,ENG ENG ENG ENG ENG,0
58,pero I lo I use it .,L2 pro:sub L2 pro:sub v pro:per .,ESP ENG ESP ENG ENG ENG,1
59,pero well the funny thing was that those guys who came to talk to us //.,L2 adv det:art adj n cop adv det:dem n pro:rel v inf v prep pro:obj +//.,ESP ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,1
60,it was funny because my friend is pretty ...,pro:per cop adj conj det:poss n cop adv +...,ENG ENG ENG ENG ENG ENG ENG ENG,0
61,uhuh and you're pretty too .,co coord pro:per adj adv .,ENG ENG ENG ENG ENG,0
62,y tú sabes ella ella es bonita ...,coord pro:sub v pro:sub pro:sub cop co:voc +...,ENG ENG ENG ENG ENG ENG ENG,0
63,y es muy atractiva atractiva ...,coord cop adv adj adj +...,ENG ENG ENG ENG ENG,0
64,and she is very flamboyant you know .,coord pro:sub cop adv adj pro:per v .,ENG ENG ENG ENG ENG ENG ENG,0
