,sentence,pos,language,switch
0,espera .,imp .,ENG,0
1,tengo una cosa chiquitica .,v det:art imp n .,ENG ENG ENG ENG,0
2,y tengo una cosa que tengo que hacer en la computadora .,coord v det:art imp pro:rel v pro:rel inf prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
3,qué más ?,pro:int adv ?,ENG ENG,0
4,creo que es todo .,v pro:rel cop pro:indef .,ENG ENG ENG ENG,0
5,ah bueno pero fin de semana so you can take your time .,co L2 L2 L2 L2 L2 conj pro:per mod v det:poss n .,ENG ESP ESP ESP ESP ESP ENG ENG ENG ENG ENG ENG,1
6,tengo tres días .,v det:num n .,ENG ENG ENG,0
7,limpiar mi cuarto este fin de semana .,inf det:pos n imp n prep n .,ENG ENG ENG ENG ENG ENG ENG,0
8,voy a limpiarlo bien bien recoger todo organizar todo .,v aprep inf adv adv re#inf det:indef inf det:indef .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
9,that's good .,pro:dem adj .,ENG ENG,0
10,no it isn't .,co pro:per cop .,ENG ENG ENG,0
11,sí porque tú eres bien organizado .,co conj pro:sub cop adv part .,ENG ENG ENG ENG ENG ENG,0
12,no I'm not .,co pro:sub neg .,ENG ENG ENG,0
13,yeah you are .,co pro:per cop .,ENG ENG ENG,0
14,I just have a habit of not putting things where they go .,pro:sub adv v det:art n prep neg part n pro:rel pro:sub v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
15,mhm .,co .,ENG,0
16,.,None,,0
17,y cómo te está yendo el ?,coord pro:int pro:obj aux ger det:art ?,ENG ENG ENG ENG ENG ENG,0
18,o no ?,coord adv ?,ENG ENG,0
19,ah no sé todavía de lo que espera que contraten a más personas en el To_Go .,co L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 n:prop .,ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
20,y eso cuánto se .,coord pro:dem det:int cop .,ENG ENG ENG ENG,0
21,well I have to train them .,co pro:sub v inf v pro:obj .,ENG ENG ENG ENG ENG ENG,0
22,so ...,co +...,ENG,0
23,you have to train them ?,pro:per v inf v pro:obj ?,ENG ENG ENG ENG ENG,0
24,yeah .,co .,ENG,0
25,so ...,co +...,ENG,0
26,hasta ahora no se han contratado a nadie .,prep adv adv pro:refl aux part aprep pro:indef .,ENG ENG ENG ENG ENG ENG ENG ENG,0
27,pero cuando los contraten me toca entrenarlos .,L2 L2 L2 L2 L2 L2 L2 .,ESP ESP ESP ESP ESP ESP ESP,0
28,and we have to see if they get good at it .,coord pro:sub v inf v conj pro:sub v adj prep pro:per .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
29,they're actually trying to like succeed in the job .,pro:sub adv part inf v v prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
30,y ya después me imagino que un mes o algo .,coord adv adv pro:obj v pro:rel det:art n coord pro:dem .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
31,ya me puedo mover el server .,L2 L2 L2 L2 L2 n .,ESP ESP ESP ESP ESP ENG,1
32,pero por ahora estoy en el To_Go .,L2 L2 L2 L2 L2 L2 n:prop .,ESP ESP ESP ESP ESP ESP ENG,1
33,.,None,,0
34,so yeah .,co co .,ENG ENG,0
35,well there should be a lot of people that wanna work in To_Go .,co adv mod cop det:art n prep n pro:rel v v prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
36,huh ?,co ?,ENG,0
37,well there should be a lot of people that need work .,co adv mod cop det:art n prep n pro:rel n n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
38,well I don't know .,co pro:sub mod v .,ENG ENG ENG ENG,0
39,they haven't hired anybody yet .,pro:sub aux part pro:indef adv .,ENG ENG ENG ENG ENG,0
40,so I'm just waiting .,adv pro:sub adv part .,ENG ENG ENG ENG,0
41,how old do you have to be to work there ?,pro:int adj mod pro:per v prep cop prep n adv ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
42,can't Alberto work there ?,mod n:prop n adv ?,ENG ENG ENG ENG,0
43,he's sixteen .,pro:sub det:num .,ENG ENG,0
44,no you have to be eighteen to work in Chili's .,co pro:per v inf cop det:num prep n prep adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
45,that sucks .,pro:rel v .,ENG ENG,0
46,yeah .,co .,ENG,0
47,no it doesn't .,co pro:per mod .,ENG ENG ENG,0
48,because if you do it with kids you have to work around their school hours .,conj conj pro:per v pro:per prep n pro:per v inf v prep det:poss n n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
49,yeah but like over the summer like a summer job .,co conj v prep det:art n prep det:art n n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
50,and ...,coord +...,ENG,0
51,maybe .,adv .,ENG,0
