,sentence,pos,language,switch
0,ya saliste ?,adv v ?,ENG ENG,0
1,.,None,,0
2,no pero todavía no cada palabra hace and and ...,L2 L2 L2 L2 L2 L2 L2 coord coord +...,ESP ESP ESP ESP ESP ESP ESP ENG ENG,1
3,ay Dios mío .,co n:prop pro:pos .,ENG ENG ENG,0
4,.,None,,0
5,hace .,imp .,ENG,0
6,oh my God .,co det:poss n:prop .,ENG ENG ENG,0
7,.,None,,0
8,.,None,,0
9,.,None,,0
10,.,None,,0
11,mira y qué haces ?,co coord pro:int v ?,ENG ENG ENG ENG,0
12,mira cuando los otros van para el carnival center a las tres ...,L2 L2 L2 L2 L2 L2 L2 n n L2 L2 L2 +...,ESP ESP ESP ESP ESP ESP ESP ENG ENG ESP ESP ESP,1
13,mhm .,co .,ENG,0
14,y a las cinco vamos para el Miami Fair .,L2 L2 L2 L2 L2 L2 L2 n:prop n:prop .,ESP ESP ESP ESP ESP ESP ESP ENG ENG,1
15,hello .,co .,ENG,0
16,el carnival center ?,L2 n n ?,ESP ENG ENG,1
17,que hay como una cosa en el carnival center .,L2 L2 L2 L2 L2 L2 L2 n n .,ESP ESP ESP ESP ESP ESP ESP ENG ENG,1
18,ahí al lado de la escuela en el carnival center .,L2 L2 L2 L2 L2 L2 L2 L2 n n .,ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG,1
19,hay alguna actividad de tres a cinco como live music y todas estas cosas .,L2 L2 L2 L2 L2 L2 L2 L2 adj n L2 L2 L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG ESP ESP ESP ESP,1
20,y luego vamos para el Miami_fair donde están los roller_coasters a las cinco .,coord adv v prep det:art n:prop pro:rel cop det:art L2 aprep det:art det:num .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ESP ENG ENG ENG,1
21,pero tú tienes la boda hoy verdad ?,conj pro:sub v det:art n adv co ?,ENG ENG ENG ENG ENG ENG ENG,0
22,bueno pues ...,co co +...,ENG ENG,0
23,si no estás haciendo nada me llamas .,conj adv aux ger v pro:obj v .,ENG ENG ENG ENG ENG ENG ENG,0
24,okay .,co .,ENG,0
25,un besote .,det:art n .,ENG ENG,0
26,ay mija salí a las once de la noche de allá .,co co:voc v aprep det:art det:num prep det:art n prep adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
27,cállate .,imp .,ENG,0
28,cállate que me quiero morir .,imp pro:rel pro:obj v inf .,ENG ENG ENG ENG ENG,0
29,ah ?,co ?,ENG,0
30,"ay , sí .",co cm co .,ENG ENG ENG,0
31,pero como quieran no me lo han pagado .,conj adv imp adv pro:obj pro:obj aux part .,ENG ENG ENG ENG ENG ENG ENG ENG,0
32,con cheque .,prep v .,ENG ENG,0
33,claro que no .,co pro:rel adv .,ENG ENG ENG,0
34,a nadie .,aprep pro:indef .,ENG ENG,0
35,let's see .,v v .,ENG ENG,0
36,si no .,conj adv .,ENG ENG,0
37,okay un beso a ella también bye bye .,co L2 L2 L2 L2 L2 co co .,ENG ESP ESP ESP ESP ESP ENG ENG,1
38,yo sé que ella no va a salir con nosotros hoy a beber porque hoy es el día que ella sale con Ronald .,L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
39,pero como me da ...,conj adv pro:obj v +...,ENG ENG ENG ENG,0
40,no no no no that's nice .,co co co co pro:dem adj .,ENG ENG ENG ENG ENG ENG,0
41,that's nice .,pro:dem adj .,ENG ENG,0
42,mira ven a ver la foto de la nueva Miss Miss USA .,L2 L2 L2 L2 L2 L2 L2 L2 L2 n:prop n:prop n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG ENG,1
43,cómo es ?,pro:int cop ?,ENG ENG,0
44,oh .,co .,ENG,0
45,se parece a Tyra Banks .,L2 L2 L2 n:prop n:prop .,ESP ESP ESP ENG ENG,1
46,you think ?,pro:per v ?,ENG ENG,0
47,yeah .,co .,ENG,0
48,she is pretty .,pro:sub cop adv .,ENG ENG ENG,0
49,is really pretty .,aux adv adv .,ENG ENG ENG,0
