,sentence,pos,language,switch
0,good morning Martha .,adj n n:prop .,ENG ENG ENG,0
1,this is María .,pro:dem cop n:prop .,ENG ENG ENG,0
2,this is Tom there ?,pro:dem cop n:prop adv ?,ENG ENG ENG ENG,0
3,thank you .,v pro:per .,ENG ENG,0
4,.,None,,0
5,I heard that .,pro:sub v comp .,ENG ENG ENG,0
6,I mean I heard you explaining .,pro:sub v pro:sub v pro:per part .,ENG ENG ENG ENG ENG ENG,0
7,did it make sense ?,mod pro:per v n ?,ENG ENG ENG ENG,0
8,.,None,,0
9,Hey Tom .,n:prop n:prop .,ENG ENG,0
10,cómo estás ?,pro:int cop ?,ENG ENG,0
11,bien bien .,adv adv .,ENG ENG,0
12,eh did Aaron give you my message ?,co v n:prop v pro:per det:poss n ?,ENG ENG ENG ENG ENG ENG ENG,0
13,oh .,co .,ENG,0
14,eh Sean wants to have a meeting at A_One todavía tienen problemas con la torre de la televisión .,co n:prop v inf v det:art n:gerund prep n:prop L2 L2 L2 L2 L2 L2 L2 L2 L2 .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP,1
15,and he would like for you to be an attendance with NDR which is a subcontractor for the tower and Mario which is the WRN guy .,coord pro:sub mod co prep pro:per inf cop det:art n prep n:prop pro:rel cop det:art sub#n prep det:art n coord n:prop pro:rel cop det:art n:prop n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
16,so that they can not be on the same page .,adv pro:rel pro:sub mod neg cop prep det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
17,porque uno dice una cosa el otro dice otra and apparently it's been //.,L2 L2 L2 L2 L2 L2 L2 L2 L2 coord adv pro:per cop +//.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG ENG ENG,1
18,we are just mincing by standards but //.,pro:sub aux adv part prep n conj +//.,ENG ENG ENG ENG ENG ENG ENG,0
19,.,None,,0
20,eh next tuesday a las nueve o las diez .,co adv adv:tem L2 L2 L2 L2 L2 L2 .,ENG ENG ENG ESP ESP ESP ESP ESP ESP,1
21,qué hora prefieres ?,pro:int n v ?,ENG ENG ENG,0
22,okay .,co .,ENG,0
23,next friday .,adv n .,ENG ENG,0
24,hablando de next friday .,L2 L2 adj n .,ESP ESP ENG ENG,1
25,you get my email about taking advantage that it's a teacher planning day ?,pro:per v det:poss n adv part n pro:rel pro:per det:art n part n ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
