,sentence,pos,language,switch
0,so where do you work ?,adv pro:int mod pro:per v ?,ENG ENG ENG ENG ENG,0
1,I work well I'm currently employed by //.,pro:sub v adv pro:sub adv part adv +//.,ENG ENG ENG ENG ENG ENG ENG,0
2,I have my broker .,pro:sub v det:poss n .,ENG ENG ENG ENG,0
3,he's a real estate broker .,pro:sub det:art adj n n .,ENG ENG ENG ENG ENG,0
4,my attorney he's a real estate attorney .,det:poss n pro:sub det:art adj n n .,ENG ENG ENG ENG ENG ENG ENG,0
5,mhm .,co .,ENG,0
6,I work for a title company .,pro:sub v prep det:art n n .,ENG ENG ENG ENG ENG ENG,0
7,I work because //.,pro:sub n conj +//.,ENG ENG ENG,0
8,my attorney consolidated with the broker .,det:poss n v prep det:art n .,ENG ENG ENG ENG ENG ENG,0
9,he owns both businesses .,pro:sub v qn n .,ENG ENG ENG ENG,0
10,but like his business partner he's the broker .,conj prep det:poss n n pro:sub det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
11,and his business has been so bad they consolidated .,coord det:poss n aux aux adv adj pro:sub v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
12,so now I work /.,co adv pro:sub v +/.,ENG ENG ENG ENG,0
13,oh I see .,co pro:sub v .,ENG ENG ENG,0
14,for both of them together simultaneously .,prep qn prep pro:obj adv adv .,ENG ENG ENG ENG ENG ENG,0
15,they just pay me you know four hours one pays me the other one pays me four hours a day like that .,pro:sub adv n pro:obj pro:per v det:num n det:num v pro:obj det:art qn pro:indef v pro:obj det:num n det:art n prep pro:dem .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
16,mhm oh okay .,co co co .,ENG ENG ENG,0
17,but I ...,conj pro:sub +...,ENG ENG,0
18,and what do you do like receptionist or ...,coord pro:int mod pro:per v co n coord +...,ENG ENG ENG ENG ENG ENG ENG ENG,0
19,I'm like the office bitch .,pro:sub prep det:art n n .,ENG ENG ENG ENG ENG,0
20,people can say .,n mod v .,ENG ENG ENG,0
21,.,None,,0
22,pardon my French .,co co n:prop .,ENG ENG ENG,0
23,no it's all right .,co pro:per adv co .,ENG ENG ENG ENG,0
24,but I do everything .,conj pro:sub v pro:indef .,ENG ENG ENG ENG,0
25,I answer phones .,pro:sub n n .,ENG ENG ENG,0
26,I get the mail .,pro:sub v det:art n .,ENG ENG ENG ENG,0
27,I order supplies .,pro:sub n n .,ENG ENG ENG,0
28,I babysit the realtors because half of them don't know what they're doing .,pro:sub v det:art n conj n prep pro:obj mod v pro:int pro:sub part .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
29,they don't know any of the forms .,pro:sub mod v qn prep det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
30,they don't know anything .,pro:sub mod v pro:indef .,ENG ENG ENG ENG,0
31,mhm .,co .,ENG,0
32,so I'm a administrative assistant .,adv pro:sub det:art adj n .,ENG ENG ENG ENG ENG,0
33,I'm a receptionist .,pro:sub det:art n .,ENG ENG ENG,0
34,okay .,co .,ENG,0
35,okay .,co .,ENG,0
36,I'm a post closer .,pro:sub det:art n adj .,ENG ENG ENG ENG,0
37,wow .,co .,ENG,0
38,I am the head of the post closing department .,pro:sub aux det:art n prep det:art n part n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
39,I deal with everything that has to do ...,pro:sub v prep pro:indef pro:rel v inf v +...,ENG ENG ENG ENG ENG ENG ENG ENG,0
40,once a deal closes like when you buy a house .,adv det:art n v conj conj pro:per v det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
41,mhm .,co .,ENG,0
42,you would go to a title company to do your closing .,pro:per mod v prep det:art n n inf v det:poss part .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
43,right .,co .,ENG,0
44,to sign all the paperwork .,inf v qn det:art n .,ENG ENG ENG ENG ENG,0
45,after that I do the package .,prep adv pro:sub v det:art n .,ENG ENG ENG ENG ENG ENG,0
46,I send it to the bank .,pro:sub v pro:per prep det:art n .,ENG ENG ENG ENG ENG ENG,0
47,I deal with you know funding conditions .,pro:sub v prep pro:per v part n .,ENG ENG ENG ENG ENG ENG ENG,0
48,then I'm the one who prepares the policy .,adv:tem pro:sub det:art pro:indef pro:rel v det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
49,I do recordings .,pro:sub v n:gerund .,ENG ENG ENG,0
50,you know I send the stuff to be recorded to the court .,pro:per v pro:sub v det:art n inf aux part prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
51,you do a lot .,pro:per v det:art n .,ENG ENG ENG ENG,0
52,yes .,co .,ENG,0
53,I do a lot and /.,pro:sub v det:art n coord +/.,ENG ENG ENG ENG ENG,0
54,and where is that at ?,coord pro:int cop pro:dem prep ?,ENG ENG ENG ENG ENG,0
55,it's in Doral .,pro:per prep n:prop .,ENG ENG ENG,0
56,oh okay .,co co .,ENG ENG,0
57,but /.,conj +/.,ENG,0
58,you live here in Miami right ?,pro:per v adv prep n:prop co ?,ENG ENG ENG ENG ENG ENG,0
59,yeah .,co .,ENG,0
60,where ?,pro:rel ?,ENG,0
61,do you know where the Mall of the Americas is ?,mod pro:per v pro:int det:art n:prop prep det:art n:prop cop ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
62,yeah .,co .,ENG,0
63,and the Walmart ?,coord det:art n:prop ?,ENG ENG ENG,0
64,well not specifically the Walmart but I know where the Mall of the Americas is .,co neg adv det:art n:prop conj pro:sub v pro:int det:art n:prop prep det:art n:prop cop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
65,it's by there .,pro:per prep n .,ENG ENG ENG,0
66,right by the Palmetto ?,adv prep det:art n:prop ?,ENG ENG ENG ENG,0
67,yes .,co .,ENG,0
68,okay .,co .,ENG,0
69,you know where Chevys is ?,pro:per v pro:rel n:prop cop ?,ENG ENG ENG ENG ENG,0
70,no ?,co ?,ENG,0
71,no .,co .,ENG,0
72,.,None,,0
73,I've only lived here for like a year well a year as of December .,pro:sub adv part adv prep co det:art n n det:art n prep prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
74,right where are you from ?,adv pro:rel cop pro:per prep ?,ENG ENG ENG ENG ENG,0
75,New_Jersey .,n:prop .,ENG,0
76,right .,co .,ENG,0
77,okay .,co .,ENG,0
